rank,character,read_value,candidates,correct
1,Sephiroth,51.0,{'51': 1},
2,Ike,26.0,{'26': 3},
3,Roy,9.0,"{'9': 2, '5': 1}",
3,Dark Pit,9.0,"{'9': 2, '5': 1}",
5,Luigi,4.0,{'4': 3},
5,Captain Falcon,4.0,{'4': 3},
7,Donkey Kong,3.0,{'3': 3},
7,Samus,3.0,{'3': 6},
7,King Dedede,3.0,{'3': 3},
7,Little Mac,3.0,{'3': 3},
11,Byleth,2.0,{'2': 3},
12,Peach,1.0,{'1': 3},
12,Ice Climbers,1.0,{'1': 3},
12,Mr Game and Watch,1.0,{'1': 3},
12,Snake,1.0,{'1': 6},
12,Lucario,1.0,{'1': 3},
12,Wolf,1.0,{'1': 3},
12,Mega Man,1.0,{'1': 3},
12,Bowser Jr,1.0,{'1': 3},
12,Cloud,1.0,{'1': 3},
12,King K Rool,1.0,{'1': 3},
12,Joker,1.0,{'1': 3},
12,Hero,1.0,{'1': 3},
12,Sora,1.0,{'1': 3},
25,Link,0.0,{'0': 1},
25,Kirby,0.0,{'0': 2},
25,Fox,0.0,{'0': 2},
25,Pikachu,0.0,"{'0': 1, '6': 1}",
25,Jigglypuff,0.0,{'0': 1},
25,Bowser,0.0,{'0': 2},
25,Sheik,0.0,{'0': 1},
25,Zelda,0.0,{'0': 2},
25,Dr Mario,0.0,{'0': 1},
25,Falco,0.0,{'0': 2},
25,Marth,0.0,{'0': 2},
25,Young Link,0.0,{'0': 2},
25,Ganondorf,0.0,"{'0': 3, '4': 1}",
25,Meta Knight,0.0,{'0': 2},
25,Pit,0.0,{'0': 1},
25,Wario,0.0,{'0': 3},
25,Diddy Kong,0.0,{'0': 1},
25,Sonic,0.0,{'0': 3},
25,Olimar,0.0,{'0': 1},
25,Toon Link,0.0,{'0': 5},
25,Rosalina and Luma,0.0,{'0': 1},
25,Greninja,0.0,{'0': 2},
25,Robin,0.0,{'0': 2},
25,Shulk,0.0,{'0': 1},
25,Duck Hunt,0.0,{'0': 1},
25,Ryu,0.0,{'0': 1},
25,Corrin,0.0,{'0': 4},
25,Inkling,0.0,{'0': 2},
25,Simon,0.0,{'0': 1},
25,Richter,0.0,{'0': 2},
25,Isabelle,0.0,{'0': 2},
25,Banjo and Kazooie,0.0,{'0': 2},
25,Terry,0.0,{'0': 2},
25,Steve,0.0,{'0': 3},
25,Pyra-Mythra,0.0,{'0': 3},
25,Kazuya,0.0,{'0': 3},
25,Mii Swordsman,0.0,{'0': 2},
25,Mario,0.0,{'0': 2},
25,Dark Samus,0.0,{'0': 1},
25,Yoshi,0.0,{'0': 1},
25,Ness,0.0,{'0': 1},
25,Daisy,0.0,{'0': 3},
25,Pichu,0.0,{'0': 2},
25,Lucina,0.0,{'0': 2},
25,Mewtwo,0.0,{'0': 2},
25,Chrom,0.0,{'0': 2},
25,Zero Suit Samus,0.0,{'0': 1},
25,Pokemon Trainer,0.0,{'0': 1},
25,Lucas,0.0,{'0': 3},
25,ROB,0.0,{'0': 2},
25,Villager,0.0,{'0': 2},
25,Wii Fit Trainer,0.0,{'0': 2},
25,Palutena,0.0,{'0': 1},
25,Pac-Man,0.0,{'0': 2},
25,Ken,0.0,{'0': 4},
25,Bayonetta,0.0,{'0': 6},
25,Ridley,0.0,{'0': 3},
25,Incineroar,0.0,{'0': 4},
25,Piranha Plant,0.0,{'0': 3},
25,Min Min,0.0,"{'0': 4, '8': 1}",
25,Mii Brawler,0.0,{'0': 2},
25,Mii Gunner,0.0,{'0': 3},
