rank,character,read_value,candidates,correct
1,Sephiroth,65.0,"{'65': 3, '0': 3}",
2,Ike,37.0,{'37': 1},
3,Lucario,18.0,{'18': 3},
4,Little Mac,11.0,{'11': 2},
5,Captain Falcon,6.0,{'6': 3},
5,Roy,6.0,{'6': 3},
7,Donkey Kong,3.0,{'3': 3},
7,Ganondorf,3.0,{'3': 6},
7,Mr Game and Watch,3.0,{'3': 3},
10,Samus,2.0,{'2': 3},
10,Simon,2.0,{'2': 3},
10,Richter,2.0,{'2': 3},
10,Sora,2.0,{'2': 3},
14,Link,1.0,{'1': 3},
14,Kirby,1.0,{'1': 6},
14,Pikachu,1.0,{'1': 3},
14,Jigglypuff,1.0,{'1': 3},
14,Peach,1.0,{'1': 3},
14,Dr Mario,1.0,{'1': 3},
14,Marth,1.0,{'1': 3},
14,Young Link,1.0,{'1': 3},
14,Pit,1.0,{'1': 3},
14,Dark Pit,1.0,{'1': 3},
14,Snake,1.0,{'1': 3},
14,Diddy Kong,1.0,{'1': 3},
14,Sonic,1.0,{'1': 3},
14,King Dedede,1.0,{'1': 3},
14,Olimar,1.0,{'1': 3},
14,Mega Man,1.0,{'1': 3},
14,Rosalina and Luma,1.0,{'1': 3},
14,Greninja,1.0,{'1': 3},
14,Duck Hunt,1.0,{'1': 3},
14,Corrin,1.0,{'1': 3},
14,King K Rool,1.0,{'1': 3},
14,Isabelle,1.0,{'1': 3},
14,Joker,1.0,{'1': 3},
14,Banjo and Kazooie,1.0,{'1': 6},
14,Terry,1.0,{'1': 3},
14,Byleth,1.0,{'1': 3},
14,Steve,1.0,{'1': 3},
14,Kazuya,1.0,{'1': 3},
42,Fox,0.0,{'0': 2},
42,Luigi,0.0,{'0': 2},
42,Bowser,0.0,{'0': 5},
42,Ice Climbers,0.0,{'0': 2},
42,Sheik,0.0,{'0': 3},
42,Zelda,0.0,{'0': 2},
42,Falco,0.0,{'0': 2},
42,Meta Knight,0.0,{'0': 2},
42,Wario,0.0,{'0': 2},
42,Toon Link,0.0,{'0': 3},
42,Robin,0.0,{'0': 1},
42,Shulk,0.0,{'0': 1},
42,Bowser Jr,0.0,{'0': 2},
42,Ryu,0.0,{'0': 2},
42,Cloud,0.0,{'0': 2},
42,Inkling,0.0,{'0': 4},
42,Hero,0.0,{'0': 2},
42,Pyra-Mythra,0.0,{'0': 2},
42,Mii Swordsman,0.0,{'0': 3},
42,Mario,0.0,{'0': 1},
42,Dark Samus,0.0,{'0': 1},
42,Yoshi,0.0,{'0': 2},
42,Ness,0.0,{'0': 3},
42,Daisy,0.0,{'0': 2},
42,Pichu,0.0,{'0': 2},
42,Lucina,0.0,{'0': 3},
42,Mewtwo,0.0,{'0': 2},
42,Chrom,0.0,{'0': 2},
42,Zero Suit Samus,0.0,{'0': 2},
42,Pokemon Trainer,0.0,{'0': 2},
42,Lucas,0.0,{'0': 2},
42,ROB,0.0,{'0': 2},
42,Villager,0.0,{'0': 2},
42,Wii Fit Trainer,0.0,{'0': 1},
42,Palutena,0.0,{'0': 1},
42,Pac-Man,0.0,{'0': 3},
42,Ken,0.0,{'0': 7},
42,Bayonetta,0.0,{'0': 2},
42,Ridley,0.0,{'0': 4},
42,Incineroar,0.0,{'0': 2},
42,Piranha Plant,0.0,{'0': 3},
42,Min Min,0.0,{'0': 3},
42,Mii Brawler,0.0,{'0': 2},
42,Mii Gunner,0.0,{'0': 4},
