rank,character,read_value,candidates,correct
1,Sheik,100.0,{'100.0': 3},
1,Falco,100.0,{'100.0': 3},
1,Wario,100.0,{'100.0': 3},
1,Toon Link,100.0,{'100.0': 3},
1,Wolf,100.0,{'100.0': 3},
1,Bowser Jr,100.0,{'100.0': 3},
1,Ryu,100.0,{'100.0': 3},
1,Cloud,100.0,{'100.0': 6},
1,Inkling,100.0,{'100.0': 3},
1,Pyra-Mythra,100.0,{'100.0': 3},
1,Mii Swordsman,100.0,{'100.0': 3},
12,Luigi,75.0,{'75.0': 3},
12,Ice Climbers,75.0,{'75.0': 3},
12,Hero,75.0,{'75.0': 3},
12,Byleth,75.0,{'75.0': 6},
12,Steve,75.0,{'75.0': 3},
17,Zelda,66.66,{'66.66': 3},
17,Dr Mario,66.66,{'66.66': 3},
17,King Dedede,66.66,{'66.66': 3},
17,Mega Man,66.66,{'66.66': 3},
17,Simon,66.66,{'66.66': 3},
22,Sora,63.63,{'63.63': 3},
23,Dark Pit,62.5,{'62.5': 3},
24,King K Rool,60.0,{'60.0': 3},
25,Marth,50.0,{'50.0': 3},
25,Pit,50.0,{'50.0': 3},
25,Banjo and Kazooie,50.0,{'50.0': 3},
28,Mr Game and Watch,45.45,{'45.45': 3},
29,Donkey Kong,43.75,{'43.75': 3},
30,Roy,42.85,{'42.85': 3},
31,Sephiroth,36.0,{'36.0': 3},
32,Samus,33.33,{'33.33': 3},
32,Jigglypuff,33.33,{'33.33': 3},
32,Bowser,33.33,{'33.33': 3},
35,Ike,30.0,{'30.0': 3},
36,Lucario,28.0,{'28.0': 3},
37,Captain Falcon,25.0,{'25.0': 6},
38,Little Mac,23.8,{'23.8': 3},
39,Ganondorf,10.0,{'10.0': 3},
40,Link,0.0,{'0.0': 3},
40,Kirby,0.0,{'0.0': 3},
40,Fox,0.0,{'0.0': 3},
40,Pikachu,0.0,{'0.0': 3},
40,Peach,0.0,{'0.0': 3},
40,Young Link,0.0,{'0.0': 3},
40,Meta Knight,0.0,{'0.0': 3},
40,Snake,0.0,{'0.0': 3},
40,Diddy Kong,0.0,{'0.0': 3},
40,Sonic,0.0,{'0.0': 3},
40,Olimar,0.0,{'0.0': 3},
40,Rosalina and Luma,0.0,{'0.0': 3},
40,Greninja,0.0,{'0.0': 6},
40,Robin,0.0,{'0.0': 3},
40,Shulk,0.0,{'0.0': 3},
40,Duck Hunt,0.0,{'0.0': 3},
40,Corrin,0.0,{'0.0': 3},
40,Richter,0.0,{'0.0': 3},
40,Isabelle,0.0,{'0.0': 3},
40,Joker,0.0,{'0.0': 3},
40,Terry,0.0,{'0.0': 3},
40,Kazuya,0.0,{'0.0': 3},
40,Mario,0.0,{'0.0': 3},
40,Dark Samus,0.0,{'0.0': 3},
40,Yoshi,0.0,{'0.0': 3},
40,Ness,0.0,{'0.0': 3},
40,Daisy,0.0,{'0.0': 3},
40,Pichu,0.0,{'0.0': 3},
40,Lucina,0.0,{'0.0': 3},
40,Mewtwo,0.0,{'0.0': 3},
40,Chrom,0.0,{'0.0': 3},
40,Zero Suit Samus,0.0,{'0.0': 3},
40,Pokemon Trainer,0.0,{'0.0': 3},
40,Lucas,0.0,{'0.0': 3},
40,ROB,0.0,{'0.0': 6},
40,Villager,0.0,{'0.0': 3},
40,Wii Fit Trainer,0.0,{'0.0': 3},
40,Palutena,0.0,{'0.0': 3},
40,Pac-Man,0.0,{'0.0': 3},
40,Ken,0.0,{'0.0': 6},
40,Bayonetta,0.0,{'0.0': 6},
40,Ridley,0.0,{'0.0': 6},
40,Incineroar,0.0,{'0.0': 3},
40,Piranha Plant,0.0,{'0.0': 3},
40,Min Min,0.0,{'0.0': 3},
40,Mii Brawler,0.0,{'0.0': 3},
40,Mii Gunner,0.0,{'0.0': 3},
