rank,character,read_value,candidates,correct
1,Sephiroth,34.0,{'34': 3},
2,Ike,17.0,"{'17': 2, '7': 1}",
3,Dark Pit,5.0,"{'2': 2, '5': 1}",
4,Roy,4.0,{'4': 3},
4,Mr Game and Watch,4.0,{'4': 3},
4,Little Mac,4.0,{'4': 3},
4,Sora,4.0,{'4': 3},
8,Lucario,3.0,{'3': 6},
8,Simon,3.0,{'3': 3},
8,Byleth,3.0,{'3': 3},
11,Donkey Kong,2.0,{'2': 3},
11,Luigi,2.0,{'2': 3},
11,Captain Falcon,2.0,{'2': 3},
11,Ice Climbers,2.0,{'2': 3},
11,King K Rool,2.0,{'2': 6},
11,Steve,2.0,{'2': 3},
17,Zelda,1.0,{'1': 3},
17,Marth,1.0,{'1': 3},
17,Wario,1.0,{'1': 3},
17,King Dedede,1.0,{'1': 3},
17,Wolf,1.0,{'1': 3},
17,Mega Man,1.0,{'1': 3},
17,Bowser Jr,1.0,{'1': 3},
17,Ryu,1.0,{'1': 3},
17,Cloud,1.0,{'1': 3},
17,Hero,1.0,{'1': 3},
17,Pyra-Mythra,1.0,{'1': 3},
17,Mii Swordsman,1.0,{'1': 3},
29,Link,0.0,{'0': 1},
29,Samus,0.0,{'0': 1},
29,Kirby,0.0,{'0': 2},
29,Fox,0.0,{'0': 2},
29,Pikachu,0.0,{'0': 2},
29,Jigglypuff,0.0,{'0': 2},
29,Peach,0.0,{'0': 2},
29,Bowser,0.0,{'0': 3},
29,Sheik,0.0,{'0': 2},
29,Dr Mario,0.0,{'0': 1},
29,Falco,0.0,{'0': 1},
29,Young Link,0.0,{'0': 1},
29,Ganondorf,0.0,{'0': 1},
29,Meta Knight,0.0,{'0': 1},
29,Pit,0.0,{'0': 1},
29,Snake,0.0,{'0': 2},
29,Diddy Kong,0.0,{'0': 1},
29,Sonic,0.0,{'0': 2},
29,Olimar,0.0,{'0': 1},
29,Toon Link,0.0,{'0': 3},
29,Rosalina and Luma,0.0,{'0': 2},
29,Greninja,0.0,{'0': 1},
29,Robin,0.0,{'0': 1},
29,Shulk,0.0,{'0': 2},
29,Duck Hunt,0.0,{'0': 1},
29,Corrin,0.0,{'0': 1},
29,Inkling,0.0,{'0': 3},
29,Richter,0.0,{'0': 3},
29,Isabelle,0.0,{'0': 1},
29,Joker,0.0,{'0': 4},
29,Banjo and Kazooie,0.0,{'0': 3},
29,Terry,0.0,{'0': 1},
29,Kazuya,0.0,{'0': 2},
29,Mario,0.0,{'0': 1},
29,Dark Samus,0.0,{'0': 2},
29,Yoshi,0.0,{'0': 2},
29,Ness,0.0,{'0': 2},
29,Daisy,0.0,{'0': 2},
29,Pichu,0.0,{'0': 1},
29,Lucina,0.0,{'0': 2},
29,Mewtwo,0.0,{'0': 1},
29,Chrom,0.0,{'0': 3},
29,Zero Suit Samus,0.0,{'0': 2},
29,Pokemon Trainer,0.0,{'0': 1},
29,Lucas,0.0,{'0': 1},
29,ROB,0.0,{'0': 1},
29,Villager,0.0,{'0': 2},
29,Wii Fit Trainer,0.0,{'0': 1},
29,Palutena,0.0,{'0': 2},
29,Pac-Man,0.0,{'0': 1},
29,Ken,0.0,{'0': 5},
29,Bayonetta,0.0,{'0': 6},
29,Ridley,0.0,{'0': 2},
29,Incineroar,0.0,{'0': 2},
29,Piranha Plant,0.0,{'0': 3},
29,Min Min,0.0,{'0': 5},
29,Mii Brawler,0.0,{'0': 2},
29,Mii Gunner,0.0,{'0': 2},
