rank,character,read_value,candidates,correct
1,Wolf,100.0,{'100.0': 3},
1,Ryu,100.0,{'100.0': 3},
1,Pyra-Mythra,100.0,{'100.0': 3},
1,Mii Swordsman,100.0,{'100.0': 3},
5,Byleth,75.0,{'75.0': 3},
6,Dark Pit,62.5,{'62.5': 3},
7,Luigi,50.0,{'50.0': 3},
7,Ice Climbers,50.0,{'50.0': 6},
7,Marth,50.0,{'50.0': 3},
7,Wario,50.0,{'50.0': 3},
7,Bowser Jr,50.0,{'50.0': 3},
7,Cloud,50.0,{'50.0': 3},
7,Simon,50.0,"{'90.0': 2, '50.0': 1}",
7,Steve,50.0,"{'90.0': 2, '50.0': 1}",
15,Ike,40.0,{'40.0': 6},
15,Little Mac,40.0,{'40.0': 3},
15,King K Rool,40.0,{'40.0': 3},
18,Zelda,33.33,{'33.33': 3},
18,King Dedede,33.33,{'33.33': 3},
18,Mega Man,33.33,{'33.33': 3},
21,Mr Game and Watch,30.0,{'30.0': 3},
21,Sora,30.0,{'30.0': 6},
23,Hero,25.0,{'25.0': 3},
24,Donkey Kong,20.0,{'20.0': 3},
24,Captain Falcon,20.0,{'20.0': 3},
24,Roy,20.0,{'20.0': 3},
24,Sephiroth,20.0,{'20.0': 3},
28,Link,0.0,{'0.0': 3},
28,Samus,0.0,{'0.0': 6},
28,Kirby,0.0,{'0.0': 3},
28,Fox,0.0,{'0.0': 3},
28,Pikachu,0.0,{'0.0': 3},
28,Jigglypuff,0.0,{'0.0': 3},
28,Peach,0.0,{'0.0': 3},
28,Bowser,0.0,{'0.0': 3},
28,Sheik,0.0,{'0.0': 6},
28,Dr Mario,0.0,{'0.0': 3},
28,Falco,0.0,{'0.0': 3},
28,Young Link,0.0,{'0.0': 3},
28,Ganondorf,0.0,{'0.0': 3},
28,Meta Knight,0.0,{'0.0': 3},
28,Pit,0.0,{'0.0': 3},
28,Snake,0.0,{'0.0': 6},
28,Diddy Kong,0.0,{'0.0': 3},
28,Sonic,0.0,{'0.0': 3},
28,Olimar,0.0,{'0.0': 3},
28,Lucario,0.0,{'0.0': 3},
28,Toon Link,0.0,{'0.0': 3},
28,Rosalina and Luma,0.0,{'0.0': 3},
28,Greninja,0.0,{'0.0': 6},
28,Robin,0.0,{'0.0': 3},
28,Shulk,0.0,{'0.0': 3},
28,Duck Hunt,0.0,{'0.0': 3},
28,Corrin,0.0,{'0.0': 3},
28,Inkling,0.0,{'0.0': 3},
28,Richter,0.0,{'0.0': 3},
28,Isabelle,0.0,{'0.0': 3},
28,Joker,0.0,{'0.0': 3},
28,Banjo and Kazooie,0.0,{'0.0': 3},
28,Terry,0.0,{'0.0': 3},
28,Kazuya,0.0,{'0.0': 3},
28,Mario,0.0,{'0.0': 3},
28,Dark Samus,0.0,{'0.0': 3},
28,Yoshi,0.0,{'0.0': 3},
28,Ness,0.0,{'0.0': 6},
28,Daisy,0.0,{'0.0': 3},
28,Pichu,0.0,{'0.0': 3},
28,Lucina,0.0,{'0.0': 3},
28,Mewtwo,0.0,{'0.0': 3},
28,Chrom,0.0,{'0.0': 3},
28,Zero Suit Samus,0.0,{'0.0': 3},
28,Pokemon Trainer,0.0,{'0.0': 3},
28,Lucas,0.0,{'0.0': 3},
28,ROB,0.0,{'0.0': 3},
28,Villager,0.0,{'0.0': 3},
28,Wii Fit Trainer,0.0,{'0.0': 3},
28,Palutena,0.0,{'0.0': 3},
28,Pac-Man,0.0,{'0.0': 3},
28,Ken,0.0,{'0.0': 9},
28,Bayonetta,0.0,{'0.0': 9},
28,Ridley,0.0,{'0.0': 6},
28,Incineroar,0.0,{'0.0': 6},
28,Piranha Plant,0.0,{'0.0': 6},
28,Min Min,0.0,{'0.0': 6},
28,Mii Brawler,0.0,{'0.0': 6},
28,Mii Gunner,0.0,{'0.0': 6},
