rank,character,read_value,candidates,correct
1,Jigglypuff,12353.0,{'12353': 1},
2,Captain Falcon,865.0,{'865': 3},
3,Hero,529.0,{'529': 3},
4,Young Link,504.0,"{'904': 2, '504': 1}",
5,Cloud,469.0,{'469': 3},
6,Lucas,286.0,{'286': 3},
7,Sonic,264.0,{'264': 3},
8,Samus,192.0,{'192': 3},
9,Sephiroth,179.0,"{'179': 3, '0': 1, '6': 1}",
10,Daisy,138.0,{'138': 3},
11,Mii Gunner,87.0,"{'7': 2, '87': 1}",
12,Mario,0.0,{'0': 1},
12,Donkey Kong,0.0,{'0': 1},
12,Link,0.0,{'0': 1},
12,Dark Samus,0.0,{'0': 2},
12,Yoshi,0.0,{'0': 1},
12,Kirby,0.0,{'0': 1},
12,Fox,0.0,{'0': 2},
12,Pikachu,0.0,{'0': 2},
12,Luigi,0.0,{'0': 2},
12,Ness,0.0,{'0': 2},
12,Peach,0.0,{'0': 1},
12,Bowser,0.0,{'0': 2},
12,Ice Climbers,0.0,{'0': 1},
12,Sheik,0.0,{'0': 2},
12,Zelda,0.0,{'0': 2},
12,Dr Mario,0.0,{'0': 3},
12,Pichu,0.0,{'0': 2},
12,Falco,0.0,{'0': 1},
12,Marth,0.0,{'0': 1},
12,Lucina,0.0,{'0': 2},
12,Ganondorf,0.0,{'0': 1},
12,Mewtwo,0.0,{'0': 1},
12,Roy,0.0,{'0': 3},
12,Chrom,0.0,{'0': 2},
12,Mr Game and Watch,0.0,{'0': 2},
12,Meta Knight,0.0,{'0': 2},
12,Pit,0.0,{'0': 2},
12,Dark Pit,0.0,{'0': 1},
12,Zero Suit Samus,0.0,{'0': 2},
12,Wario,0.0,{'0': 2},
12,Snake,0.0,{'0': 3},
12,Ike,0.0,{'0': 2},
12,Pokemon Trainer,0.0,{'0': 1},
12,Diddy Kong,0.0,{'0': 1},
12,King Dedede,0.0,{'0': 1},
12,Olimar,0.0,{'0': 1},
12,Lucario,0.0,{'0': 1},
12,ROB,0.0,{'0': 2},
12,Toon Link,0.0,{'0': 1},
12,Villager,0.0,{'0': 2},
12,Mega Man,0.0,{'0': 1},
12,Wii Fit Trainer,0.0,{'0': 1},
12,Rosalina and Luma,0.0,{'0': 2},
12,Little Mac,0.0,{'0': 3},
12,Greninja,0.0,{'0': 2},
12,Palutena,0.0,{'0': 2},
12,Pac-Man,0.0,{'0': 1},
12,Robin,0.0,{'0': 2},
12,Shulk,0.0,{'0': 1},
12,Bowser Jr,0.0,{'0': 1},
12,Duck Hunt,0.0,{'0': 1},
12,Ryu,0.0,{'0': 1},
12,Ken,0.0,{'0': 2},
12,Corrin,0.0,{'0': 2},
12,Bayonetta,0.0,{'0': 1},
12,Inkling,0.0,{'0': 2},
12,Ridley,0.0,{'0': 1},
12,Simon,0.0,{'0': 2},
12,Richter,0.0,{'0': 1},
12,King K Rool,0.0,{'0': 3},
12,Isabelle,0.0,{'0': 1},
12,Incineroar,0.0,{'0': 3},
12,Piranha Plant,0.0,{'0': 2},
12,Joker,0.0,{'0': 1},
12,Banjo and Kazooie,0.0,{'0': 2},
12,Terry,0.0,{'0': 2},
12,Byleth,0.0,{'0': 3},
12,Min Min,0.0,{'0': 3},
12,Steve,0.0,{'0': 3},
12,Pyra-Mythra,0.0,{'0': 2},
12,Kazuya,0.0,{'0': 3},
12,Sora,0.0,{'0': 1},
12,Mii Brawler,0.0,{'0': 1},
12,Mii Swordsman,0.0,{'0': 2},
