rank,character,read_value,candidates,correct
1,Kirby,24937.0,{'24937': 1},
2,King K Rool,24778.0,{'24778': 3},
3,Isabelle,15321.0,{'15321': 3},
4,Pac-Man,13260.0,{'13260': 2},
5,Captain Falcon,9213.0,{'9213': 6},
6,Donkey Kong,1889.0,{'1889': 6},
7,Wii Fit Trainer,1370.0,{'1370': 6},
8,Ike,861.0,{'861': 6},
9,Ganondorf,609.0,{'609': 3},
10,Piranha Plant,565.0,"{'965': 2, '565': 1}",
11,Greninja,412.0,{'412': 3},
12,ROB,337.0,{'337': 3},
13,Villager,168.0,{'168': 3},
14,Mario,0.0,{'0': 2},
14,Link,0.0,{'0': 2},
14,Samus,0.0,{'0': 3},
14,Dark Samus,0.0,{'0': 1},
14,Yoshi,0.0,{'0': 2},
14,Fox,0.0,{'0': 2},
14,Pikachu,0.0,{'0': 3},
14,Luigi,0.0,{'0': 1},
14,Ness,0.0,{'0': 2},
14,Jigglypuff,0.0,{'0': 1},
14,Peach,0.0,{'0': 2},
14,Daisy,0.0,{'0': 2},
14,Bowser,0.0,{'0': 2},
14,Ice Climbers,0.0,{'0': 2},
14,Sheik,0.0,{'0': 2},
14,Zelda,0.0,{'0': 2},
14,Dr Mario,0.0,{'0': 2},
14,Pichu,0.0,{'0': 2},
14,Falco,0.0,{'0': 2},
14,Marth,0.0,{'0': 2},
14,Lucina,0.0,{'0': 2},
14,Young Link,0.0,{'0': 2},
14,Mewtwo,0.0,{'0': 2},
14,Roy,0.0,{'0': 1},
14,Chrom,0.0,{'0': 2},
14,Mr Game and Watch,0.0,{'0': 2},
14,Meta Knight,0.0,{'0': 1},
14,Pit,0.0,{'0': 2},
14,Dark Pit,0.0,{'0': 2},
14,Zero Suit Samus,0.0,{'0': 1},
14,Wario,0.0,{'0': 1},
14,Snake,0.0,{'0': 2},
14,Pokemon Trainer,0.0,{'0': 1},
14,Diddy Kong,0.0,{'0': 1},
14,Lucas,0.0,{'0': 2},
14,Sonic,0.0,{'0': 1},
14,King Dedede,0.0,{'0': 2},
14,Olimar,0.0,{'0': 1},
14,Lucario,0.0,{'0': 1},
14,Toon Link,0.0,{'0': 2},
14,Sephiroth,0.0,{'0': 4},
14,Mega Man,0.0,{'0': 1},
14,Rosalina and Luma,0.0,{'0': 1},
14,Little Mac,0.0,"{'0': 1, '6': 1}",
14,Palutena,0.0,{'0': 1},
14,Robin,0.0,{'0': 2},
14,Shulk,0.0,{'0': 1},
14,Bowser Jr,0.0,{'0': 2},
14,Duck Hunt,0.0,{'0': 2},
14,Ryu,0.0,{'0': 1},
14,Ken,0.0,{'0': 2},
14,Cloud,0.0,{'0': 2},
14,Corrin,0.0,{'0': 2},
14,Bayonetta,0.0,{'0': 3},
14,Inkling,0.0,{'0': 2},
14,Ridley,0.0,{'0': 1},
14,Simon,0.0,{'0': 2},
14,Richter,0.0,{'0': 2},
14,Incineroar,0.0,{'0': 1},
14,Joker,0.0,{'0': 2},
14,Hero,0.0,{'0': 3},
14,Banjo and Kazooie,0.0,{'0': 2},
14,Terry,0.0,{'0': 2},
14,Byleth,0.0,{'0': 1},
14,Min Min,0.0,{'0': 2},
14,Steve,0.0,{'0': 3},
14,Pyra-Mythra,0.0,{'0': 3},
14,Kazuya,0.0,{'0': 3},
14,Sora,0.0,{'0': 4},
14,Mii Brawler,0.0,{'0': 4},
14,Mii Swordsman,0.0,{'0': 1},
14,Mii Gunner,0.0,{'0': 2},
