rank,character,read_value,candidates,correct
1,Kirby,13.0,{'13': 3},
2,Isabelle,8.0,{'8': 3},
3,King K Rool,7.0,{'7': 3},
4,Pac-Man,6.0,{'6': 6},
5,Donkey Kong,1.0,{'1': 6},
5,Captain Falcon,1.0,{'1': 6},
5,Wii Fit Trainer,1.0,{'1': 6},
5,Greninja,1.0,{'1': 6},
5,Piranha Plant,1.0,{'1': 3},
10,Ganondorf,0.0,{'0': 1},
10,Ike,0.0,{'0': 3},
10,ROB,0.0,{'0': 2},
10,Villager,0.0,{'0': 1},
10,Mario,0.0,{'0': 2},
10,Link,0.0,{'0': 1},
10,Samus,0.0,{'0': 2},
10,Dark Samus,0.0,"{'0': 1, '6': 1}",
10,Yoshi,0.0,{'0': 1},
10,Fox,0.0,{'0': 2},
10,Pikachu,0.0,{'0': 1},
10,Luigi,0.0,{'0': 2},
10,Ness,0.0,{'0': 3},
10,Jigglypuff,0.0,{'0': 2},
10,Peach,0.0,{'0': 3},
10,Daisy,0.0,{'0': 1},
10,Bowser,0.0,{'0': 1},
10,Ice Climbers,0.0,{'0': 2},
10,Sheik,0.0,{'0': 2},
10,Zelda,0.0,{'0': 1},
10,Dr Mario,0.0,{'0': 2},
10,Pichu,0.0,{'0': 1},
10,Falco,0.0,{'0': 1},
10,Marth,0.0,{'0': 2},
10,Lucina,0.0,{'0': 1},
10,Young Link,0.0,{'0': 2},
10,Mewtwo,0.0,{'0': 1},
10,Roy,0.0,{'0': 2},
10,Chrom,0.0,{'0': 1},
10,Mr Game and Watch,0.0,"{'0': 1, '6': 1}",
10,Meta Knight,0.0,{'0': 3},
10,Pit,0.0,{'0': 1},
10,Dark Pit,0.0,{'0': 2},
10,Zero Suit Samus,0.0,{'0': 2},
10,Wario,0.0,{'0': 1},
10,Snake,0.0,{'0': 2},
10,Pokemon Trainer,0.0,{'0': 2},
10,Diddy Kong,0.0,{'0': 1},
10,Lucas,0.0,{'0': 1},
10,Sonic,0.0,{'0': 3},
10,King Dedede,0.0,{'0': 2},
10,Olimar,0.0,{'0': 1},
10,Lucario,0.0,{'0': 2},
10,Toon Link,0.0,{'0': 3},
10,Sephiroth,0.0,{'0': 4},
10,Mega Man,0.0,{'0': 2},
10,Rosalina and Luma,0.0,{'0': 2},
10,Little Mac,0.0,{'0': 2},
10,Palutena,0.0,{'0': 1},
10,Robin,0.0,{'0': 2},
10,Shulk,0.0,{'0': 1},
10,Bowser Jr,0.0,{'0': 1},
10,Duck Hunt,0.0,{'0': 3},
10,Ryu,0.0,{'0': 2},
10,Ken,0.0,{'0': 1},
10,Cloud,0.0,{'0': 2},
10,Corrin,0.0,{'0': 2},
10,Bayonetta,0.0,{'0': 2},
10,Inkling,0.0,{'0': 1},
10,Ridley,0.0,{'0': 4},
10,Simon,0.0,{'0': 2},
10,Richter,0.0,{'0': 2},
10,Incineroar,0.0,{'0': 1},
10,Joker,0.0,{'0': 1},
10,Hero,0.0,{'0': 3},
10,Banjo and Kazooie,0.0,{'0': 2},
10,Terry,0.0,{'0': 2},
10,Byleth,0.0,{'0': 2},
10,Min Min,0.0,{'0': 2},
10,Steve,0.0,{'0': 4},
10,Pyra-Mythra,0.0,{'0': 5},
10,Kazuya,0.0,{'0': 2},
10,Sora,0.0,{'0': 4},
10,Mii Brawler,0.0,{'0': 2},
10,Mii Swordsman,0.0,{'0': 1},
10,Mii Gunner,0.0,{'0': 3},
