rank,character,read_value,candidates,correct
1,Wii Fit Trainer,828.0,{'828': 3},
2,Hero,674.0,{'674': 3},
3,Wario,590.0,{'590': 3},
4,Incineroar,117.0,"{'117': 2, '7': 1}",
5,Donkey Kong,15.0,{'15': 3},
6,Robin,12.0,{'12': 3},
7,Bayonetta,11.0,{'11': 2},
8,ROB,10.0,{'10': 3},
9,Lucas,6.0,{'6': 3},
10,Diddy Kong,5.0,{'5': 3},
10,Terry,5.0,{'5': 3},
12,Mr Game and Watch,4.0,{'4': 3},
13,Ganondorf,2.0,{'2': 3},
14,Mario,0.0,{'0': 2},
14,Link,0.0,{'0': 2},
14,Samus,0.0,{'0': 2},
14,Yoshi,0.0,{'0': 3},
14,Kirby,0.0,{'0': 2},
14,Fox,0.0,{'0': 1},
14,Pikachu,0.0,{'0': 2},
14,Luigi,0.0,{'0': 2},
14,Ness,0.0,{'0': 1},
14,Captain Falcon,0.0,{'0': 4},
14,Jigglypuff,0.0,{'0': 3},
14,Peach,0.0,{'0': 2},
14,Bowser,0.0,{'0': 2},
14,Ice Climbers,0.0,{'0': 1},
14,Zelda,0.0,{'0': 3},
14,Pichu,0.0,{'0': 1},
14,Falco,0.0,{'0': 2},
14,Marth,0.0,{'0': 2},
14,Lucina,0.0,{'0': 1},
14,Young Link,0.0,{'0': 1},
14,Mewtwo,0.0,{'0': 3},
14,Roy,0.0,{'0': 2},
14,Zero Suit Samus,0.0,{'0': 1},
14,Snake,0.0,{'0': 6},
14,Ike,0.0,"{'0': 2, '4': 1}",
14,Pokemon Trainer,0.0,{'0': 2},
14,Sonic,0.0,{'0': 1},
14,Lucario,0.0,{'0': 2},
14,Toon Link,0.0,{'0': 1},
14,Wolf,0.0,{'0': 1},
14,Villager,0.0,{'0': 3},
14,Mega Man,0.0,{'0': 2},
14,Little Mac,0.0,{'0': 1},
14,Greninja,0.0,{'0': 1},
14,Palutena,0.0,{'0': 3},
14,Pac-Man,0.0,{'0': 1},
14,Bowser Jr,0.0,{'0': 1},
14,Duck Hunt,0.0,{'0': 2},
14,Ryu,0.0,{'0': 2},
14,Ken,0.0,{'0': 2},
14,Cloud,0.0,"{'0': 1, '4': 1}",
14,Corrin,0.0,{'0': 1},
14,Inkling,0.0,{'0': 3},
14,Ridley,0.0,{'0': 1},
14,Simon,0.0,{'0': 1},
14,Richter,0.0,{'0': 2},
14,King K Rool,0.0,{'0': 1},
14,Piranha Plant,0.0,{'0': 1},
14,Joker,0.0,{'0': 1},
14,Banjo and Kazooie,0.0,{'0': 2},
14,Byleth,0.0,{'0': 2},
14,Min Min,0.0,{'0': 1},
14,Steve,0.0,{'0': 1},
14,Sephiroth,0.0,{'0': 1},
14,Kazuya,0.0,{'0': 1},
14,Sora,0.0,{'0': 2},
14,Mii Gunner,0.0,{'0': 2},
14,Dark Samus,0.0,{'0': 1},
14,Daisy,0.0,{'0': 1},
14,Sheik,0.0,{'0': 1},
14,Dr Mario,0.0,{'0': 2},
14,Chrom,0.0,{'0': 2},
14,Meta Knight,0.0,{'0': 1},
14,Pit,0.0,{'0': 1},
14,Dark Pit,0.0,{'0': 2},
14,King Dedede,0.0,{'0': 3},
14,Olimar,0.0,{'0': 5},
14,Rosalina and Luma,0.0,{'0': 1},
14,Shulk,0.0,{'0': 1},
14,Isabelle,0.0,{'0': 2},
14,Pyra-Mythra,0.0,{'0': 2},
14,Mii Brawler,0.0,{'0': 2},
14,Mii Swordsman,0.0,{'0': 1},
