rank,character,read_value,candidates,correct
1,Wolf,112559.0,"{'112559': 3, '1355': 3}",
2,King K Rool,62985.0,{'62985': 3},
3,ROB,60763.0,{'60763': 3},
4,Diddy Kong,45109.0,{'45109': 3},
5,Incineroar,29875.0,{'29875': 3},
6,Hero,24510.0,{'24510': 3},
7,Mewtwo,21839.0,{'21839': 3},
8,Wii Fit Trainer,14725.0,{'14725': 3},
9,Bowser,11898.0,{'11898': 3},
10,Donkey Kong,7721.0,{'7721': 3},
11,Snake,7119.0,{'7119': 3},
12,Kazuya,5092.0,{'5092': 3},
13,Bayonetta,4977.0,{'4977': 3},
14,Banjo and Kazooie,2148.0,{'2148': 3},
15,Ganondorf,1906.0,{'1906': 3},
16,Captain Falcon,1567.0,{'1567': 3},
17,Piranha Plant,1356.0,{'1356': 3},
18,Sora,1202.0,{'1202': 3},
19,Inkling,1148.0,{'1148': 3},
20,Richter,1089.0,{'1089': 3},
21,Samus,1042.0,{'1042': 3},
22,Greninja,975.0,{'975': 3},
23,Ridley,953.0,{'953': 3},
24,Pokemon Trainer,898.0,{'898': 3},
25,Terry,894.0,{'894': 3},
26,Villager,850.0,{'850': 3},
27,Cloud,735.0,"{'35': 2, '735': 1}",
28,Link,673.0,{'673': 3},
29,Yoshi,641.0,{'641': 3},
30,Zero Suit Samus,602.0,{'602': 3},
31,Sephiroth,550.0,"{'950': 2, '550': 1}",
32,Byleth,548.0,"{'948': 2, '548': 1}",
33,Simon,525.0,"{'925': 2, '525': 1}",
34,Mii Gunner,519.0,{'519': 3},
35,Ice Climbers,517.0,"{'917': 2, '517': 1}",
36,Kirby,437.0,{'437': 3},
37,Roy,425.0,{'425': 3},
38,Mr Game and Watch,407.0,{'407': 3},
39,Little Mac,393.0,{'393': 3},
40,Mario,383.0,{'383': 3},
41,Lucario,377.0,{'377': 3},
42,Corrin,376.0,{'376': 3},
43,Pichu,340.0,{'340': 3},
44,Pac-Man,294.0,{'294': 3},
45,Sonic,291.0,{'291': 3},
46,Ike,290.0,"{'290': 2, '2900': 1}",
47,Luigi,286.0,{'286': 3},
48,Mega Man,264.0,{'264': 3},
49,Young Link,254.0,{'254': 3},
50,Jigglypuff,241.0,{'241': 3},
51,Bowser Jr,222.0,{'222': 3},
52,Steve,216.0,{'216': 3},
53,Ryu,189.0,{'189': 3},
54,Toon Link,178.0,{'178': 3},
55,Zelda,173.0,{'173': 3},
56,Lucas,163.0,{'163': 3},
57,Joker,161.0,{'161': 3},
58,Marth,158.0,{'158': 3},
59,Palutena,156.0,{'156': 3},
59,Ken,156.0,{'156': 3},
61,Duck Hunt,132.0,{'132': 3},
61,Min Min,132.0,{'132': 3},
63,Ness,119.0,"{'119': 2, '1190': 1}",
64,Robin,111.0,{'111': 2},
65,Pikachu,65.0,{'65': 3},
66,Fox,58.0,"{'8': 2, '58': 1}",
67,Falco,32.0,{'32': 3},
68,Peach,26.0,{'26': 3},
69,Lucina,16.0,{'16': 3},
70,Dark Samus,0.0,"{'0': 1, '6': 1}",
70,Daisy,0.0,{'0': 1},
70,Sheik,0.0,{'0': 2},
70,Dr Mario,0.0,{'0': 2},
70,Chrom,0.0,{'0': 1},
70,Meta Knight,0.0,{'0': 1},
70,Pit,0.0,{'0': 1},
70,Dark Pit,0.0,{'0': 1},
70,King Dedede,0.0,{'0': 4},
70,Olimar,0.0,{'0': 5},
70,Rosalina and Luma,0.0,{'0': 3},
70,Shulk,0.0,{'0': 1},
70,Isabelle,0.0,{'0': 3},
70,Pyra-Mythra,0.0,{'0': 1},
70,Mii Brawler,0.0,{'0': 1},
70,Mii Swordsman,0.0,{'0': 3},
