rank,character,read_value,candidates,correct
1,Wolf,137602.0,"{'137602': 3, '2279': 3}",
2,ROB,79172.0,{'79172': 3},
3,King K Rool,62512.0,{'62512': 3},
4,Diddy Kong,55404.0,"{'99404': 2, '55404': 1}",
5,Incineroar,47759.0,{'47759': 3},
6,Hero,34657.0,{'34657': 3},
7,Mewtwo,29664.0,{'29664': 3},
8,Wii Fit Trainer,21803.0,{'21803': 6},
9,Bowser,14690.0,{'14690': 3},
10,Snake,11756.0,{'11756': 3},
11,Donkey Kong,10998.0,{'10998': 3},
12,Kazuya,10621.0,{'10621': 3},
13,Bayonetta,9622.0,{'9622': 3},
14,Banjo and Kazooie,3701.0,{'3701': 3},
15,Ganondorf,3220.0,{'3220': 3},
16,Inkling,2634.0,{'2634': 3},
17,Samus,1914.0,{'1914': 3},
18,Sora,1778.0,{'1778': 3},
19,Ridley,1622.0,{'1622': 3},
20,Terry,1555.0,"{'1999': 2, '1555': 1}",
21,Richter,1465.0,{'1465': 3},
22,Cloud,1373.0,{'1373': 3},
23,Piranha Plant,1322.0,{'1322': 3},
24,Sephiroth,1277.0,{'1277': 3},
25,Captain Falcon,1152.0,{'1152': 3},
26,Pokemon Trainer,1047.0,{'1047': 3},
27,Greninja,1015.0,{'1015': 3},
28,Link,871.0,{'871': 3},
29,Byleth,858.0,{'858': 6},
30,Little Mac,842.0,{'842': 3},
31,Simon,807.0,{'807': 3},
32,Zero Suit Samus,781.0,{'781': 3},
33,Villager,774.0,"{'774': 2, '174': 1}",
34,Mario,666.0,{'666': 3},
35,Sonic,602.0,{'602': 3},
36,Mii Gunner,597.0,"{'97': 4, '597': 2}",
37,Ice Climbers,579.0,"{'79': 2, '579': 1}",
38,Roy,504.0,{'504': 3},
39,Ken,495.0,{'495': 3},
40,Steve,401.0,{'401': 3},
41,Palutena,397.0,{'397': 3},
42,Toon Link,384.0,{'384': 3},
43,Pac-Man,350.0,{'350': 3},
44,Corrin,342.0,{'342': 3},
45,Ryu,335.0,"{'33': 2, '335': 1}",
46,Yoshi,317.0,{'317': 3},
47,Bowser Jr,300.0,{'300': 3},
48,Mr Game and Watch,297.0,{'297': 3},
49,Joker,289.0,{'289': 3},
50,Duck Hunt,288.0,{'288': 3},
51,Kirby,284.0,{'284': 3},
52,Lucas,269.0,{'269': 3},
53,Pichu,259.0,{'259': 3},
54,Ike,256.0,{'256': 3},
55,Luigi,250.0,{'250': 3},
56,Mega Man,247.0,{'247': 3},
57,Marth,246.0,{'246': 3},
58,Young Link,231.0,{'231': 3},
59,Lucario,230.0,"{'230': 2, '2300': 1}",
60,Min Min,228.0,{'228': 3},
61,Jigglypuff,184.0,{'184': 3},
62,Fox,168.0,{'168': 3},
63,Ness,151.0,{'151': 3},
64,Peach,142.0,{'142': 3},
65,Zelda,99.0,{'99': 3},
66,Robin,79.0,{'79': 3},
67,Lucina,52.0,"{'92': 2, '52': 1}",
68,Pikachu,49.0,{'49': 3},
69,Falco,6.0,{'6': 3},
70,Dark Samus,0.0,{'0': 2},
70,Daisy,0.0,{'0': 1},
70,Sheik,0.0,{'0': 1},
70,Dr Mario,0.0,{'0': 3},
70,Chrom,0.0,{'0': 2},
70,Meta Knight,0.0,{'0': 2},
70,Pit,0.0,{'0': 2},
70,Dark Pit,0.0,{'0': 2},
70,King Dedede,0.0,{'0': 2},
70,Olimar,0.0,{'0': 3},
70,Rosalina and Luma,0.0,{'0': 2},
70,Shulk,0.0,{'0': 1},
70,Isabelle,0.0,{'0': 3},
70,Pyra-Mythra,0.0,{'0': 2},
70,Mii Brawler,0.0,{'0': 2},
70,Mii Swordsman,0.0,{'0': 2},
