rank,character,read_value,candidates,correct
1,King K Rool,316.0,{'316': 3},
2,Wolf,300.0,"{'300': 3, '0': 2}",
3,ROB,253.0,{'253': 3},
4,Mewtwo,121.0,{'121': 3},
5,Incineroar,83.0,{'83': 3},
6,Wii Fit Trainer,65.0,{'65': 3},
7,Bowser,63.0,{'63': 3},
8,Diddy Kong,60.0,{'60': 6},
9,Hero,51.0,"{'1': 2, '51': 1}",
10,Donkey Kong,29.0,{'29': 3},
11,Kazuya,12.0,{'12': 3},
12,Snake,9.0,{'9': 2},
13,Ganondorf,8.0,{'8': 3},
14,Bayonetta,7.0,{'7': 1},
15,Banjo and Kazooie,5.0,{'5': 1},
16,Samus,3.0,{'3': 3},
16,Captain Falcon,3.0,{'3': 3},
16,Ice Climbers,3.0,{'3': 1},
16,Inkling,3.0,{'3': 1},
16,Sora,3.0,{'3': 3},
16,Mii Gunner,3.0,{'3': 3},
22,Kirby,2.0,{'2': 3},
22,Pokemon Trainer,2.0,{'2': 3},
22,Villager,2.0,{'2': 3},
22,Greninja,2.0,{'2': 3},
22,Richter,2.0,{'2': 3},
22,Joker,2.0,{'2': 3},
22,Sephiroth,2.0,{'2': 3},
29,Link,1.0,{'1': 3},
29,Jigglypuff,1.0,{'1': 3},
29,Pichu,1.0,{'1': 3},
29,Roy,1.0,{'1': 3},
29,Mr Game and Watch,1.0,{'1': 3},
29,Sonic,1.0,{'1': 3},
29,Palutena,1.0,{'1': 3},
29,Bowser Jr,1.0,{'1': 3},
37,Mario,0.0,{'0': 1},
37,Yoshi,0.0,{'0': 2},
37,Fox,0.0,{'0': 3},
37,Pikachu,0.0,{'0': 2},
37,Luigi,0.0,{'0': 1},
37,Ness,0.0,{'0': 3},
37,Peach,0.0,{'0': 1},
37,Zelda,0.0,{'0': 2},
37,Falco,0.0,{'0': 2},
37,Marth,0.0,{'0': 2},
37,Lucina,0.0,{'0': 1},
37,Young Link,0.0,{'0': 1},
37,Zero Suit Samus,0.0,{'0': 1},
37,Ike,0.0,{'0': 2},
37,Lucas,0.0,{'0': 2},
37,Lucario,0.0,{'0': 1},
37,Toon Link,0.0,{'0': 2},
37,Mega Man,0.0,{'0': 1},
37,Little Mac,0.0,{'0': 2},
37,Pac-Man,0.0,{'0': 2},
37,Robin,0.0,{'0': 2},
37,Duck Hunt,0.0,"{'0': 1, '6': 1}",
37,Ryu,0.0,{'0': 2},
37,Ken,0.0,{'0': 2},
37,Cloud,0.0,{'0': 2},
37,Corrin,0.0,{'0': 3},
37,Ridley,0.0,{'0': 1},
37,Simon,0.0,{'0': 1},
37,Piranha Plant,0.0,{'0': 1},
37,Terry,0.0,{'0': 2},
37,Byleth,0.0,{'0': 2},
37,Min Min,0.0,{'0': 1},
37,Steve,0.0,{'0': 2},
37,Dark Samus,0.0,{'0': 2},
37,Daisy,0.0,{'0': 2},
37,Sheik,0.0,{'0': 2},
37,Dr Mario,0.0,{'0': 2},
37,Chrom,0.0,{'0': 3},
37,Meta Knight,0.0,{'0': 1},
37,Pit,0.0,{'0': 1},
37,Dark Pit,0.0,{'0': 2},
37,King Dedede,0.0,{'0': 4},
37,Olimar,0.0,{'0': 3},
37,Rosalina and Luma,0.0,{'0': 3},
37,Shulk,0.0,{'0': 1},
37,Isabelle,0.0,{'0': 3},
37,Pyra-Mythra,0.0,{'0': 2},
37,Mii Brawler,0.0,{'0': 2},
37,Mii Swordsman,0.0,{'0': 2},
