rank,character,read_value,candidates,correct
1,Wolf,149.0,"{'149': 3, '1': 3, '0': 3}",
2,King K Rool,91.0,{'91': 3},
3,Hero,55.0,{'55': 1},
4,ROB,28.0,{'28': 3},
5,Incineroar,24.0,{'24': 3},
6,Wii Fit Trainer,19.0,{'19': 3},
7,Mewtwo,15.0,"{'15': 2, '150': 1}",
8,Diddy Kong,12.0,{'12': 6},
9,Kazuya,10.0,{'10': 3},
10,Snake,9.0,{'9': 3},
10,Bayonetta,9.0,{'9': 1},
10,Samus,9.0,"{'9': 2, '5': 1}",
13,Bowser,4.0,{'4': 3},
14,Ganondorf,3.0,{'3': 3},
14,Ridley,3.0,{'3': 6},
14,Richter,3.0,{'3': 3},
17,Donkey Kong,2.0,{'2': 3},
17,Roy,2.0,{'2': 3},
17,Byleth,2.0,{'2': 3},
20,Link,1.0,{'1': 3},
20,Captain Falcon,1.0,{'1': 3},
20,Ike,1.0,{'1': 6},
20,Pokemon Trainer,1.0,{'1': 3},
20,Little Mac,1.0,{'1': 3},
20,Palutena,1.0,{'1': 3},
20,Ryu,1.0,{'1': 3},
20,Inkling,1.0,{'1': 3},
20,Joker,1.0,{'1': 6},
20,Terry,1.0,{'1': 3},
20,Sora,1.0,{'1': 3},
20,Mii Gunner,1.0,{'1': 3},
32,Mario,0.0,{'0': 1},
32,Yoshi,0.0,{'0': 2},
32,Kirby,0.0,{'0': 2},
32,Fox,0.0,{'0': 3},
32,Pikachu,0.0,{'0': 1},
32,Luigi,0.0,{'0': 2},
32,Ness,0.0,{'0': 1},
32,Jigglypuff,0.0,{'0': 3},
32,Peach,0.0,{'0': 2},
32,Ice Climbers,0.0,{'0': 2},
32,Zelda,0.0,{'0': 2},
32,Pichu,0.0,{'0': 1},
32,Falco,0.0,{'0': 2},
32,Marth,0.0,{'0': 2},
32,Lucina,0.0,{'0': 1},
32,Young Link,0.0,{'0': 3},
32,Mr Game and Watch,0.0,{'0': 3},
32,Zero Suit Samus,0.0,{'0': 1},
32,Lucas,0.0,{'0': 2},
32,Sonic,0.0,{'0': 2},
32,Lucario,0.0,{'0': 1},
32,Toon Link,0.0,{'0': 1},
32,Villager,0.0,{'0': 3},
32,Mega Man,0.0,{'0': 2},
32,Greninja,0.0,{'0': 1},
32,Pac-Man,0.0,{'0': 3},
32,Robin,0.0,{'0': 2},
32,Bowser Jr,0.0,{'0': 1},
32,Duck Hunt,0.0,{'0': 1},
32,Ken,0.0,{'0': 3},
32,Cloud,0.0,{'0': 2},
32,Corrin,0.0,{'0': 1},
32,Simon,0.0,{'0': 2},
32,Piranha Plant,0.0,{'0': 2},
32,Banjo and Kazooie,0.0,{'0': 1},
32,Min Min,0.0,{'0': 2},
32,Steve,0.0,{'0': 2},
32,Sephiroth,0.0,{'0': 2},
32,Dark Samus,0.0,{'0': 1},
32,Daisy,0.0,{'0': 3},
32,Sheik,0.0,{'0': 2},
32,Dr Mario,0.0,{'0': 1},
32,Chrom,0.0,{'0': 1},
32,Pit,0.0,{'0': 2},
32,Dark Pit,0.0,{'0': 2},
32,King Dedede,0.0,{'0': 3},
32,Olimar,0.0,{'0': 1},
32,Rosalina and Luma,0.0,{'0': 2},
32,Shulk,0.0,{'0': 1},
32,Isabelle,0.0,{'0': 2},
32,Pyra-Mythra,0.0,{'0': 2},
32,Mii Brawler,0.0,{'0': 2},
32,Mii Swordsman,0.0,{'0': 2},
