rank,character,read_value,candidates,correct
1,Wolf,14.0,"{'14': 3, '0': 4}",
2,Incineroar,11.0,{'11': 2},
3,Mewtwo,8.0,{'8': 3},
3,ROB,8.0,{'8': 2},
5,Donkey Kong,6.0,{'6': 3},
5,Hero,6.0,{'6': 3},
7,Diddy Kong,5.0,{'5': 1},
7,Wii Fit Trainer,5.0,{'5': 2},
9,King K Rool,4.0,{'4': 3},
10,Kazuya,3.0,{'3': 3},
11,Captain Falcon,2.0,{'2': 3},
12,Bowser,1.0,{'1': 3},
12,Snake,1.0,{'1': 3},
12,Lucas,1.0,{'1': 3},
12,Bowser Jr,1.0,{'1': 3},
12,Bayonetta,1.0,{'1': 3},
12,Inkling,1.0,{'1': 3},
18,Mario,0.0,{'0': 1},
18,Link,0.0,{'0': 2},
18,Samus,0.0,{'0': 1},
18,Yoshi,0.0,{'0': 2},
18,Kirby,0.0,{'0': 2},
18,Fox,0.0,{'0': 1},
18,Pikachu,0.0,{'0': 3},
18,Luigi,0.0,{'0': 1},
18,Ness,0.0,{'0': 1},
18,Jigglypuff,0.0,{'0': 2},
18,Peach,0.0,{'0': 2},
18,Ice Climbers,0.0,{'0': 2},
18,Zelda,0.0,{'0': 2},
18,Pichu,0.0,{'0': 1},
18,Falco,0.0,{'0': 2},
18,Marth,0.0,{'0': 2},
18,Lucina,0.0,{'0': 2},
18,Young Link,0.0,{'0': 2},
18,Ganondorf,0.0,{'0': 3},
18,Roy,0.0,{'0': 2},
18,Mr Game and Watch,0.0,{'0': 2},
18,Zero Suit Samus,0.0,{'0': 2},
18,Ike,0.0,{'0': 2},
18,Pokemon Trainer,0.0,{'0': 1},
18,Sonic,0.0,{'0': 2},
18,Lucario,0.0,{'0': 2},
18,Toon Link,0.0,{'0': 1},
18,Villager,0.0,{'0': 3},
18,Mega Man,0.0,{'0': 1},
18,Little Mac,0.0,{'0': 1},
18,Greninja,0.0,{'0': 3},
18,Palutena,0.0,{'0': 3},
18,Pac-Man,0.0,{'0': 1},
18,Robin,0.0,{'0': 2},
18,Duck Hunt,0.0,{'0': 3},
18,Ryu,0.0,{'0': 1},
18,Ken,0.0,{'0': 1},
18,Cloud,0.0,{'0': 2},
18,Corrin,0.0,{'0': 2},
18,Ridley,0.0,{'0': 2},
18,Simon,0.0,{'0': 1},
18,Richter,0.0,{'0': 2},
18,Piranha Plant,0.0,{'0': 2},
18,Joker,0.0,{'0': 1},
18,Banjo and Kazooie,0.0,{'0': 1},
18,Terry,0.0,{'0': 1},
18,Byleth,0.0,{'0': 3},
18,Min Min,0.0,{'0': 2},
18,Steve,0.0,{'0': 2},
18,Sephiroth,0.0,{'0': 1},
18,Sora,0.0,{'0': 2},
18,Mii Gunner,0.0,{'0': 2},
18,Dark Samus,0.0,{'0': 2},
18,Daisy,0.0,{'0': 2},
18,Sheik,0.0,{'0': 2},
18,Dr Mario,0.0,"{'0': 1, '4': 1}",
18,Chrom,0.0,{'0': 2},
18,Meta Knight,0.0,{'0': 1},
18,Pit,0.0,{'0': 2},
18,Dark Pit,0.0,{'0': 2},
18,King Dedede,0.0,{'0': 4},
18,Olimar,0.0,{'0': 5},
18,Rosalina and Luma,0.0,{'0': 4},
18,Shulk,0.0,{'0': 1},
18,Isabelle,0.0,{'0': 2},
18,Pyra-Mythra,0.0,{'0': 3},
18,Mii Brawler,0.0,{'0': 1},
18,Mii Swordsman,0.0,{'0': 3},
