rank,character,read_value,candidates,correct
1,Bowser,284.0,{'284': 3},
1,Incineroar,284.0,{'284': 3},
3,Wario,281.0,{'281': 3},
4,Yoshi,253.0,{'253': 3},
4,King K Rool,253.0,{'253': 3},
6,Richter,252.0,"{'2352': 2, '252': 1}",
7,Donkey Kong,245.0,{'245': 3},
7,Hero,245.0,{'245': 3},
9,Kazuya,235.0,{'235': 3},
10,ROB,230.0,"{'230': 2, '2300': 1}",
11,Ganondorf,225.0,"{'225': 2, '223': 1}",
12,Byleth,222.0,{'222': 3},
13,Captain Falcon,221.0,{'221': 3},
14,Villager,220.0,{'220': 3},
15,Diddy Kong,219.0,{'219': 3},
16,Mewtwo,213.0,{'213': 3},
17,Wii Fit Trainer,211.0,"{'211': 2, '2': 1}",
18,Snake,205.0,{'205': 3},
19,Bayonetta,186.0,{'186': 3},
20,Peach,182.0,{'182': 3},
20,Piranha Plant,182.0,{'182': 3},
22,Pichu,180.0,{'180': 3},
22,Min Min,180.0,{'180': 3},
24,Lucas,179.0,{'179': 3},
25,Banjo and Kazooie,178.0,{'178': 3},
25,Steve,178.0,{'178': 3},
27,Samus,177.0,"{'177': 2, '7': 1}",
28,Simon,176.0,{'176': 3},
29,Sora,172.0,{'172': 3},
30,Sonic,171,{'171': 3},
31,Mario,170.0,{'170': 3},
31,Link,170.0,{'170': 3},
31,Mega Man,170.0,{'170': 3},
34,Luigi,167.0,{'167': 3},
35,Palutena,166.0,{'166': 3},
36,Roy,165.0,{'165': 3},
37,Ken,164.0,{'164': 3},
37,Terry,164.0,{'164': 3},
39,Kirby,160.0,{'160': 3},
39,Lucario,160.0,{'160': 3},
39,Cloud,160.0,{'160': 3},
42,Pokemon Trainer,156.0,{'156': 3},
42,Inkling,156.0,{'156': 3},
44,Zero Suit Samus,155.0,{'155': 3},
45,Corrin,154.0,{'154': 3},
46,Sephiroth,151.0,{'151': 3},
47,Wolf,150.0,{'150': 3},
47,Mii Gunner,150.0,{'150': 3},
49,Ryu,149.0,{'149': 3},
50,Mr Game and Watch,148.0,{'148': 3},
50,Ridley,148.0,{'148': 3},
52,Little Mac,145.0,{'145': 3},
53,Greninja,143.0,{'143': 3},
54,Bowser Jr,142.0,{'142': 3},
55,Duck Hunt,140.0,{'140': 3},
56,Pac-Man,139.0,{'139': 3},
57,Ness,136.0,{'136': 3},
57,Jigglypuff,136.0,{'136': 3},
57,Ike,136.0,{'136': 3},
60,Toon Link,132.0,{'132': 3},
61,Joker,126.0,{'126': 3},
62,Young Link,122.0,{'122': 1},
63,Ice Climbers,119.0,"{'119': 2, '1190': 1}",
64,Zelda,118.0,{'118': 3},
65,Marth,115.0,{'115': 3},
66,Pikachu,114.0,{'114': 3},
67,Robin,109.0,{'109': 3},
68,Fox,101.0,{'101': 3},
69,Lucina,73.0,{'73': 3},
70,Falco,61.0,{'61': 3},
71,Dark Samus,0.0,{'0': 2},
71,Daisy,0.0,{'0': 3},
71,Sheik,0.0,{'0': 2},
71,Dr Mario,0.0,{'0': 1},
71,Chrom,0.0,{'0': 1},
71,Meta Knight,0.0,{'0': 1},
71,Pit,0.0,{'0': 2},
71,Dark Pit,0.0,{'0': 2},
71,King Dedede,0.0,{'0': 3},
71,Olimar,0.0,{'0': 3},
71,Rosalina and Luma,0.0,{'0': 1},
71,Shulk,0.0,{'0': 1},
71,Isabelle,0.0,{'0': 2},
71,Pyra-Mythra,0.0,{'0': 3},
71,Mii Brawler,0.0,{'0': 1},
71,Mii Swordsman,0.0,{'0': 3},
