rank,character,read_value,candidates,correct
1,Wolf,153.0,"{'153': 3, '2': 3}",
2,King K Rool,134.0,{'134': 3},
3,ROB,95.0,{'95': 3},
4,Incineroar,54.0,{'54': 3},
5,Hero,50.0,{'50': 3},
6,Diddy Kong,45.0,{'45': 3},
7,Wii Fit Trainer,44.0,{'44': 3},
8,Mewtwo,24.0,{'24': 3},
9,Snake,14.0,{'14': 3},
10,Bowser,12.0,{'12': 3},
11,Donkey Kong,8.0,{'8': 2},
12,Ganondorf,5.0,"{'9': 2, '5': 1}",
12,Bayonetta,5.0,{'5': 1},
12,Banjo and Kazooie,5.0,"{'6': 2, '5': 1}",
15,Piranha Plant,4.0,{'4': 3},
15,Kazuya,4.0,{'4': 3},
17,Inkling,3.0,{'3': 3},
18,Link,2.0,{'2': 3},
18,Byleth,2.0,{'2': 3},
18,Sora,2.0,{'2': 3},
21,Samus,1.0,{'1': 3},
21,Captain Falcon,1.0,{'1': 3},
21,Jigglypuff,1.0,{'1': 3},
21,Ike,1.0,{'1': 3},
21,Sonic,1.0,{'1': 3},
21,Villager,1.0,{'1': 3},
21,Cloud,1.0,{'1': 3},
21,Simon,1.0,{'1': 3},
21,Richter,1.0,{'1': 3},
21,Joker,1.0,{'1': 3},
21,Terry,1.0,{'1': 3},
21,Mii Gunner,1.0,{'1': 3},
33,Mario,0.0,{'0': 1},
33,Yoshi,0.0,{'0': 2},
33,Kirby,0.0,{'0': 1},
33,Fox,0.0,{'0': 1},
33,Pikachu,0.0,{'0': 2},
33,Luigi,0.0,{'0': 2},
33,Ness,0.0,{'0': 1},
33,Peach,0.0,{'0': 1},
33,Ice Climbers,0.0,{'0': 2},
33,Zelda,0.0,{'0': 2},
33,Pichu,0.0,{'0': 2},
33,Falco,0.0,{'0': 1},
33,Marth,0.0,{'0': 3},
33,Lucina,0.0,{'0': 1},
33,Young Link,0.0,{'0': 1},
33,Roy,0.0,{'0': 2},
33,Mr Game and Watch,0.0,{'0': 3},
33,Zero Suit Samus,0.0,{'0': 2},
33,Pokemon Trainer,0.0,{'0': 1},
33,Lucas,0.0,{'0': 2},
33,Lucario,0.0,{'0': 1},
33,Toon Link,0.0,{'0': 1},
33,Mega Man,0.0,{'0': 2},
33,Little Mac,0.0,{'0': 2},
33,Greninja,0.0,{'0': 2},
33,Palutena,0.0,{'0': 1},
33,Pac-Man,0.0,{'0': 1},
33,Robin,0.0,{'0': 1},
33,Bowser Jr,0.0,{'0': 2},
33,Duck Hunt,0.0,{'0': 2},
33,Ryu,0.0,{'0': 2},
33,Ken,0.0,{'0': 2},
33,Corrin,0.0,{'0': 1},
33,Ridley,0.0,"{'0': 1, '4': 1}",
33,Min Min,0.0,{'0': 3},
33,Steve,0.0,{'0': 1},
33,Sephiroth,0.0,{'0': 1},
33,Dark Samus,0.0,{'0': 3},
33,Daisy,0.0,{'0': 3},
33,Sheik,0.0,{'0': 2},
33,Dr Mario,0.0,{'0': 3},
33,Chrom,0.0,{'0': 2},
33,Meta Knight,0.0,{'0': 1},
33,Pit,0.0,{'0': 1},
33,Dark Pit,0.0,{'0': 1},
33,King Dedede,0.0,{'0': 5},
33,Olimar,0.0,{'0': 4},
33,Rosalina and Luma,0.0,{'0': 4},
33,Shulk,0.0,{'0': 1},
33,Isabelle,0.0,{'0': 3},
33,Pyra-Mythra,0.0,{'0': 1},
33,Mii Brawler,0.0,{'0': 1},
33,Mii Swordsman,0.0,{'0': 3},
