rank,character,read_value,candidates,correct
1,Diddy Kong,22.0,{'22': 3},
2,King K Rool,8.0,"{'8': 2, '38': 1}",
3,Wario,7.0,{'7': 3},
4,Wii Fit Trainer,5.0,{'5': 1},
5,ROB,4.0,{'4': 3},
6,Donkey Kong,3.0,{'3': 3},
6,Incineroar,3.0,{'3': 3},
8,Hero,2.0,{'2': 3},
9,Ganondorf,1.0,{'1': 3},
9,Snake,1.0,{'1': 3},
9,Villager,1.0,{'1': 3},
9,Piranha Plant,1.0,{'1': 3},
9,Kazuya,1.0,{'1': 3},
14,Mario,0.0,{'0': 1},
14,Link,0.0,{'0': 1},
14,Samus,0.0,{'0': 2},
14,Yoshi,0.0,{'0': 1},
14,Kirby,0.0,{'0': 2},
14,Fox,0.0,{'0': 1},
14,Pikachu,0.0,{'0': 3},
14,Luigi,0.0,{'0': 3},
14,Ness,0.0,{'0': 2},
14,Captain Falcon,0.0,{'0': 1},
14,Jigglypuff,0.0,{'0': 1},
14,Peach,0.0,{'0': 2},
14,Bowser,0.0,{'0': 2},
14,Ice Climbers,0.0,{'0': 3},
14,Zelda,0.0,{'0': 2},
14,Pichu,0.0,{'0': 2},
14,Falco,0.0,{'0': 2},
14,Marth,0.0,{'0': 1},
14,Lucina,0.0,{'0': 1},
14,Young Link,0.0,{'0': 1},
14,Mewtwo,0.0,{'0': 1},
14,Roy,0.0,{'0': 2},
14,Mr Game and Watch,0.0,{'0': 1},
14,Zero Suit Samus,0.0,{'0': 3},
14,Ike,0.0,{'0': 2},
14,Pokemon Trainer,0.0,{'0': 2},
14,Lucas,0.0,{'0': 1},
14,Sonic,0.0,{'0': 3},
14,Lucario,0.0,{'0': 2},
14,Toon Link,0.0,{'0': 3},
14,Wolf,0.0,{'0': 3},
14,Mega Man,0.0,{'0': 2},
14,Little Mac,0.0,{'0': 2},
14,Greninja,0.0,{'0': 2},
14,Palutena,0.0,{'0': 3},
14,Pac-Man,0.0,{'0': 2},
14,Robin,0.0,"{'0': 2, '4': 1}",
14,Bowser Jr,0.0,{'0': 5},
14,Duck Hunt,0.0,{'0': 2},
14,Ryu,0.0,{'0': 2},
14,Ken,0.0,{'0': 1},
14,Cloud,0.0,{'0': 2},
14,Corrin,0.0,{'0': 2},
14,Bayonetta,0.0,{'0': 1},
14,Inkling,0.0,{'0': 2},
14,Ridley,0.0,{'0': 2},
14,Simon,0.0,{'0': 1},
14,Richter,0.0,{'0': 1},
14,Joker,0.0,{'0': 1},
14,Banjo and Kazooie,0.0,{'0': 2},
14,Terry,0.0,{'0': 2},
14,Byleth,0.0,{'0': 1},
14,Min Min,0.0,{'0': 1},
14,Steve,0.0,{'0': 1},
14,Sephiroth,0.0,{'0': 1},
14,Sora,0.0,{'0': 1},
14,Mii Gunner,0.0,{'0': 2},
14,Dark Samus,0.0,{'0': 2},
14,Daisy,0.0,{'0': 1},
14,Sheik,0.0,{'0': 1},
14,Dr Mario,0.0,{'0': 2},
14,Chrom,0.0,{'0': 1},
14,Meta Knight,0.0,{'0': 2},
14,Pit,0.0,{'0': 1},
14,Dark Pit,0.0,{'0': 2},
14,King Dedede,0.0,{'0': 3},
14,Olimar,0.0,{'0': 5},
14,Rosalina and Luma,0.0,{'0': 2},
14,Shulk,0.0,{'0': 1},
14,Isabelle,0.0,{'0': 3},
14,Pyra-Mythra,0.0,{'0': 2},
14,Mii Brawler,0.0,{'0': 2},
14,Mii Swordsman,0.0,{'0': 2},
