rank,character,read_value,candidates,correct
1,Wolf,105.0,"{'105': 3, '1': 3}",
2,King K Rool,81.0,{'81': 3},
3,ROB,56.0,{'56': 3},
4,Wii Fit Trainer,28.0,{'28': 3},
5,Hero,26.0,{'26': 3},
6,Incineroar,25.0,{'25': 3},
7,Diddy Kong,20.0,"{'20': 2, '200': 1}",
8,Mewtwo,17.0,"{'17': 4, '7': 2}",
9,Snake,8.0,"{'8': 2, '38': 1}",
10,Bowser,6.0,{'6': 2},
11,Donkey Kong,5.0,{'5': 1},
12,Bayonetta,4.0,{'4': 3},
13,Inkling,3.0,{'3': 3},
13,Banjo and Kazooie,3.0,{'3': 3},
15,Ganondorf,2.0,{'2': 6},
15,Piranha Plant,2.0,{'2': 3},
17,Link,1.0,{'1': 3},
17,Samus,1.0,{'1': 3},
17,Captain Falcon,1.0,{'1': 3},
17,Sonic,1.0,{'1': 3},
17,Byleth,1.0,{'1': 6},
17,Sora,1.0,{'1': 3},
17,Mii Gunner,1.0,{'1': 3},
24,Mario,0.0,{'0': 2},
24,Yoshi,0.0,{'0': 3},
24,Kirby,0.0,{'0': 2},
24,Fox,0.0,{'0': 2},
24,Pikachu,0.0,"{'0': 2, '4': 1}",
24,Luigi,0.0,{'0': 3},
24,Ness,0.0,{'0': 1},
24,Jigglypuff,0.0,{'0': 1},
24,Peach,0.0,{'0': 2},
24,Ice Climbers,0.0,{'0': 3},
24,Zelda,0.0,{'0': 2},
24,Pichu,0.0,{'0': 4},
24,Falco,0.0,{'0': 3},
24,Marth,0.0,{'0': 1},
24,Lucina,0.0,{'0': 1},
24,Young Link,0.0,{'0': 2},
24,Roy,0.0,{'0': 2},
24,Mr Game and Watch,0.0,{'0': 2},
24,Zero Suit Samus,0.0,{'0': 2},
24,Ike,0.0,{'0': 1},
24,Pokemon Trainer,0.0,{'0': 1},
24,Lucas,0.0,{'0': 1},
24,Lucario,0.0,{'0': 2},
24,Toon Link,0.0,{'0': 1},
24,Villager,0.0,{'0': 3},
24,Mega Man,0.0,{'0': 1},
24,Little Mac,0.0,{'0': 3},
24,Greninja,0.0,{'0': 2},
24,Palutena,0.0,{'0': 1},
24,Pac-Man,0.0,{'0': 1},
24,Robin,0.0,{'0': 2},
24,Bowser Jr,0.0,{'0': 3},
24,Duck Hunt,0.0,{'0': 3},
24,Ryu,0.0,{'0': 2},
24,Ken,0.0,{'0': 1},
24,Cloud,0.0,{'0': 1},
24,Corrin,0.0,{'0': 1},
24,Ridley,0.0,{'0': 2},
24,Simon,0.0,{'0': 2},
24,Richter,0.0,{'0': 1},
24,Joker,0.0,{'0': 1},
24,Terry,0.0,{'0': 2},
24,Min Min,0.0,{'0': 2},
24,Steve,0.0,{'0': 1},
24,Sephiroth,0.0,{'0': 1},
24,Kazuya,0.0,{'0': 2},
24,Dark Samus,0.0,{'0': 2},
24,Daisy,0.0,{'0': 1},
24,Sheik,0.0,{'0': 1},
24,Dr Mario,0.0,{'0': 1},
24,Chrom,0.0,{'0': 1},
24,Meta Knight,0.0,{'0': 1},
24,Pit,0.0,{'0': 2},
24,Dark Pit,0.0,{'0': 3},
24,King Dedede,0.0,{'0': 2},
24,Olimar,0.0,{'0': 3},
24,Rosalina and Luma,0.0,{'0': 1},
24,Shulk,0.0,{'0': 2},
24,Isabelle,0.0,{'0': 3},
24,Pyra-Mythra,0.0,{'0': 2},
24,Mii Brawler,0.0,{'0': 2},
24,Mii Swordsman,0.0,{'0': 2},
