rank,character,read_value,candidates,correct
1,Donkey Kong,221.0,{'221': 3},
2,Ganondorf,92.0,{'92': 3},
3,Cloud,86.0,{'86': 6},
4,Chrom,84.0,{'84': 6},
5,Pyra-Mythra,68.0,{'68': 6},
6,Link,64.0,{'64': 6},
7,Ike,52.0,"{'92': 4, '52': 2}",
8,Corrin,43.0,{'43': 6},
9,Kazuya,40.0,{'40': 3},
10,Incineroar,35.0,{'35': 3},
11,Bowser,32.0,"{'52': 2, '32': 1}",
12,Terry,29.0,"{'29': 2, '290': 1}",
13,Byleth,21.0,{'21': 3},
14,Roy,20.0,"{'20': 2, '200': 1}",
15,Dark Samus,19.0,{'19': 3},
16,Zero Suit Samus,14.0,{'14': 3},
16,King K Rool,14.0,{'14': 3},
18,Captain Falcon,11.0,{'11': 2},
18,ROB,11.0,"{'11': 2, '1': 1}",
18,Ridley,11.0,{'11': 2},
18,Sephiroth,11.0,{'11': 2},
22,Jigglypuff,10.0,{'10': 3},
23,Little Mac,8.0,{'8': 3},
23,Min Min,8.0,{'8': 2},
25,Mario,7.0,{'7': 3},
25,Pit,7.0,{'7': 3},
25,Palutena,7.0,{'7': 3},
28,Wario,6.0,{'6': 3},
28,Joker,6.0,{'6': 3},
28,Hero,6.0,{'6': 3},
31,Samus,5.0,"{'9': 2, '5': 1}",
31,Falco,5.0,{'5': 4},
31,Pac-Man,5.0,{'5': 1},
31,Piranha Plant,5.0,"{'9': 2, '5': 1}",
35,Ice Climbers,4.0,{'4': 3},
35,Pokemon Trainer,4.0,{'4': 3},
35,Wolf,4.0,{'4': 3},
35,Mega Man,4.0,{'4': 3},
35,Greninja,4.0,{'4': 3},
35,Bayonetta,4.0,{'4': 3},
35,Steve,4.0,{'4': 3},
42,Zelda,3.0,{'3': 3},
42,Dr Mario,3.0,{'3': 3},
42,Young Link,3.0,{'3': 3},
42,Meta Knight,3.0,{'3': 3},
42,Dark Pit,3.0,{'3': 3},
42,Snake,3.0,{'3': 3},
42,Rosalina and Luma,3.0,{'3': 3},
42,Robin,3.0,{'3': 3},
42,Shulk,3.0,{'3': 3},
42,Ken,3.0,{'3': 3},
42,Simon,3.0,{'3': 3},
42,Sora,3.0,{'3': 3},
54,Yoshi,2.0,{'2': 3},
54,Pichu,2.0,{'2': 3},
54,Lucina,2.0,{'2': 3},
54,Lucas,2.0,{'2': 3},
54,Olimar,2.0,{'2': 3},
54,Wii Fit Trainer,2.0,{'2': 3},
54,Richter,2.0,{'2': 3},
54,Isabelle,2.0,{'2': 6},
62,Fox,1.0,{'1': 3},
62,Pikachu,1.0,{'1': 3},
62,Peach,1.0,{'1': 3},
62,Daisy,1.0,{'1': 3},
62,Sheik,1.0,{'1': 3},
62,Marth,1.0,{'1': 3},
62,Mewtwo,1.0,{'1': 6},
62,Mr Game and Watch,1.0,{'1': 3},
62,Diddy Kong,1.0,{'1': 3},
62,Sonic,1.0,{'1': 3},
62,King Dedede,1.0,{'1': 3},
62,Toon Link,1.0,{'1': 3},
62,Bowser Jr,1.0,{'1': 3},
62,Duck Hunt,1.0,{'1': 3},
62,Ryu,1.0,{'1': 3},
62,Mii Brawler,1.0,{'1': 3},
78,Kirby,0.0,{'0': 2},
78,Luigi,0.0,{'0': 4},
78,Ness,0.0,{'0': 4},
78,Lucario,0.0,{'0': 4},
78,Villager,0.0,{'0': 3},
78,Inkling,0.0,{'0': 1},
78,Banjo and Kazooie,0.0,{'0': 2},
78,Mii Swordsman,0.0,{'0': 1},
78,Mii Gunner,0.0,{'0': 1},
