rank,character,read_value,candidates,correct
1,Donkey Kong,67464.0,{'67464': 1},
2,Ganondorf,31891.0,{'31891': 3},
3,Cloud,31500.0,{'31500': 6},
4,Chrom,28139.0,{'28139': 6},
5,Pyra-Mythra,26298.0,{'26298': 6},
6,Link,23128.0,{'23128': 6},
7,Ike,18051.0,{'18051': 6},
8,Corrin,14791.0,{'14791': 6},
9,Kazuya,14227.0,{'14227': 3},
10,Bowser,12565.0,{'12565': 1},
11,Incineroar,10037.0,{'10037': 3},
12,Terry,9758.0,{'9758': 3},
13,Byleth,7819.0,{'7819': 3},
14,Dark Samus,6966.0,{'6966': 3},
15,King K Rool,6311.0,{'6311': 3},
16,Roy,4951.0,{'4951': 3},
17,Ridley,3700.0,{'3700': 3},
18,Sephiroth,3649.0,{'3649': 3},
19,Captain Falcon,3560.0,{'3560': 3},
20,Zero Suit Samus,3460.0,{'3460': 3},
21,ROB,2779.0,{'2779': 3},
22,Min Min,2614.0,{'2614': 3},
23,Palutena,2181.0,{'2181': 3},
24,Hero,1942.0,{'1942': 3},
25,Samus,1892.0,{'1892': 3},
26,Ice Climbers,1810.0,{'1810': 3},
27,Pit,1779.0,{'1779': 3},
28,Piranha Plant,1763.0,{'1763': 3},
29,Mario,1746.0,{'1746': 3},
30,Jigglypuff,1684.0,{'1684': 3},
31,Little Mac,1610.0,{'1610': 3},
32,Joker,1600.0,{'1600': 3},
33,Wario,1491.0,{'1491': 3},
34,Pokemon Trainer,1456.0,{'1456': 3},
35,Young Link,1438.0,{'1438': 3},
36,Falco,1429.0,{'1429': 3},
37,Pac-Man,1285.0,{'1285': 3},
38,Wolf,1182.0,{'1182': 3},
39,Bayonetta,1159.0,{'1159': 3},
40,Greninja,1080.0,{'1080': 3},
41,Steve,1042.0,{'1042': 3},
42,Mega Man,1040.0,{'1040': 3},
43,Simon,1020.0,{'1020': 3},
44,Robin,943.0,{'943': 3},
45,Sora,920.0,"{'920': 2, '9200': 1}",
46,Snake,912.0,{'912': 3},
47,Dr Mario,909.0,{'909': 3},
48,Ken,869.0,{'869': 3},
49,Dark Pit,863.0,{'863': 3},
50,Rosalina and Luma,855.0,{'855': 3},
51,Richter,824.0,{'824': 3},
52,Lucas,773.0,"{'773': 2, '173': 1}",
53,Pichu,700.0,{'700': 6},
54,Zelda,662.0,{'662': 3},
55,Yoshi,660.0,{'660': 3},
56,Isabelle,645.0,{'645': 3},
57,Meta Knight,602.0,{'602': 3},
58,Shulk,579.0,"{'979': 2, '579': 1}",
59,Olimar,561.0,{'561': 3},
60,Lucina,519.0,"{'519': 4, '919': 2}",
61,Wii Fit Trainer,457.0,{'457': 3},
62,Peach,444.0,"{'4': 2, '444': 1}",
63,Fox,438.0,{'438': 3},
64,Marth,427.0,{'427': 3},
65,Bowser Jr,418.0,{'418': 3},
66,Mewtwo,410.0,{'410': 3},
67,Daisy,363.0,{'363': 3},
68,Sheik,308.0,{'308': 3},
69,Toon Link,303.0,{'303': 3},
70,King Dedede,299.0,{'299': 3},
70,Mii Brawler,299.0,{'299': 3},
72,Sonic,275.0,{'275': 3},
73,Ryu,221.0,{'221': 3},
74,Pikachu,192.0,{'192': 3},
75,Duck Hunt,190.0,{'190': 3},
76,Diddy Kong,189.0,{'189': 3},
77,Mr Game and Watch,181.0,{'181': 3},
78,Kirby,0.0,{'0': 2},
78,Luigi,0.0,{'0': 3},
78,Ness,0.0,{'0': 2},
78,Lucario,0.0,{'0': 3},
78,Villager,0.0,{'0': 1},
78,Inkling,0.0,{'0': 1},
78,Banjo and Kazooie,0.0,{'0': 1},
78,Mii Swordsman,0.0,{'0': 1},
78,Mii Gunner,0.0,{'0': 1},
