rank,character,read_value,candidates,correct
1,Donkey Kong,87510.0,{'87510': 1},
2,Cloud,18602.0,{'18602': 3},
3,Chrom,17444.0,{'17444': 3},
4,Link,16550.0,{'16550': 6},
5,Pyra-Mythra,16118.0,{'16118': 6},
6,Ganondorf,14573.0,{'14573': 6},
7,Corrin,10783.0,{'10783': 6},
8,Ike,10747.0,{'10747': 6},
9,Bowser,8249.0,{'8249': 3},
10,Kazuya,7105.0,{'7105': 3},
11,Incineroar,6390.0,{'6390': 3},
12,Dark Samus,5841.0,{'5841': 3},
13,Terry,5680.0,"{'9680': 2, '5680': 1}",
14,Zero Suit Samus,5570.0,"{'9570': 2, '5570': 1}",
15,Captain Falcon,3749.0,{'3749': 3},
16,Byleth,3487.0,{'3487': 3},
17,ROB,3482.0,{'3482': 3},
18,Roy,3289.0,{'3289': 3},
19,Ridley,3049.0,{'3049': 3},
20,Mario,2628.0,{'2628': 3},
21,King K Rool,2476.0,{'2476': 3},
22,Sephiroth,2194.0,{'2194': 3},
23,Palutena,1943.0,{'1943': 3},
24,Samus,1778.0,{'1778': 3},
25,Joker,1777.0,"{'1777': 4, '777': 2}",
26,Wario,1770.0,{'1770': 3},
27,Jigglypuff,1765.0,{'1765': 3},
28,Falco,1735.0,{'1735': 3},
29,Min Min,1710.0,{'1710': 3},
30,Hero,1543.0,{'1543': 3},
31,Pit,1524.0,{'1524': 3},
32,Piranha Plant,1424.0,{'1424': 6},
33,Pac-Man,1417.0,{'1417': 3},
34,Mega Man,1254.0,{'1254': 3},
35,Robin,1195.0,{'1195': 3},
36,Bayonetta,1178.0,{'1178': 3},
37,Yoshi,1142.0,{'1142': 3},
38,Wolf,1128.0,{'1128': 3},
39,Ice Climbers,1095.0,{'1095': 3},
40,Dark Pit,1073.0,{'1073': 3},
41,Little Mac,1011.0,{'1011': 3},
42,Greninja,922.0,{'922': 3},
43,Steve,862.0,{'862': 3},
44,Shulk,851.0,{'851': 3},
45,Ken,832.0,{'832': 3},
46,Zelda,813.0,{'813': 3},
47,Young Link,805.0,{'805': 3},
48,Rosalina and Luma,726.0,{'726': 3},
49,Wii Fit Trainer,676.0,{'676': 3},
50,Sora,654.0,{'654': 3},
51,Simon,652.0,{'652': 3},
52,Dr Mario,639.0,{'639': 3},
53,Olimar,631.0,{'631': 3},
54,Meta Knight,594.0,"{'994': 2, '594': 1}",
55,Isabelle,578.0,{'578': 3},
56,Lucas,564.0,{'564': 3},
57,Snake,531.0,"{'31': 2, '531': 1}",
58,King Dedede,471.0,"{'471': 2, '41': 1}",
59,Mii Brawler,459.0,{'459': 3},
60,Sheik,443.0,{'443': 3},
61,Richter,413.0,{'413': 3},
62,Diddy Kong,350.0,{'350': 3},
63,Lucina,349.0,{'349': 3},
64,Peach,344.0,{'344': 3},
65,Daisy,317.0,{'317': 3},
66,Pichu,315.0,{'315': 3},
67,Mr Game and Watch,291.0,{'291': 3},
68,Sonic,229.0,{'229': 3},
69,Marth,227.0,{'227': 3},
70,Mewtwo,200.0,{'200': 3},
71,Fox,196.0,{'196': 3},
72,Duck Hunt,175.0,{'175': 3},
73,Pokemon Trainer,174.0,{'174': 3},
74,Bowser Jr,133.0,{'133': 3},
75,Pikachu,111.0,"{'111': 2, '1': 1}",
76,Ryu,102.0,{'102': 3},
77,Toon Link,88.0,{'88': 3},
78,Kirby,0.0,{'0': 2},
78,Luigi,0.0,{'0': 3},
78,Ness,0.0,{'0': 4},
78,Lucario,0.0,{'0': 2},
78,Villager,0.0,{'0': 2},
78,Inkling,0.0,{'0': 2},
78,Banjo and Kazooie,0.0,{'0': 1},
78,Mii Swordsman,0.0,{'0': 1},
78,Mii Gunner,0.0,{'0': 1},
