rank,character,read_value,candidates,correct
1,Simon,93.0,"{'93': 2, '53': 1}",
2,Donkey Kong,49.0,"{'49': 2, '490': 1}",
3,Richter,29.0,{'29': 6},
4,Link,27.0,{'27': 6},
5,Sheik,25.0,{'25': 6},
6,Ganondorf,23.0,{'23': 6},
7,Ike,9.0,"{'9': 4, '2': 1}",
8,Chrom,8.0,{'8': 5},
9,Bowser,6.0,{'6': 3},
9,Wario,6.0,{'6': 3},
11,Cloud,5.0,"{'2': 2, '5': 1}",
11,Ridley,5.0,"{'9': 2, '5': 1}",
13,Falco,4.0,{'4': 3},
13,Joker,4.0,{'4': 3},
13,Pyra-Mythra,4.0,{'4': 3},
16,Dark Samus,3.0,{'3': 3},
16,Captain Falcon,3.0,{'3': 3},
16,ROB,3.0,{'3': 3},
19,Ice Climbers,2.0,{'2': 3},
19,Snake,2.0,{'2': 3},
19,Pac-Man,2.0,{'2': 3},
19,Corrin,2.0,{'2': 3},
19,Hero,2.0,{'2': 3},
19,Sephiroth,2.0,"{'2': 3, '0': 1}",
19,Kazuya,2.0,{'2': 3},
26,Mario,1.0,{'1': 3},
26,Zelda,1.0,{'1': 3},
26,Young Link,1.0,{'1': 3},
26,Roy,1.0,{'1': 3},
26,Dark Pit,1.0,{'1': 3},
26,Lucas,1.0,{'1': 3},
26,Sonic,1.0,{'1': 3},
26,Wii Fit Trainer,1.0,{'1': 3},
26,Palutena,1.0,{'1': 3},
26,Bayonetta,1.0,{'1': 3},
26,King K Rool,1.0,{'1': 3},
26,Incineroar,1.0,{'1': 3},
26,Terry,1.0,{'1': 3},
26,Byleth,1.0,{'1': 3},
40,Samus,0.0,{'0': 2},
40,Yoshi,0.0,{'0': 3},
40,Fox,0.0,{'0': 2},
40,Pikachu,0.0,{'0': 2},
40,Jigglypuff,0.0,{'0': 1},
40,Peach,0.0,{'0': 1},
40,Daisy,0.0,{'0': 2},
40,Dr Mario,0.0,{'0': 1},
40,Pichu,0.0,{'0': 1},
40,Marth,0.0,{'0': 2},
40,Lucina,0.0,{'0': 2},
40,Mewtwo,0.0,{'0': 2},
40,Mr Game and Watch,0.0,{'0': 2},
40,Meta Knight,0.0,{'0': 2},
40,Pit,0.0,{'0': 2},
40,Zero Suit Samus,0.0,{'0': 1},
40,Pokemon Trainer,0.0,{'0': 1},
40,Diddy Kong,0.0,{'0': 2},
40,King Dedede,0.0,{'0': 2},
40,Olimar,0.0,{'0': 2},
40,Toon Link,0.0,{'0': 2},
40,Mega Man,0.0,{'0': 1},
40,Rosalina and Luma,0.0,{'0': 1},
40,Little Mac,0.0,{'0': 2},
40,Greninja,0.0,{'0': 2},
40,Robin,0.0,{'0': 2},
40,Shulk,0.0,{'0': 1},
40,Bowser Jr,0.0,{'0': 2},
40,Duck Hunt,0.0,{'0': 1},
40,Ken,0.0,{'0': 2},
40,Isabelle,0.0,{'0': 1},
40,Piranha Plant,0.0,{'0': 2},
40,Min Min,0.0,{'0': 2},
40,Steve,0.0,{'0': 1},
40,Sora,0.0,{'0': 2},
40,Mii Brawler,0.0,{'0': 1},
40,Kirby,0.0,{'0': 1},
40,Luigi,0.0,{'0': 3},
40,Ness,0.0,{'0': 3},
40,Lucario,0.0,{'0': 4},
40,Villager,0.0,{'0': 4},
40,Inkling,0.0,{'0': 4},
40,Banjo and Kazooie,0.0,{'0': 4},
40,Mii Swordsman,0.0,{'0': 1},
40,Mii Gunner,0.0,{'0': 1},
