rank,character,read_value,candidates,correct
1,Donkey Kong,141.0,{'141': 3},
2,Ganondorf,65.0,{'65': 3},
3,Chrom,34.0,{'34': 6},
3,Cloud,34.0,{'34': 6},
5,Pyra-Mythra,31.0,{'31': 6},
6,Link,29.0,"{'29': 5, '290': 1}",
7,Ike,23.0,{'23': 6},
7,Corrin,23.0,{'23': 6},
9,Bowser,15.0,"{'13': 2, '15': 1}",
10,Incineroar,14.0,{'14': 6},
10,Kazuya,14.0,{'14': 3},
12,ROB,10.0,{'10': 3},
12,King K Rool,10.0,{'10': 3},
12,Byleth,10.0,{'10': 3},
15,Yoshi,7.0,{'7': 3},
15,Ridley,7.0,{'7': 3},
17,Dark Samus,6.0,{'6': 6},
17,Captain Falcon,6.0,{'6': 3},
19,Young Link,5.0,"{'9': 2, '5': 1}",
19,Steve,5.0,"{'9': 2, '5': 1}",
21,Joker,4.0,{'4': 3},
22,Mario,3.0,{'3': 3},
22,Roy,3.0,{'3': 3},
22,Pit,3.0,{'3': 6},
22,Pokemon Trainer,3.0,{'3': 1},
22,Mega Man,3.0,{'3': 3},
22,Terry,3.0,{'3': 3},
22,Sephiroth,3.0,"{'3': 3, '0': 1}",
29,Ice Climbers,2.0,{'2': 3},
29,Zelda,2.0,{'2': 3},
29,Meta Knight,2.0,{'2': 3},
29,Wario,2.0,{'2': 3},
29,Rosalina and Luma,2.0,{'2': 3},
29,Robin,2.0,{'2': 3},
29,Ken,2.0,{'2': 3},
29,Bayonetta,2.0,{'2': 3},
29,Min Min,2.0,{'2': 3},
29,Sora,2.0,{'2': 6},
39,Samus,1.0,{'1': 3},
39,Jigglypuff,1.0,{'1': 3},
39,Daisy,1.0,{'1': 3},
39,Sheik,1.0,{'1': 3},
39,Mewtwo,1.0,{'1': 3},
39,Dark Pit,1.0,{'1': 3},
39,Olimar,1.0,{'1': 3},
39,Toon Link,1.0,{'1': 3},
39,Palutena,1.0,{'1': 3},
39,Pac-Man,1.0,{'1': 3},
39,Richter,1.0,{'1': 3},
39,Piranha Plant,1.0,{'1': 3},
39,Hero,1.0,{'1': 3},
52,Fox,0.0,{'0': 1},
52,Pikachu,0.0,{'0': 1},
52,Peach,0.0,{'0': 1},
52,Dr Mario,0.0,{'0': 2},
52,Pichu,0.0,{'0': 1},
52,Falco,0.0,{'0': 2},
52,Marth,0.0,{'0': 1},
52,Lucina,0.0,{'0': 2},
52,Mr Game and Watch,0.0,{'0': 3},
52,Zero Suit Samus,0.0,{'0': 1},
52,Snake,0.0,{'0': 2},
52,Diddy Kong,0.0,{'0': 2},
52,Lucas,0.0,{'0': 1},
52,Sonic,0.0,{'0': 2},
52,King Dedede,0.0,{'0': 1},
52,Wii Fit Trainer,0.0,{'0': 2},
52,Little Mac,0.0,{'0': 2},
52,Greninja,0.0,{'0': 2},
52,Shulk,0.0,{'0': 3},
52,Bowser Jr,0.0,{'0': 1},
52,Duck Hunt,0.0,{'0': 2},
52,Ryu,0.0,{'0': 2},
52,Simon,0.0,{'0': 1},
52,Isabelle,0.0,{'0': 1},
52,Mii Brawler,0.0,{'0': 2},
52,Kirby,0.0,{'0': 1},
52,Luigi,0.0,{'0': 4},
52,Ness,0.0,{'0': 3},
52,Lucario,0.0,{'0': 5},
52,Villager,0.0,{'0': 2},
52,Inkling,0.0,{'0': 1},
52,Banjo and Kazooie,0.0,{'0': 3},
52,Mii Swordsman,0.0,{'0': 1},
52,Mii Gunner,0.0,{'0': 1},
