rank,character,read_value,candidates,correct
1,Donkey Kong,200.0,{'200': 3},
2,Ike,101.0,{'101': 3},
3,Pyra-Mythra,85.0,{'85': 6},
4,Chrom,84.0,{'84': 6},
5,Cloud,68.0,{'68': 6},
6,Corrin,56.0,"{'96': 2, '56': 2, '6': 2}",
7,Link,55.0,"{'5': 2, '55': 2, '95': 2}",
8,Kazuya,45.0,{'45': 6},
9,Ganondorf,41.0,{'41': 3},
10,Dark Samus,40.0,{'40': 3},
11,Bowser,38.0,{'38': 3},
12,Terry,34.0,{'34': 3},
13,Byleth,33.0,{'33': 3},
14,Incineroar,28.0,{'28': 3},
15,Ridley,24.0,{'24': 3},
16,Roy,21.0,"{'21': 2, '2': 1}",
17,Zero Suit Samus,19.0,{'19': 3},
18,King K Rool,17.0,"{'17': 2, '7': 1}",
19,Captain Falcon,15.0,{'15': 3},
20,ROB,13.0,{'13': 3},
21,Little Mac,12.0,{'12': 3},
22,Pokemon Trainer,11.0,{'11': 2},
23,Jigglypuff,9.0,"{'9': 1, '2': 1}",
23,Samus,9.0,"{'9': 2, '5': 1}",
23,Zelda,9.0,"{'9': 2, '5': 1}",
23,Pichu,9.0,"{'9': 2, '5': 1}",
23,Greninja,9.0,"{'9': 2, '5': 1}",
28,Pit,7,{'7': 3},
29,Dr Mario,6,{'6': 3},
29,Dark Pit,6,{'6': 3},
31,Pac-Man,5.0,{'5': 3},
32,Wario,4.0,{'4': 3},
32,Hero,4.0,{'4': 3},
32,Sephiroth,4.0,{'4': 3},
32,Sora,4.0,{'4': 3},
36,Lucas,3.0,{'3': 3},
36,Palutena,3.0,{'3': 3},
36,Robin,3.0,{'3': 3},
36,Shulk,3.0,{'3': 3},
36,Bowser Jr,3.0,{'3': 3},
36,Ken,3.0,{'3': 3},
36,Bayonetta,3.0,{'3': 3},
43,Daisy,2.0,{'2': 3},
43,Sheik,2.0,{'2': 3},
43,Wolf,2.0,{'2': 3},
43,Ryu,2.0,{'2': 3},
43,Simon,2.0,{'2': 3},
43,Richter,2.0,{'2': 3},
43,Isabelle,2.0,{'2': 3},
43,Piranha Plant,2.0,{'2': 3},
43,Joker,2.0,{'2': 3},
52,Mario,1.0,{'1': 3},
52,Peach,1.0,{'1': 3},
52,Falco,1.0,{'1': 3},
52,Marth,1.0,{'1': 3},
52,Lucina,1.0,{'1': 3},
52,Young Link,1.0,{'1': 3},
52,Mewtwo,1.0,{'1': 3},
52,Meta Knight,1.0,{'1': 3},
52,Snake,1.0,{'1': 3},
52,Diddy Kong,1.0,{'1': 3},
52,King Dedede,1.0,{'1': 3},
52,Wii Fit Trainer,1.0,{'1': 3},
52,Rosalina and Luma,1.0,{'1': 3},
52,Steve,1.0,{'1': 3},
52,Mii Brawler,1.0,{'1': 3},
67,Yoshi,0.0,{'0': 1},
67,Fox,0.0,{'0': 2},
67,Pikachu,0.0,{'0': 1},
67,Ice Climbers,0.0,{'0': 1},
67,Mr Game and Watch,0.0,{'0': 2},
67,Sonic,0.0,{'0': 1},
67,Olimar,0.0,{'0': 2},
67,Toon Link,0.0,{'0': 1},
67,Mega Man,0.0,{'0': 2},
67,Duck Hunt,0.0,{'0': 2},
67,Min Min,0.0,{'0': 1},
67,Kirby,0.0,{'0': 1},
67,Luigi,0.0,{'0': 3},
67,Ness,0.0,{'0': 3},
67,Lucario,0.0,{'0': 2},
67,Villager,0.0,"{'0': 3, '6': 1}",
67,Inkling,0.0,{'0': 4},
67,Banjo and Kazooie,0.0,{'0': 1},
67,Mii Swordsman,0.0,{'0': 1},
67,Mii Gunner,0.0,{'0': 2},
