rank,character,read_value,candidates,correct
1,Chrom,40.0,{'40': 3},
2,Donkey Kong,38.0,{'38': 3},
3,Ganondorf,31.0,{'31': 3},
4,Link,15.0,{'15': 6},
5,Incineroar,13.0,{'13': 6},
5,Pyra-Mythra,13.0,{'13': 6},
7,Cloud,12.0,{'12': 6},
8,Ike,9.0,"{'9': 2, '2': 2}",
8,Dark Samus,9.0,"{'9': 2, '5': 1}",
10,Roy,5.0,{'5': 1},
11,Bowser,4.0,{'4': 3},
11,Byleth,4.0,{'4': 3},
11,Kazuya,4.0,{'4': 3},
14,Wario,2.0,{'2': 3},
14,ROB,2.0,{'2': 3},
14,Palutena,2.0,{'2': 3},
14,Corrin,2.0,{'2': 3},
14,King K Rool,2.0,{'2': 3},
14,Min Min,2.0,{'2': 3},
14,Sephiroth,2.0,{'2': 3},
21,Mario,1.0,{'1': 3},
21,Captain Falcon,1.0,{'1': 3},
21,Marth,1.0,{'1': 3},
21,Zero Suit Samus,1.0,{'1': 3},
21,Mega Man,1.0,{'1': 3},
21,Isabelle,1.0,{'1': 3},
21,Joker,1.0,{'1': 3},
21,Sora,1.0,{'1': 3},
29,Samus,0.0,{'0': 1},
29,Yoshi,0.0,{'0': 2},
29,Fox,0.0,{'0': 1},
29,Pikachu,0.0,{'0': 2},
29,Jigglypuff,0.0,{'0': 2},
29,Peach,0.0,{'0': 1},
29,Daisy,0.0,{'0': 2},
29,Ice Climbers,0.0,{'0': 3},
29,Sheik,0.0,{'0': 2},
29,Zelda,0.0,{'0': 2},
29,Dr Mario,0.0,{'0': 2},
29,Pichu,0.0,{'0': 3},
29,Falco,0.0,{'0': 1},
29,Lucina,0.0,{'0': 1},
29,Young Link,0.0,{'0': 1},
29,Mewtwo,0.0,{'0': 2},
29,Mr Game and Watch,0.0,{'0': 2},
29,Meta Knight,0.0,{'0': 3},
29,Pit,0.0,{'0': 2},
29,Dark Pit,0.0,{'0': 2},
29,Snake,0.0,{'0': 1},
29,Pokemon Trainer,0.0,{'0': 2},
29,Diddy Kong,0.0,{'0': 2},
29,Lucas,0.0,{'0': 1},
29,Sonic,0.0,{'0': 2},
29,King Dedede,0.0,{'0': 2},
29,Olimar,0.0,{'0': 1},
29,Toon Link,0.0,{'0': 1},
29,Wolf,0.0,{'0': 2},
29,Wii Fit Trainer,0.0,{'0': 1},
29,Rosalina and Luma,0.0,{'0': 2},
29,Little Mac,0.0,{'0': 2},
29,Greninja,0.0,{'0': 3},
29,Pac-Man,0.0,{'0': 1},
29,Robin,0.0,{'0': 1},
29,Shulk,0.0,{'0': 1},
29,Bowser Jr,0.0,{'0': 3},
29,Duck Hunt,0.0,{'0': 3},
29,Ryu,0.0,{'0': 2},
29,Ken,0.0,{'0': 2},
29,Bayonetta,0.0,{'0': 2},
29,Ridley,0.0,{'0': 1},
29,Simon,0.0,{'0': 2},
29,Richter,0.0,{'0': 2},
29,Piranha Plant,0.0,{'0': 2},
29,Hero,0.0,{'0': 2},
29,Terry,0.0,{'0': 2},
29,Steve,0.0,{'0': 1},
29,Mii Brawler,0.0,{'0': 2},
29,Kirby,0.0,{'0': 2},
29,Luigi,0.0,{'0': 2},
29,Ness,0.0,{'0': 2},
29,Lucario,0.0,{'0': 3},
29,Villager,0.0,{'0': 5},
29,Inkling,0.0,{'0': 2},
29,Banjo and Kazooie,0.0,{'0': 2},
29,Mii Swordsman,0.0,{'0': 1},
29,Mii Gunner,0.0,{'0': 1},
