rank,character,read_value,candidates,correct
1,Donkey Kong,29.0,{'29': 3},
2,Ganondorf,22.0,{'22': 3},
2,Chrom,22.0,{'22': 6},
4,Cloud,20.0,"{'20': 4, '200': 2}",
5,Incineroar,14.0,{'14': 6},
6,Roy,12.0,{'12': 6},
7,Link,11.0,{'11': 4},
7,Ike,11.0,"{'11': 4, '1': 1}",
7,Kazuya,11.0,{'11': 2},
10,Corrin,9.0,{'9': 1},
10,Pyra-Mythra,9.0,{'9': 1},
10,Bowser,9.0,"{'9': 2, '5': 1}",
10,Zero Suit Samus,9.0,"{'9': 2, '5': 1}",
10,Little Mac,9.0,"{'9': 2, '5': 1}",
15,Mario,4.0,{'4': 3},
15,Terry,4.0,{'4': 3},
15,Byleth,4.0,{'4': 3},
18,Jigglypuff,3.0,{'3': 3},
18,Palutena,3.0,{'3': 1},
18,King K Rool,3.0,{'3': 3},
18,Sephiroth,3.0,{'3': 3},
22,Meta Knight,2.0,{'2': 3},
22,Pit,2.0,{'2': 3},
22,Wario,2.0,{'2': 3},
22,Piranha Plant,2.0,{'2': 3},
22,Hero,2.0,{'2': 3},
22,Steve,2.0,{'2': 3},
28,Dark Samus,1.0,{'1': 3},
28,Pikachu,1.0,{'1': 3},
28,Captain Falcon,1.0,{'1': 3},
28,Dr Mario,1.0,{'1': 3},
28,Falco,1.0,{'1': 6},
28,Marth,1.0,{'1': 3},
28,Lucina,1.0,{'1': 3},
28,Young Link,1.0,{'1': 3},
28,Snake,1.0,{'1': 3},
28,Pokemon Trainer,1.0,{'1': 3},
28,Sonic,1.0,{'1': 3},
28,ROB,1.0,{'1': 3},
28,Wolf,1.0,{'1': 3},
28,Mega Man,1.0,{'1': 3},
28,Rosalina and Luma,1.0,{'1': 3},
28,Greninja,1.0,{'1': 3},
28,Pac-Man,1.0,{'1': 3},
28,Robin,1.0,{'1': 3},
28,Shulk,1.0,{'1': 3},
28,Ryu,1.0,{'1': 3},
28,Ken,1.0,{'1': 3},
28,Ridley,1.0,{'1': 3},
28,Joker,1.0,{'1': 3},
51,Samus,0.0,{'0': 1},
51,Yoshi,0.0,"{'0': 1, '6': 1}",
51,Fox,0.0,{'0': 2},
51,Peach,0.0,{'0': 2},
51,Daisy,0.0,{'0': 2},
51,Ice Climbers,0.0,{'0': 2},
51,Sheik,0.0,{'0': 2},
51,Zelda,0.0,{'0': 2},
51,Pichu,0.0,{'0': 1},
51,Mewtwo,0.0,{'0': 2},
51,Mr Game and Watch,0.0,{'0': 1},
51,Dark Pit,0.0,{'0': 1},
51,Diddy Kong,0.0,{'0': 2},
51,Lucas,0.0,{'0': 1},
51,King Dedede,0.0,{'0': 2},
51,Olimar,0.0,{'0': 2},
51,Toon Link,0.0,{'0': 2},
51,Wii Fit Trainer,0.0,{'0': 1},
51,Bowser Jr,0.0,{'0': 2},
51,Duck Hunt,0.0,{'0': 1},
51,Bayonetta,0.0,{'0': 2},
51,Simon,0.0,{'0': 1},
51,Richter,0.0,{'0': 1},
51,Isabelle,0.0,{'0': 1},
51,Min Min,0.0,{'0': 1},
51,Sora,0.0,{'0': 2},
51,Mii Brawler,0.0,{'0': 1},
51,Kirby,0.0,{'0': 1},
51,Luigi,0.0,{'0': 3},
51,Ness,0.0,{'0': 4},
51,Lucario,0.0,"{'0': 3, '4': 1}",
51,Villager,0.0,{'0': 4},
51,Inkling,0.0,{'0': 2},
51,Banjo and Kazooie,0.0,{'0': 2},
51,Mii Swordsman,0.0,{'0': 1},
51,Mii Gunner,0.0,{'0': 1},
