rank,character,read_value,candidates,correct
1,Donkey Kong,19.06,{'19.06': 3},
2,Ganondorf,7.93,{'7.93': 3},
3,Cloud,7.42,{'7.42': 6},
4,Chrom,7.24,{'7.24': 6},
5,Pyra-Mythra,5.86,"{'9.86': 4, '5.86': 2}",
6,Link,5.52,"{'3.02': 2, '5.52': 2, '9.02': 2}",
7,Ike,4.48,{'4.48': 6},
8,Corrin,3.71,"{'3.71': 4, '0.31': 2}",
9,Kazuya,3.45,{'3.45': 3},
10,Incineroar,3.01,{'3.01': 6},
11,Bowser,2.76,{'2.76': 3},
12,Terry,2.5,{'2.5': 3},
13,Byleth,1.81,{'1.81': 3},
14,Roy,1.72,"{'1.72': 2, '0.72': 1}",
15,Dark Samus,1.63,{'1.63': 3},
16,Zero Suit Samus,1.2,"{'1.2': 2, '12.0': 1}",
16,King K Rool,1.2,{'1.2': 6},
18,Captain Falcon,0.94,{'0.94': 3},
18,ROB,0.94,{'0.94': 3},
18,Ridley,0.94,{'0.94': 3},
18,Sephiroth,0.94,{'0.94': 3},
22,Jigglypuff,0.86,{'0.86': 3},
23,Little Mac,0.69,{'0.69': 3},
23,Min Min,0.69,{'0.69': 3},
25,Mario,0.6,{'0.6': 3},
25,Pit,0.6,{'0.6': 3},
25,Palutena,0.6,{'0.6': 3},
28,Wario,0.51,{'0.51': 3},
28,Joker,0.51,{'0.51': 3},
28,Hero,0.51,{'0.51': 3},
31,Samus,0.43,{'0.43': 3},
31,Falco,0.43,{'0.43': 3},
31,Pac-Man,0.43,{'0.43': 3},
31,Piranha Plant,0.43,{'0.43': 3},
35,Ice Climbers,0.34,{'0.34': 3},
35,Pokemon Trainer,0.34,{'0.34': 3},
35,Wolf,0.34,{'0.34': 3},
35,Mega Man,0.34,{'0.34': 3},
35,Greninja,0.34,{'0.34': 3},
35,Bayonetta,0.34,{'0.34': 3},
35,Steve,0.34,{'0.34': 3},
42,Zelda,0.25,{'0.25': 3},
42,Dr Mario,0.25,{'0.25': 3},
42,Young Link,0.25,{'0.25': 3},
42,Meta Knight,0.25,{'0.25': 3},
42,Dark Pit,0.25,{'0.25': 6},
42,Snake,0.25,{'0.25': 3},
42,Rosalina and Luma,0.25,{'0.25': 3},
42,Robin,0.25,{'0.25': 3},
42,Shulk,0.25,{'0.25': 3},
42,Ken,0.25,{'0.25': 3},
42,Simon,0.25,{'0.25': 3},
42,Sora,0.25,{'0.25': 6},
54,Yoshi,0.17,{'0.17': 3},
54,Pichu,0.17,{'0.17': 3},
54,Lucina,0.17,{'0.17': 3},
54,Lucas,0.17,{'0.17': 3},
54,Olimar,0.17,{'0.17': 3},
54,Wii Fit Trainer,0.17,{'0.17': 3},
54,Richter,0.17,{'0.17': 6},
54,Isabelle,0.17,{'0.17': 3},
62,Fox,0.08,{'0.08': 3},
62,Pikachu,0.08,{'0.08': 3},
62,Peach,0.08,{'0.08': 3},
62,Daisy,0.08,{'0.08': 3},
62,Sheik,0.08,{'0.08': 3},
62,Marth,0.08,{'0.08': 3},
62,Mewtwo,0.08,{'0.08': 3},
62,Mr Game and Watch,0.08,{'0.08': 3},
62,Diddy Kong,0.08,{'0.08': 3},
62,Sonic,0.08,{'0.08': 3},
62,King Dedede,0.08,{'0.08': 3},
62,Toon Link,0.08,{'0.08': 3},
62,Bowser Jr,0.08,{'0.08': 6},
62,Duck Hunt,0.08,{'0.08': 3},
62,Ryu,0.08,{'0.08': 3},
62,Mii Brawler,0.08,{'0.08': 3},
78,Kirby,0.0,{'0.0': 3},
78,Luigi,0.0,{'0.0': 6},
78,Ness,0.0,{'0.0': 6},
78,Lucario,0.0,{'0.0': 6},
78,Villager,0.0,{'0.0': 3},
78,Inkling,0.0,{'0.0': 3},
78,Banjo and Kazooie,0.0,{'0.0': 3},
78,Mii Swordsman,0.0,{'0.0': 3},
78,Mii Gunner,0.0,{'0.0': 3},
