rank,character,read_value,candidates,correct
1,Donkey Kong,3.0,{'3': 3},
1,Corrin,3.0,{'3': 3},
3,Ganondorf,2.0,{'2': 3},
3,Roy,2.0,{'2': 6},
3,Incineroar,2.0,{'2': 6},
3,Sora,2.0,{'2': 6},
7,Mario,1.0,{'1': 6},
7,Bowser,1.0,{'1': 6},
7,Dr Mario,1.0,{'1': 3},
7,Wario,1.0,{'1': 3},
7,Ridley,1.0,{'1': 3},
7,Byleth,1.0,{'1': 3},
7,Pyra-Mythra,1.0,{'1': 3},
14,Link,0.0,{'0': 3},
14,Samus,0.0,{'0': 2},
14,Dark Samus,0.0,{'0': 3},
14,Yoshi,0.0,{'0': 2},
14,Fox,0.0,{'0': 1},
14,Pikachu,0.0,{'0': 1},
14,Captain Falcon,0.0,{'0': 1},
14,Jigglypuff,0.0,{'0': 2},
14,Peach,0.0,{'0': 1},
14,Daisy,0.0,{'0': 2},
14,Ice Climbers,0.0,{'0': 2},
14,Sheik,0.0,{'0': 4},
14,Zelda,0.0,{'0': 3},
14,Pichu,0.0,{'0': 1},
14,Falco,0.0,{'0': 1},
14,Marth,0.0,{'0': 1},
14,Lucina,0.0,{'0': 3},
14,Young Link,0.0,{'0': 1},
14,Mewtwo,0.0,{'0': 4},
14,Chrom,0.0,{'0': 3},
14,Mr Game and Watch,0.0,{'0': 2},
14,Meta Knight,0.0,{'0': 3},
14,Pit,0.0,{'0': 2},
14,Dark Pit,0.0,{'0': 1},
14,Zero Suit Samus,0.0,{'0': 1},
14,Snake,0.0,{'0': 2},
14,Ike,0.0,{'0': 2},
14,Pokemon Trainer,0.0,{'0': 1},
14,Diddy Kong,0.0,{'0': 1},
14,Lucas,0.0,{'0': 2},
14,Sonic,0.0,{'0': 2},
14,King Dedede,0.0,{'0': 2},
14,Olimar,0.0,{'0': 3},
14,ROB,0.0,{'0': 1},
14,Toon Link,0.0,{'0': 2},
14,Wolf,0.0,{'0': 2},
14,Mega Man,0.0,{'0': 2},
14,Wii Fit Trainer,0.0,{'0': 2},
14,Rosalina and Luma,0.0,{'0': 1},
14,Little Mac,0.0,{'0': 3},
14,Greninja,0.0,{'0': 3},
14,Palutena,0.0,{'0': 1},
14,Pac-Man,0.0,{'0': 2},
14,Robin,0.0,{'0': 2},
14,Shulk,0.0,{'0': 2},
14,Bowser Jr,0.0,{'0': 2},
14,Duck Hunt,0.0,{'0': 2},
14,Ryu,0.0,{'0': 2},
14,Ken,0.0,{'0': 2},
14,Cloud,0.0,{'0': 1},
14,Bayonetta,0.0,{'0': 2},
14,Simon,0.0,{'0': 1},
14,Richter,0.0,{'0': 3},
14,King K Rool,0.0,{'0': 2},
14,Isabelle,0.0,{'0': 1},
14,Piranha Plant,0.0,{'0': 2},
14,Joker,0.0,{'0': 1},
14,Hero,0.0,{'0': 2},
14,Terry,0.0,{'0': 1},
14,Min Min,0.0,{'0': 1},
14,Steve,0.0,{'0': 1},
14,Kazuya,0.0,{'0': 1},
14,Mii Brawler,0.0,{'0': 1},
14,Kirby,0.0,{'0': 2},
14,Luigi,0.0,{'0': 5},
14,Ness,0.0,"{'0': 3, '4': 1}",
14,Lucario,0.0,{'0': 3},
14,Villager,0.0,{'0': 3},
14,Inkling,0.0,{'0': 2},
14,Banjo and Kazooie,0.0,{'0': 1},
14,Mii Swordsman,0.0,{'0': 1},
14,Mii Gunner,0.0,{'0': 1},
