rank,character,read_value,candidates,correct
1,Yoshi,100.0,{'100.0': 3},
1,Fox,100.0,{'100.0': 3},
1,Daisy,100.0,{'100.0': 6},
1,Sheik,100.0,{'100.0': 6},
1,Pichu,100.0,{'100.0': 6},
1,Mewtwo,100.0,{'100.0': 6},
1,Dark Pit,100.0,{'100.0': 6},
1,King Dedede,100.0,{'100.0': 6},
1,Olimar,100.0,{'100.0': 3},
1,Toon Link,100.0,{'100.0': 3},
1,Wii Fit Trainer,100.0,{'100.0': 3},
1,Bowser Jr,100.0,{'100.0': 3},
1,Pyra-Mythra,100.0,{'100.0': 3},
14,Ice Climbers,75.0,{'75.0': 3},
14,Wolf,75.0,{'75.0': 3},
16,Captain Falcon,70.0,{'70.0': 3},
16,Ganondorf,70.0,{'70.0': 3},
16,Chrom,70.0,{'70.0': 3},
16,ROB,70.0,{'70.0': 3},
16,Byleth,70.0,{'70.0': 3},
21,Young Link,66.66,{'66.66': 3},
21,Rosalina and Luma,66.66,{'66.66': 3},
21,Robin,66.66,{'66.66': 3},
21,Simon,66.66,{'66.66': 3},
25,Min Min,62.5,{'62.5': 3},
26,Dark Samus,60.0,{'60.0': 3},
26,Corrin,60.0,{'60.0': 3},
26,Ridley,60.0,{'60.0': 3},
26,King K Rool,60.0,{'60.0': 3},
26,Incineroar,60.0,{'60.0': 3},
31,Palutena,57.14,{'57.14': 3},
32,Donkey Kong,50.0,"{'50.0': 4, '90.0': 2}",
32,Link,50.0,{'50.0': 3},
32,Jigglypuff,50.0,{'50.0': 3},
32,Lucina,50.0,{'50.0': 3},
32,Zero Suit Samus,50.0,{'50.0': 3},
32,Wario,50.0,{'50.0': 3},
32,Ike,50.0,{'50.0': 3},
32,Pokemon Trainer,50.0,"{'50.0': 4, '90.0': 2}",
32,Lucas,50.0,{'50.0': 3},
32,Mega Man,50.0,{'50.0': 3},
32,Greninja,50.0,{'50.0': 3},
32,Cloud,50.0,{'50.0': 3},
32,Richter,50.0,{'50.0': 3},
32,Isabelle,50.0,{'50.0': 3},
46,Samus,40.0,{'40.0': 3},
46,Roy,40.0,{'40.0': 3},
46,Pac-Man,40.0,{'40.0': 3},
46,Sephiroth,40.0,{'40.0': 3},
46,Kazuya,40.0,{'40.0': 3},
51,Zelda,33.33,{'33.33': 3},
51,Dr Mario,33.33,{'33.33': 3},
51,Meta Knight,33.33,{'33.33': 3},
51,Snake,33.33,"{'3.35': 2, '33.33': 1}",
51,Shulk,33.33,"{'0.33': 2, '33.33': 1}",
51,Ken,33.33,{'33.33': 3},
51,Joker,33.33,{'33.33': 3},
51,Hero,33.33,{'33.33': 3},
51,Sora,33.33,{'33.33': 3},
60,Terry,30.0,{'30.0': 3},
61,Mario,28.57,{'28.57': 3},
62,Bayonetta,25.0,{'25.0': 3},
62,Steve,25.0,{'25.0': 3},
64,Bowser,20.0,{'20.0': 3},
64,Falco,20.0,{'20.0': 3},
66,Pit,14.28,{'14.28': 3},
67,Little Mac,12.5,{'12.5': 3},
68,Pikachu,0.0,{'0.0': 3},
68,Peach,0.0,{'0.0': 3},
68,Marth,0.0,{'0.0': 3},
68,Mr Game and Watch,0.0,{'0.0': 3},
68,Diddy Kong,0.0,{'0.0': 3},
68,Sonic,0.0,{'0.0': 3},
68,Duck Hunt,0.0,{'0.0': 3},
68,Ryu,0.0,{'0.0': 3},
68,Piranha Plant,0.0,{'0.0': 3},
68,Mii Brawler,0.0,{'0.0': 3},
68,Kirby,0.0,{'0.0': 3},
68,Luigi,0.0,{'0.0': 6},
68,Ness,0.0,{'0.0': 6},
68,Lucario,0.0,{'0.0': 6},
68,Villager,0.0,{'0.0': 6},
68,Inkling,0.0,{'0.0': 3},
68,Banjo and Kazooie,0.0,{'0.0': 3},
68,Mii Swordsman,0.0,{'0.0': 3},
68,Mii Gunner,0.0,{'0.0': 3},
