rank,character,read_value,candidates,correct
1,Donkey Kong,120.0,{'120': 3},
2,Chrom,46.0,{'46': 3},
3,Cloud,45.0,{'45': 6},
3,Pyra-Mythra,45.0,{'45': 6},
5,Link,38.0,{'38': 6},
6,Ganondorf,37.0,{'37': 6},
7,Ike,27.0,"{'27': 4, '2': 2}",
8,Corrin,20.0,"{'20': 4, '200': 2}",
9,Kazuya,19.0,{'19': 3},
10,Incineroar,15.0,{'15': 6},
10,Terry,15.0,{'15': 3},
12,Dark Samus,14.0,{'14': 3},
13,Byleth,13.0,{'13': 3},
14,Bowser,12.0,{'12': 3},
15,King K Rool,9.0,"{'9': 1, '2': 1}",
16,Captain Falcon,8.0,{'8': 3},
17,Zero Suit Samus,7.0,{'7': 6},
17,ROB,7.0,{'7': 3},
19,Roy,6.0,{'6': 3},
19,Ridley,6.0,{'6': 3},
21,Jigglypuff,5.0,"{'9': 2, '5': 1}",
21,Min Min,5.0,"{'9': 2, '5': 1}",
21,Sephiroth,5.0,"{'2': 2, '5': 1}",
24,Palutena,4.0,{'4': 3},
25,Ice Climbers,3.0,{'3': 3},
25,Dark Pit,3.0,{'3': 3},
25,Wario,3.0,{'3': 3},
25,Wolf,3.0,{'3': 3},
29,Mario,2.0,{'2': 3},
29,Samus,2.0,{'2': 3},
29,Yoshi,2.0,{'2': 3},
29,Pichu,2.0,{'2': 3},
29,Young Link,2.0,{'2': 3},
29,Pokemon Trainer,2.0,{'2': 3},
29,Olimar,2.0,{'2': 3},
29,Mega Man,2.0,{'2': 3},
29,Wii Fit Trainer,2.0,{'2': 3},
29,Rosalina and Luma,2.0,{'2': 3},
29,Greninja,2.0,{'2': 3},
29,Pac-Man,2.0,{'2': 3},
29,Robin,2.0,{'2': 3},
29,Simon,2.0,{'2': 3},
29,Joker,2.0,{'2': 3},
29,Hero,2.0,{'2': 3},
45,Fox,1.0,{'1': 3},
45,Daisy,1.0,{'1': 3},
45,Sheik,1.0,{'1': 3},
45,Zelda,1.0,{'1': 3},
45,Dr Mario,1.0,{'1': 3},
45,Falco,1.0,{'1': 3},
45,Lucina,1.0,{'1': 3},
45,Mewtwo,1.0,{'1': 3},
45,Meta Knight,1.0,{'1': 3},
45,Pit,1.0,{'1': 3},
45,Snake,1.0,{'1': 3},
45,Lucas,1.0,{'1': 3},
45,King Dedede,1.0,{'1': 3},
45,Toon Link,1.0,{'1': 3},
45,Little Mac,1.0,{'1': 3},
45,Shulk,1.0,{'1': 3},
45,Bowser Jr,1.0,{'1': 3},
45,Ken,1.0,{'1': 3},
45,Bayonetta,1.0,{'1': 3},
45,Richter,1.0,{'1': 3},
45,Isabelle,1.0,{'1': 3},
45,Steve,1.0,{'1': 3},
45,Sora,1.0,{'1': 3},
68,Pikachu,0.0,{'0': 1},
68,Peach,0.0,{'0': 1},
68,Marth,0.0,{'0': 1},
68,Mr Game and Watch,0.0,{'0': 2},
68,Diddy Kong,0.0,{'0': 2},
68,Sonic,0.0,{'0': 2},
68,Duck Hunt,0.0,{'0': 2},
68,Ryu,0.0,{'0': 1},
68,Piranha Plant,0.0,{'0': 2},
68,Mii Brawler,0.0,{'0': 1},
68,Kirby,0.0,{'0': 2},
68,Luigi,0.0,{'0': 3},
68,Ness,0.0,{'0': 3},
68,Lucario,0.0,{'0': 4},
68,Villager,0.0,{'0': 4},
68,Inkling,0.0,{'0': 1},
68,Banjo and Kazooie,0.0,{'0': 2},
68,Mii Swordsman,0.0,{'0': 3},
68,Mii Gunner,0.0,{'0': 2},
