rank,character,read_value,candidates,correct
1,Donkey Kong,22.0,{'22': 3},
2,Link,9.0,"{'9': 2, '5': 1}",
3,Dark Samus,2.0,{'2': 3},
3,ROB,2.0,{'2': 6},
5,Mario,1.0,{'1': 6},
5,Yoshi,1.0,{'1': 6},
5,Ice Climbers,1.0,{'1': 6},
5,Dr Mario,1.0,{'1': 6},
5,Chrom,1.0,{'1': 3},
5,Dark Pit,1.0,{'1': 3},
5,Snake,1.0,{'1': 3},
5,Palutena,1.0,{'1': 3},
5,Shulk,1.0,{'1': 3},
5,Cloud,1.0,{'1': 3},
5,Ridley,1.0,{'1': 3},
5,Isabelle,1.0,{'1': 3},
5,Byleth,1.0,{'1': 3},
5,Min Min,1.0,{'1': 3},
5,Sephiroth,1.0,"{'1': 3, '0': 2}",
5,Pyra-Mythra,1.0,{'1': 3},
5,Kazuya,1.0,{'1': 3},
22,Samus,0.0,{'0': 1},
22,Fox,0.0,{'0': 2},
22,Pikachu,0.0,{'0': 2},
22,Captain Falcon,0.0,{'0': 2},
22,Jigglypuff,0.0,{'0': 2},
22,Peach,0.0,{'0': 3},
22,Daisy,0.0,{'0': 2},
22,Bowser,0.0,{'0': 2},
22,Sheik,0.0,{'0': 1},
22,Zelda,0.0,{'0': 1},
22,Pichu,0.0,{'0': 1},
22,Falco,0.0,{'0': 3},
22,Marth,0.0,{'0': 1},
22,Lucina,0.0,{'0': 1},
22,Young Link,0.0,{'0': 2},
22,Ganondorf,0.0,{'0': 1},
22,Mewtwo,0.0,{'0': 2},
22,Roy,0.0,{'0': 2},
22,Mr Game and Watch,0.0,{'0': 3},
22,Meta Knight,0.0,{'0': 1},
22,Pit,0.0,{'0': 1},
22,Zero Suit Samus,0.0,{'0': 1},
22,Wario,0.0,{'0': 2},
22,Ike,0.0,{'0': 1},
22,Pokemon Trainer,0.0,{'0': 2},
22,Diddy Kong,0.0,{'0': 1},
22,Sonic,0.0,{'0': 1},
22,King Dedede,0.0,{'0': 2},
22,Olimar,0.0,{'0': 2},
22,Toon Link,0.0,{'0': 1},
22,Mega Man,0.0,{'0': 3},
22,Wii Fit Trainer,0.0,{'0': 1},
22,Rosalina and Luma,0.0,{'0': 1},
22,Little Mac,0.0,{'0': 1},
22,Greninja,0.0,{'0': 2},
22,Pac-Man,0.0,{'0': 2},
22,Robin,0.0,{'0': 2},
22,Bowser Jr,0.0,{'0': 2},
22,Duck Hunt,0.0,{'0': 2},
22,Ryu,0.0,{'0': 2},
22,Ken,0.0,{'0': 1},
22,Corrin,0.0,{'0': 1},
22,Bayonetta,0.0,{'0': 1},
22,Simon,0.0,{'0': 3},
22,Richter,0.0,{'0': 2},
22,King K Rool,0.0,{'0': 2},
22,Incineroar,0.0,{'0': 1},
22,Piranha Plant,0.0,{'0': 1},
22,Joker,0.0,{'0': 2},
22,Hero,0.0,{'0': 2},
22,Terry,0.0,{'0': 2},
22,Steve,0.0,{'0': 2},
22,Sora,0.0,{'0': 1},
22,Mii Brawler,0.0,{'0': 1},
22,Kirby,0.0,{'0': 1},
22,Luigi,0.0,{'0': 3},
22,Ness,0.0,{'0': 4},
22,Lucario,0.0,{'0': 5},
22,Villager,0.0,{'0': 3},
22,Inkling,0.0,{'0': 5},
22,Banjo and Kazooie,0.0,{'0': 3},
22,Mii Swordsman,0.0,{'0': 3},
22,Mii Gunner,0.0,{'0': 2},
