rank,character,read_value,candidates,correct
1,Donkey Kong,31.0,"{'31': 2, '51': 1}",
2,Link,15.0,{'15': 3},
3,Dark Samus,6.0,{'6': 3},
4,Samus,4.0,{'4': 6},
5,Ganondorf,3.0,{'3': 6},
5,Chrom,3.0,{'3': 6},
5,Zero Suit Samus,3.0,{'3': 6},
5,ROB,3.0,{'3': 6},
5,Ridley,3.0,{'3': 3},
5,Terry,3.0,{'3': 3},
5,Pyra-Mythra,3.0,{'3': 3},
12,Mario,2.0,{'2': 3},
12,Yoshi,2.0,{'2': 3},
12,Jigglypuff,2.0,{'2': 3},
12,Ice Climbers,2.0,{'2': 3},
12,Pit,2.0,{'2': 3},
12,Dark Pit,2.0,{'2': 3},
12,Palutena,2.0,{'2': 6},
12,Cloud,2.0,{'2': 3},
12,Corrin,2.0,{'2': 3},
12,Min Min,2.0,{'2': 3},
12,Steve,2.0,{'2': 3},
12,Sephiroth,2.0,{'2': 3},
24,Captain Falcon,1.0,{'1': 3},
24,Peach,1.0,{'1': 3},
24,Bowser,1.0,{'1': 3},
24,Dr Mario,1.0,{'1': 3},
24,Falco,1.0,{'1': 3},
24,Snake,1.0,{'1': 3},
24,King Dedede,1.0,{'1': 3},
24,Olimar,1.0,{'1': 3},
24,Wolf,1.0,{'1': 3},
24,Wii Fit Trainer,1.0,{'1': 3},
24,Little Mac,1.0,{'1': 3},
24,Pac-Man,1.0,{'1': 3},
24,Robin,1.0,{'1': 3},
24,Shulk,1.0,{'1': 3},
24,Ken,1.0,{'1': 3},
24,Simon,1.0,{'1': 3},
24,Isabelle,1.0,{'1': 3},
24,Incineroar,1.0,{'1': 3},
24,Piranha Plant,1.0,{'1': 3},
24,Hero,1.0,{'1': 3},
24,Byleth,1.0,{'1': 3},
24,Kazuya,1.0,{'1': 3},
46,Fox,0.0,{'0': 2},
46,Pikachu,0.0,{'0': 3},
46,Daisy,0.0,{'0': 2},
46,Sheik,0.0,{'0': 2},
46,Zelda,0.0,{'0': 2},
46,Pichu,0.0,{'0': 2},
46,Marth,0.0,{'0': 2},
46,Lucina,0.0,{'0': 1},
46,Young Link,0.0,{'0': 2},
46,Mewtwo,0.0,{'0': 1},
46,Roy,0.0,{'0': 1},
46,Mr Game and Watch,0.0,{'0': 2},
46,Meta Knight,0.0,{'0': 2},
46,Wario,0.0,{'0': 2},
46,Ike,0.0,{'0': 2},
46,Pokemon Trainer,0.0,{'0': 1},
46,Diddy Kong,0.0,{'0': 2},
46,Lucas,0.0,{'0': 2},
46,Sonic,0.0,{'0': 1},
46,Toon Link,0.0,{'0': 3},
46,Mega Man,0.0,{'0': 2},
46,Rosalina and Luma,0.0,{'0': 2},
46,Greninja,0.0,{'0': 2},
46,Bowser Jr,0.0,{'0': 3},
46,Duck Hunt,0.0,{'0': 2},
46,Ryu,0.0,{'0': 2},
46,Bayonetta,0.0,{'0': 2},
46,Richter,0.0,{'0': 2},
46,King K Rool,0.0,{'0': 3},
46,Joker,0.0,{'0': 3},
46,Sora,0.0,{'0': 2},
46,Mii Brawler,0.0,{'0': 1},
46,Kirby,0.0,{'0': 2},
46,Luigi,0.0,{'0': 3},
46,Ness,0.0,{'0': 3},
46,Lucario,0.0,"{'0': 2, '4': 1}",
46,Villager,0.0,{'0': 4},
46,Inkling,0.0,{'0': 3},
46,Banjo and Kazooie,0.0,{'0': 2},
46,Mii Swordsman,0.0,{'0': 1},
46,Mii Gunner,0.0,{'0': 2},
