rank,character,read_value,candidates,correct
1,Samus,20318.0,{'20318': 1},
2,Zero Suit Samus,4872.0,{'4872': 3},
3,Terry,4252.0,{'4252': 3},
4,Captain Falcon,4176.0,{'4176': 3},
5,Young Link,3249.0,{'3249': 3},
6,Donkey Kong,3209.0,{'3209': 3},
7,Ike,3122.0,{'3122': 3},
8,Ridley,2052.0,{'2052': 6},
9,ROB,1732.0,{'1732': 3},
10,Cloud,1589.0,{'1589': 3},
11,Falco,1515.0,{'1515': 3},
12,Banjo and Kazooie,1342.0,{'1342': 3},
13,Marth,1135.0,{'1135': 3},
14,Joker,733.0,"{'133': 2, '733': 1}",
15,Peach,700.0,{'700': 3},
16,Dark Samus,691.0,{'691': 3},
17,Hero,612.0,{'612': 3},
18,Wii Fit Trainer,501.0,"{'901': 2, '501': 1}",
19,Ganondorf,448.0,{'448': 3},
20,Lucina,435.0,{'435': 3},
21,King K Rool,428.0,{'428': 3},
22,Pit,411.0,"{'411': 2, '41': 1}",
23,Pichu,410.0,{'410': 3},
24,Rosalina and Luma,382.0,{'382': 3},
25,Little Mac,353.0,"{'353': 2, '359': 1}",
26,Sheik,347.0,{'347': 3},
27,Pyra-Mythra,341.0,{'341': 3},
28,Olimar,340.0,{'340': 3},
29,Toon Link,308.0,{'308': 3},
30,Isabelle,299.0,{'299': 3},
31,Incineroar,294.0,{'294': 3},
32,Simon,293.0,{'293': 3},
33,Yoshi,287.0,{'287': 3},
34,Ness,277.0,"{'27': 2, '277': 1}",
35,Link,273.0,{'273': 3},
36,Daisy,224.0,{'224': 3},
37,Wario,216.0,{'216': 6},
38,Diddy Kong,214.0,{'214': 3},
39,Steve,190.0,{'190': 3},
40,Palutena,175.0,{'175': 3},
41,Sora,127.0,{'127': 3},
42,Mario,0.0,{'0': 1},
42,Kirby,0.0,{'0': 2},
42,Fox,0.0,{'0': 3},
42,Pikachu,0.0,{'0': 1},
42,Luigi,0.0,{'0': 1},
42,Jigglypuff,0.0,{'0': 1},
42,Bowser,0.0,{'0': 2},
42,Ice Climbers,0.0,{'0': 1},
42,Zelda,0.0,{'0': 1},
42,Dr Mario,0.0,{'0': 3},
42,Mewtwo,0.0,{'0': 1},
42,Roy,0.0,{'0': 1},
42,Chrom,0.0,{'0': 1},
42,Mr Game and Watch,0.0,{'0': 2},
42,Meta Knight,0.0,{'0': 1},
42,Dark Pit,0.0,"{'0': 1, '6': 1}",
42,Snake,0.0,{'0': 2},
42,Pokemon Trainer,0.0,{'0': 1},
42,Lucas,0.0,{'0': 2},
42,Sonic,0.0,{'0': 3},
42,King Dedede,0.0,{'0': 1},
42,Lucario,0.0,{'0': 2},
42,Sephiroth,0.0,{'0': 3},
42,Villager,0.0,{'0': 3},
42,Mega Man,0.0,{'0': 1},
42,Greninja,0.0,{'0': 1},
42,Pac-Man,0.0,{'0': 2},
42,Robin,0.0,{'0': 3},
42,Shulk,0.0,{'0': 2},
42,Bowser Jr,0.0,{'0': 1},
42,Duck Hunt,0.0,{'0': 1},
42,Ryu,0.0,{'0': 1},
42,Ken,0.0,{'0': 1},
42,Corrin,0.0,{'0': 1},
42,Bayonetta,0.0,{'0': 2},
42,Inkling,0.0,{'0': 1},
42,Richter,0.0,{'0': 2},
42,Piranha Plant,0.0,{'0': 2},
42,Byleth,0.0,{'0': 3},
42,Min Min,0.0,{'0': 2},
42,Kazuya,0.0,{'0': 2},
42,Mii Brawler,0.0,{'0': 2},
42,Mii Swordsman,0.0,{'0': 1},
42,Mii Gunner,0.0,{'0': 1},
