rank,character,read_value,candidates,correct
1,Samus,28094.0,{'28094': 1},
2,Captain Falcon,9919.0,"{'9919': 2, '5919': 1}",
3,Terry,9382.0,"{'9382': 2, '5382': 1}",
4,Zero Suit Samus,7833.0,{'7833': 3},
5,Young Link,4639.0,{'4639': 3},
6,Donkey Kong,3967.0,{'3967': 3},
7,Ike,3582.0,{'3582': 3},
8,ROB,2336.0,{'2336': 3},
9,Falco,2184.0,{'2184': 3},
10,Cloud,2150.0,{'2150': 3},
11,Ridley,2143.0,{'2143': 3},
12,Banjo and Kazooie,1605.0,{'1605': 3},
13,Marth,1492.0,{'1492': 3},
14,Joker,1044.0,{'1044': 3},
15,Dark Samus,899.0,{'899': 3},
16,Ganondorf,727.0,"{'27': 2, '727': 1}",
17,Hero,675.0,{'675': 3},
18,Wii Fit Trainer,671.0,{'671': 3},
19,Peach,627.0,{'627': 3},
20,Pichu,597.0,{'597': 3},
20,King K Rool,597.0,"{'997': 2, '597': 1}",
22,Rosalina and Luma,552.0,"{'52': 2, '552': 1}",
23,Lucina,498.0,{'498': 3},
24,Isabelle,452.0,{'452': 3},
25,Olimar,421.0,{'421': 3},
26,Link,403.0,{'403': 3},
26,Little Mac,403.0,{'403': 3},
28,Incineroar,393.0,{'393': 3},
29,Ness,383.0,{'383': 3},
30,Palutena,342.0,{'342': 6},
31,Simon,340.0,{'340': 3},
32,Pyra-Mythra,337.0,{'337': 3},
33,Wario,329.0,{'329': 3},
34,Pit,324.0,{'324': 3},
35,Sheik,305.0,{'305': 3},
36,Steve,302.0,{'302': 3},
37,Diddy Kong,291.0,{'291': 6},
38,Yoshi,266.0,{'266': 3},
39,Daisy,253.0,{'253': 3},
40,Sora,243.0,{'243': 3},
41,Toon Link,238.0,{'238': 3},
42,Mario,0.0,{'0': 3},
42,Kirby,0.0,{'0': 1},
42,Fox,0.0,{'0': 3},
42,Pikachu,0.0,{'0': 3},
42,Luigi,0.0,{'0': 2},
42,Jigglypuff,0.0,{'0': 2},
42,Bowser,0.0,{'0': 2},
42,Ice Climbers,0.0,{'0': 1},
42,Zelda,0.0,{'0': 2},
42,Dr Mario,0.0,{'0': 1},
42,Mewtwo,0.0,{'0': 1},
42,Roy,0.0,{'0': 2},
42,Chrom,0.0,{'0': 2},
42,Mr Game and Watch,0.0,{'0': 1},
42,Meta Knight,0.0,{'0': 1},
42,Dark Pit,0.0,{'0': 1},
42,Snake,0.0,{'0': 2},
42,Pokemon Trainer,0.0,{'0': 1},
42,Lucas,0.0,{'0': 1},
42,Sonic,0.0,{'0': 2},
42,King Dedede,0.0,{'0': 3},
42,Lucario,0.0,{'0': 3},
42,Sephiroth,0.0,{'0': 5},
42,Villager,0.0,{'0': 2},
42,Mega Man,0.0,{'0': 3},
42,Greninja,0.0,{'0': 2},
42,Pac-Man,0.0,{'0': 1},
42,Robin,0.0,{'0': 2},
42,Shulk,0.0,{'0': 1},
42,Bowser Jr,0.0,{'0': 3},
42,Duck Hunt,0.0,{'0': 1},
42,Ryu,0.0,{'0': 2},
42,Ken,0.0,{'0': 1},
42,Corrin,0.0,{'0': 2},
42,Bayonetta,0.0,{'0': 1},
42,Inkling,0.0,{'0': 1},
42,Richter,0.0,{'0': 2},
42,Piranha Plant,0.0,{'0': 2},
42,Byleth,0.0,{'0': 1},
42,Min Min,0.0,{'0': 1},
42,Kazuya,0.0,{'0': 3},
42,Mii Brawler,0.0,"{'0': 1, '5': 1}",
42,Mii Swordsman,0.0,{'0': 1},
42,Mii Gunner,0.0,{'0': 1},
