rank,character,read_value,candidates,correct
1,Sheik,19.0,{'19': 3},
2,ROB,10.0,{'10': 3},
2,Simon,10.0,{'10': 3},
2,Banjo and Kazooie,10.0,{'10': 3},
5,Samus,6.0,{'6': 3},
6,Falco,4.0,{'4': 3},
6,Zero Suit Samus,4.0,{'4': 3},
6,Cloud,4.0,{'4': 3},
9,Captain Falcon,3.0,{'3': 3},
9,Terry,3.0,{'3': 3},
11,Young Link,2.0,{'2': 3},
11,Ridley,2.0,{'2': 3},
13,Donkey Kong,1.0,{'1': 3},
13,Yoshi,1.0,{'1': 3},
13,Peach,1.0,{'1': 3},
13,Marth,1.0,{'1': 3},
13,Ganondorf,1.0,{'1': 3},
13,Diddy Kong,1.0,{'1': 3},
13,Rosalina and Luma,1.0,{'1': 3},
20,Link,0.0,{'0': 1},
20,Dark Samus,0.0,{'0': 3},
20,Ness,0.0,{'0': 1},
20,Daisy,0.0,{'0': 1},
20,Pichu,0.0,{'0': 1},
20,Lucina,0.0,{'0': 1},
20,Pit,0.0,{'0': 1},
20,Wario,0.0,{'0': 2},
20,Ike,0.0,{'0': 2},
20,Olimar,0.0,{'0': 2},
20,Toon Link,0.0,{'0': 2},
20,Wii Fit Trainer,0.0,{'0': 2},
20,Little Mac,0.0,{'0': 2},
20,Palutena,0.0,{'0': 1},
20,King K Rool,0.0,{'0': 1},
20,Isabelle,0.0,{'0': 3},
20,Incineroar,0.0,{'0': 2},
20,Joker,0.0,{'0': 1},
20,Hero,0.0,{'0': 1},
20,Steve,0.0,{'0': 2},
20,Pyra-Mythra,0.0,{'0': 1},
20,Sora,0.0,{'0': 2},
20,Mario,0.0,{'0': 2},
20,Kirby,0.0,{'0': 1},
20,Fox,0.0,{'0': 1},
20,Pikachu,0.0,{'0': 1},
20,Luigi,0.0,{'0': 2},
20,Jigglypuff,0.0,{'0': 1},
20,Bowser,0.0,{'0': 1},
20,Ice Climbers,0.0,{'0': 3},
20,Zelda,0.0,{'0': 2},
20,Dr Mario,0.0,{'0': 3},
20,Mewtwo,0.0,{'0': 2},
20,Roy,0.0,{'0': 1},
20,Chrom,0.0,{'0': 2},
20,Mr Game and Watch,0.0,{'0': 1},
20,Meta Knight,0.0,{'0': 2},
20,Dark Pit,0.0,{'0': 1},
20,Snake,0.0,{'0': 2},
20,Pokemon Trainer,0.0,{'0': 1},
20,Lucas,0.0,{'0': 2},
20,Sonic,0.0,{'0': 1},
20,King Dedede,0.0,{'0': 1},
20,Lucario,0.0,{'0': 2},
20,Sephiroth,0.0,{'0': 2},
20,Villager,0.0,{'0': 1},
20,Mega Man,0.0,{'0': 1},
20,Greninja,0.0,{'0': 3},
20,Pac-Man,0.0,{'0': 1},
20,Robin,0.0,{'0': 1},
20,Shulk,0.0,{'0': 2},
20,Bowser Jr,0.0,{'0': 2},
20,Duck Hunt,0.0,{'0': 2},
20,Ryu,0.0,{'0': 1},
20,Ken,0.0,{'0': 4},
20,Corrin,0.0,{'0': 1},
20,Bayonetta,0.0,{'0': 2},
20,Inkling,0.0,{'0': 1},
20,Richter,0.0,{'0': 2},
20,Piranha Plant,0.0,{'0': 3},
20,Byleth,0.0,{'0': 2},
20,Min Min,0.0,{'0': 2},
20,Kazuya,0.0,{'0': 1},
20,Mii Brawler,0.0,{'0': 2},
20,Mii Swordsman,0.0,{'0': 2},
20,Mii Gunner,0.0,{'0': 1},
