rank,character,read_value,candidates,correct
1,Samus,41.0,{'41': 3},
2,Donkey Kong,9.0,"{'9': 2, '5': 1}",
2,Ridley,9.0,"{'9': 2, '5': 1}",
4,Zero Suit Samus,7.0,{'7': 3},
5,Dark Samus,4.0,{'4': 3},
5,Young Link,4.0,{'4': 3},
5,Ike,4.0,{'4': 3},
8,Captain Falcon,3.0,{'3': 6},
9,Daisy,2.0,{'2': 3},
9,Rosalina and Luma,2.0,{'2': 3},
9,Cloud,2.0,{'2': 3},
9,Terry,2.0,{'2': 3},
9,Sora,2.0,{'2': 3},
14,Yoshi,1.0,{'1': 3},
14,Falco,1.0,{'1': 3},
14,Ganondorf,1.0,{'1': 3},
14,Pit,1.0,{'1': 3},
14,Diddy Kong,1.0,{'1': 3},
14,ROB,1.0,{'1': 3},
14,Toon Link,1.0,{'1': 3},
14,Wii Fit Trainer,1.0,{'1': 3},
14,Simon,1.0,{'1': 3},
14,King K Rool,1.0,{'1': 3},
14,Isabelle,1.0,{'1': 3},
14,Joker,1.0,{'1': 3},
14,Hero,1.0,{'1': 3},
14,Banjo and Kazooie,1.0,{'1': 3},
28,Link,0.0,{'0': 3},
28,Ness,0.0,{'0': 2},
28,Peach,0.0,{'0': 3},
28,Sheik,0.0,{'0': 2},
28,Pichu,0.0,{'0': 2},
28,Marth,0.0,{'0': 2},
28,Lucina,0.0,{'0': 2},
28,Wario,0.0,{'0': 1},
28,Olimar,0.0,{'0': 1},
28,Little Mac,0.0,{'0': 3},
28,Palutena,0.0,{'0': 1},
28,Incineroar,0.0,{'0': 2},
28,Steve,0.0,{'0': 1},
28,Pyra-Mythra,0.0,{'0': 2},
28,Mario,0.0,{'0': 3},
28,Kirby,0.0,{'0': 2},
28,Fox,0.0,{'0': 1},
28,Pikachu,0.0,{'0': 1},
28,Luigi,0.0,{'0': 1},
28,Jigglypuff,0.0,{'0': 1},
28,Bowser,0.0,{'0': 2},
28,Ice Climbers,0.0,{'0': 1},
28,Zelda,0.0,"{'0': 1, '6': 1}",
28,Dr Mario,0.0,{'0': 2},
28,Mewtwo,0.0,{'0': 2},
28,Roy,0.0,{'0': 2},
28,Chrom,0.0,{'0': 1},
28,Mr Game and Watch,0.0,{'0': 2},
28,Meta Knight,0.0,{'0': 2},
28,Dark Pit,0.0,{'0': 1},
28,Snake,0.0,{'0': 2},
28,Pokemon Trainer,0.0,{'0': 5},
28,Lucas,0.0,{'0': 1},
28,Sonic,0.0,{'0': 2},
28,King Dedede,0.0,{'0': 2},
28,Lucario,0.0,{'0': 1},
28,Sephiroth,0.0,{'0': 2},
28,Villager,0.0,{'0': 1},
28,Mega Man,0.0,{'0': 4},
28,Greninja,0.0,{'0': 2},
28,Pac-Man,0.0,{'0': 2},
28,Robin,0.0,{'0': 1},
28,Shulk,0.0,{'0': 1},
28,Bowser Jr,0.0,{'0': 1},
28,Duck Hunt,0.0,{'0': 2},
28,Ryu,0.0,{'0': 2},
28,Ken,0.0,{'0': 2},
28,Corrin,0.0,{'0': 1},
28,Bayonetta,0.0,{'0': 1},
28,Inkling,0.0,{'0': 3},
28,Richter,0.0,{'0': 3},
28,Piranha Plant,0.0,{'0': 3},
28,Byleth,0.0,{'0': 2},
28,Min Min,0.0,{'0': 1},
28,Kazuya,0.0,{'0': 2},
28,Mii Brawler,0.0,{'0': 2},
28,Mii Swordsman,0.0,{'0': 1},
28,Mii Gunner,0.0,{'0': 1},
