rank,character,read_value,candidates,correct
1,Dark Samus,4.5,{'4.5': 3},
2,Link,3.0,{'3.0': 3},
2,Ness,3.0,{'3.0': 3},
2,Ganondorf,3.0,{'3.0': 3},
2,Pit,3.0,{'3.0': 3},
2,Diddy Kong,3.0,{'3.0': 3},
2,Toon Link,3.0,{'3.0': 3},
2,Little Mac,3.0,{'3.0': 3},
2,Simon,3.0,{'3.0': 3},
2,Isabelle,3.0,{'3.0': 3},
2,Sora,3.0,{'3.0': 3},
12,Ridley,2.57,{'2.57': 3},
13,Ike,2.5,{'2.5': 3},
14,Samus,2.46,{'2.46': 3},
15,Young Link,2.33,{'2.33': 3},
16,Banjo and Kazooie,2.25,{'2.25': 3},
17,Terry,2.16,{'2.16': 3},
18,Zero Suit Samus,2.07,{'2.07': 3},
19,Donkey Kong,2.0,{'2.0': 3},
19,Daisy,2.0,{'2.0': 3},
19,Sheik,2.0,{'2.0': 3},
19,Pichu,2.0,{'2.0': 3},
19,Falco,2.0,{'2.0': 3},
19,Lucina,2.0,{'2.0': 3},
19,Rosalina and Luma,2.0,{'2.0': 3},
19,King K Rool,2.0,{'2.0': 3},
19,Hero,2.0,{'2.0': 3},
19,Pyra-Mythra,2.0,{'2.0': 3},
29,Cloud,1.8,{'1.8': 3},
30,Marth,1.66,{'1.66': 3},
31,Wii Fit Trainer,1.5,{'1.5': 3},
32,Captain Falcon,1.38,{'1.38': 3},
33,ROB,1.25,"{'1.25': 2, '12.5': 1}",
34,Yoshi,1.0,{'1.0': 3},
34,Peach,1.0,{'1.0': 3},
34,Olimar,1.0,{'1.0': 3},
34,Steve,1.0,{'1.0': 3},
38,Joker,0.5,{'0.5': 3},
39,Wario,0.0,{'0.0': 3},
39,Palutena,0.0,{'0.0': 3},
39,Incineroar,0.0,{'0.0': 3},
39,Mario,0.0,{'0.0': 3},
39,Kirby,0.0,{'0.0': 3},
39,Fox,0.0,{'0.0': 3},
39,Pikachu,0.0,{'0.0': 6},
39,Luigi,0.0,{'0.0': 3},
39,Jigglypuff,0.0,{'0.0': 3},
39,Bowser,0.0,{'0.0': 3},
39,Ice Climbers,0.0,{'0.0': 3},
39,Zelda,0.0,{'0.0': 3},
39,Dr Mario,0.0,{'0.0': 3},
39,Mewtwo,0.0,{'0.0': 6},
39,Roy,0.0,{'0.0': 3},
39,Chrom,0.0,{'0.0': 3},
39,Mr Game and Watch,0.0,{'0.0': 3},
39,Meta Knight,0.0,{'0.0': 3},
39,Dark Pit,0.0,{'0.0': 3},
39,Snake,0.0,{'0.0': 3},
39,Pokemon Trainer,0.0,{'0.0': 6},
39,Lucas,0.0,{'0.0': 3},
39,Sonic,0.0,{'0.0': 3},
39,King Dedede,0.0,{'0.0': 3},
39,Lucario,0.0,{'0.0': 3},
39,Sephiroth,0.0,{'0.0': 6},
39,Villager,0.0,{'0.0': 3},
39,Mega Man,0.0,{'0.0': 6},
39,Greninja,0.0,{'0.0': 3},
39,Pac-Man,0.0,{'0.0': 3},
39,Robin,0.0,{'0.0': 3},
39,Shulk,0.0,{'0.0': 3},
39,Bowser Jr,0.0,{'0.0': 3},
39,Duck Hunt,0.0,{'0.0': 3},
39,Ryu,0.0,{'0.0': 3},
39,Ken,0.0,{'0.0': 3},
39,Corrin,0.0,{'0.0': 3},
39,Bayonetta,0.0,{'0.0': 3},
39,Inkling,0.0,{'0.0': 3},
39,Richter,0.0,{'0.0': 3},
39,Piranha Plant,0.0,{'0.0': 6},
39,Byleth,0.0,{'0.0': 6},
39,Min Min,0.0,{'0.0': 3},
39,Kazuya,0.0,{'0.0': 3},
39,Mii Brawler,0.0,{'0.0': 3},
39,Mii Swordsman,0.0,{'0.0': 3},
39,Mii Gunner,0.0,{'0.0': 3},
