rank,character,read_value,candidates,correct
1,Samus,12.0,{'12': 3},
1,Terry,12.0,{'12': 3},
3,Dark Samus,3.0,{'3': 3},
3,Young Link,3.0,{'3': 3},
5,Donkey Kong,1.0,{'1': 3},
5,Marth,1.0,{'1': 3},
5,Wii Fit Trainer,1.0,{'1': 3},
5,Cloud,1.0,{'1': 6},
5,Isabelle,1.0,{'1': 3},
5,Banjo and Kazooie,1.0,{'1': 3},
11,Link,0.0,{'0': 2},
11,Yoshi,0.0,{'0': 2},
11,Ness,0.0,{'0': 2},
11,Captain Falcon,0.0,{'0': 2},
11,Peach,0.0,{'0': 2},
11,Daisy,0.0,{'0': 3},
11,Sheik,0.0,{'0': 3},
11,Pichu,0.0,{'0': 1},
11,Falco,0.0,{'0': 1},
11,Lucina,0.0,{'0': 1},
11,Ganondorf,0.0,{'0': 1},
11,Pit,0.0,{'0': 2},
11,Zero Suit Samus,0.0,{'0': 2},
11,Wario,0.0,{'0': 1},
11,Ike,0.0,{'0': 1},
11,Diddy Kong,0.0,{'0': 3},
11,Olimar,0.0,{'0': 1},
11,ROB,0.0,{'0': 2},
11,Toon Link,0.0,{'0': 2},
11,Rosalina and Luma,0.0,{'0': 1},
11,Little Mac,0.0,{'0': 1},
11,Palutena,0.0,{'0': 1},
11,Ridley,0.0,{'0': 2},
11,Simon,0.0,{'0': 1},
11,King K Rool,0.0,{'0': 1},
11,Incineroar,0.0,{'0': 2},
11,Joker,0.0,{'0': 2},
11,Hero,0.0,{'0': 2},
11,Steve,0.0,{'0': 3},
11,Pyra-Mythra,0.0,{'0': 3},
11,Sora,0.0,{'0': 1},
11,Mario,0.0,{'0': 2},
11,Kirby,0.0,{'0': 1},
11,Fox,0.0,{'0': 3},
11,Pikachu,0.0,{'0': 1},
11,Luigi,0.0,{'0': 1},
11,Jigglypuff,0.0,{'0': 2},
11,Bowser,0.0,{'0': 3},
11,Ice Climbers,0.0,{'0': 1},
11,Zelda,0.0,{'0': 1},
11,Dr Mario,0.0,{'0': 2},
11,Mewtwo,0.0,{'0': 2},
11,Roy,0.0,{'0': 1},
11,Chrom,0.0,{'0': 1},
11,Mr Game and Watch,0.0,{'0': 3},
11,Meta Knight,0.0,{'0': 2},
11,Dark Pit,0.0,{'0': 2},
11,Snake,0.0,{'0': 1},
11,Pokemon Trainer,0.0,{'0': 1},
11,Lucas,0.0,{'0': 2},
11,Sonic,0.0,{'0': 2},
11,King Dedede,0.0,{'0': 1},
11,Lucario,0.0,{'0': 1},
11,Sephiroth,0.0,{'0': 4},
11,Villager,0.0,{'0': 2},
11,Mega Man,0.0,{'0': 1},
11,Greninja,0.0,{'0': 1},
11,Pac-Man,0.0,{'0': 1},
11,Robin,0.0,{'0': 2},
11,Shulk,0.0,{'0': 1},
11,Bowser Jr,0.0,{'0': 2},
11,Duck Hunt,0.0,{'0': 2},
11,Ryu,0.0,{'0': 4},
11,Ken,0.0,{'0': 3},
11,Corrin,0.0,{'0': 1},
11,Bayonetta,0.0,{'0': 1},
11,Inkling,0.0,{'0': 2},
11,Richter,0.0,{'0': 3},
11,Piranha Plant,0.0,{'0': 2},
11,Byleth,0.0,{'0': 2},
11,Min Min,0.0,{'0': 2},
11,Kazuya,0.0,{'0': 3},
11,Mii Brawler,0.0,{'0': 2},
11,Mii Swordsman,0.0,{'0': 2},
11,Mii Gunner,0.0,{'0': 2},
