rank,character,read_value,candidates,correct
1,Samus,13.0,{'13': 3},
2,Captain Falcon,8.0,{'8': 3},
2,Terry,8.0,{'8': 2},
4,Zero Suit Samus,6.0,{'6': 3},
5,Donkey Kong,4.0,{'4': 3},
5,Young Link,4.0,{'4': 3},
5,ROB,4.0,{'4': 3},
5,Ridley,4.0,{'4': 6},
9,Falco,2.0,{'2': 3},
9,Marth,2.0,{'2': 3},
9,Ike,2.0,{'2': 3},
9,Cloud,2.0,{'2': 3},
9,Joker,2.0,{'2': 3},
9,Banjo and Kazooie,2.0,{'2': 3},
15,Dark Samus,1.0,{'1': 3},
15,Yoshi,1.0,{'1': 3},
15,Peach,1.0,{'1': 3},
15,Sheik,1.0,{'1': 3},
15,Pichu,1.0,{'1': 3},
15,Lucina,1.0,{'1': 3},
15,Wario,1.0,{'1': 3},
15,Olimar,1.0,{'1': 3},
15,Wii Fit Trainer,1.0,{'1': 3},
15,Rosalina and Luma,1.0,{'1': 3},
15,Palutena,1.0,{'1': 3},
15,Hero,1.0,{'1': 3},
15,Pyra-Mythra,1.0,{'1': 3},
28,Link,0.0,{'0': 2},
28,Ness,0.0,{'0': 1},
28,Daisy,0.0,{'0': 3},
28,Ganondorf,0.0,{'0': 1},
28,Pit,0.0,{'0': 2},
28,Diddy Kong,0.0,{'0': 1},
28,Toon Link,0.0,{'0': 2},
28,Little Mac,0.0,{'0': 2},
28,Simon,0.0,{'0': 2},
28,King K Rool,0.0,{'0': 2},
28,Isabelle,0.0,{'0': 1},
28,Incineroar,0.0,{'0': 2},
28,Steve,0.0,{'0': 2},
28,Sora,0.0,{'0': 2},
28,Mario,0.0,{'0': 1},
28,Kirby,0.0,{'0': 1},
28,Fox,0.0,{'0': 2},
28,Pikachu,0.0,{'0': 3},
28,Luigi,0.0,{'0': 2},
28,Jigglypuff,0.0,{'0': 1},
28,Bowser,0.0,{'0': 1},
28,Ice Climbers,0.0,{'0': 2},
28,Zelda,0.0,{'0': 1},
28,Dr Mario,0.0,{'0': 2},
28,Mewtwo,0.0,{'0': 2},
28,Roy,0.0,{'0': 2},
28,Chrom,0.0,{'0': 2},
28,Mr Game and Watch,0.0,{'0': 2},
28,Meta Knight,0.0,{'0': 1},
28,Dark Pit,0.0,{'0': 2},
28,Snake,0.0,{'0': 1},
28,Pokemon Trainer,0.0,{'0': 2},
28,Lucas,0.0,"{'0': 1, '6': 1}",
28,Sonic,0.0,{'0': 1},
28,King Dedede,0.0,{'0': 1},
28,Lucario,0.0,{'0': 2},
28,Sephiroth,0.0,{'0': 4},
28,Villager,0.0,{'0': 2},
28,Mega Man,0.0,{'0': 1},
28,Greninja,0.0,{'0': 1},
28,Pac-Man,0.0,{'0': 2},
28,Robin,0.0,{'0': 1},
28,Shulk,0.0,{'0': 2},
28,Bowser Jr,0.0,{'0': 2},
28,Duck Hunt,0.0,{'0': 3},
28,Ryu,0.0,{'0': 2},
28,Ken,0.0,{'0': 1},
28,Corrin,0.0,{'0': 2},
28,Bayonetta,0.0,{'0': 3},
28,Inkling,0.0,{'0': 2},
28,Richter,0.0,{'0': 2},
28,Piranha Plant,0.0,{'0': 3},
28,Byleth,0.0,{'0': 4},
28,Min Min,0.0,{'0': 5},
28,Kazuya,0.0,{'0': 1},
28,Mii Brawler,0.0,{'0': 2},
28,Mii Swordsman,0.0,{'0': 3},
28,Mii Gunner,0.0,{'0': 1},
