rank,character,read_value,candidates,correct
1,Samus,359.0,{'359': 3},
2,Zero Suit Samus,57.0,{'57': 3},
3,Captain Falcon,48.0,{'48': 3},
4,Terry,39.0,{'39': 3},
5,Young Link,35.0,{'35': 3},
5,Donkey Kong,35.0,{'35': 3},
7,Ike,29.0,{'29': 3},
8,Ridley,21.0,{'21': 6},
9,ROB,18.0,{'18': 3},
10,Cloud,15.0,{'15': 3},
11,Banjo and Kazooie,13.0,{'13': 3},
12,Falco,12.0,{'12': 3},
13,Marth,10.0,{'10': 3},
14,Hero,8.0,{'8': 3},
15,Peach,7.0,{'7': 6},
15,Dark Samus,7.0,{'7': 3},
17,Olimar,6.0,{'6': 3},
17,Joker,6.0,{'6': 3},
19,Rosalina and Luma,5.0,{'5': 3},
19,Daisy,5.0,{'5': 3},
19,Isabelle,5.0,{'5': 3},
22,Wario,4.0,{'4': 3},
22,Wii Fit Trainer,4.0,{'4': 3},
22,Simon,4.0,{'4': 3},
22,King K Rool,4.0,{'4': 3},
22,Ganondorf,4.0,{'4': 3},
22,Pit,4.0,{'4': 3},
22,Pichu,4.0,{'4': 3},
29,Lucina,3.0,{'3': 3},
29,Link,3.0,{'3': 3},
29,Ness,3.0,{'3': 3},
29,Sheik,3.0,{'3': 3},
29,Yoshi,3.0,{'3': 3},
29,Diddy Kong,3.0,{'3': 3},
29,Toon Link,3.0,{'3': 3},
36,Little Mac,2.0,{'2': 3},
36,Incineroar,2.0,{'2': 3},
36,Steve,2.0,{'2': 3},
36,Pyra-Mythra,2.0,{'2': 3},
36,Sora,2.0,{'2': 3},
41,Palutena,1.0,{'1': 3},
42,Mario,0.0,{'0': 3},
42,Kirby,0.0,{'0': 3},
42,Fox,0.0,{'0': 6},
42,Pikachu,0.0,{'0': 3},
42,Luigi,0.0,{'0': 3},
42,Jigglypuff,0.0,{'0': 3},
42,Bowser,0.0,{'0': 3},
42,Ice Climbers,0.0,{'0': 3},
42,Zelda,0.0,{'0': 3},
42,Dr Mario,0.0,{'0': 6},
42,Mewtwo,0.0,{'0': 3},
42,Roy,0.0,{'0': 3},
42,Chrom,0.0,{'0': 3},
42,Mr Game and Watch,0.0,{'0': 3},
42,Meta Knight,0.0,{'0': 3},
42,Dark Pit,0.0,{'0': 3},
42,Snake,0.0,{'0': 3},
42,Pokemon Trainer,0.0,{'0': 3},
42,Lucas,0.0,{'0': 3},
42,Sonic,0.0,{'0': 3},
42,King Dedede,0.0,{'0': 3},
42,Lucario,0.0,{'0': 3},
42,Sephiroth,0.0,{'0': 6},
42,Villager,0.0,{'0': 3},
42,Mega Man,0.0,{'0': 3},
42,Greninja,0.0,{'0': 3},
42,Pac-Man,0.0,{'0': 3},
42,Robin,0.0,{'0': 3},
42,Shulk,0.0,{'0': 3},
42,Bowser Jr,0.0,{'0': 3},
42,Duck Hunt,0.0,{'0': 3},
42,Ryu,0.0,{'0': 6},
42,Ken,0.0,{'0': 3},
42,Corrin,0.0,{'0': 3},
42,Bayonetta,0.0,{'0': 3},
42,Inkling,0.0,{'0': 3},
42,Richter,0.0,{'0': 3},
42,Piranha Plant,0.0,{'0': 6},
42,Byleth,0.0,{'0': 6},
42,Min Min,0.0,{'0': 3},
42,Kazuya,0.0,{'0': 3},
42,Mii Brawler,0.0,{'0': 3},
42,Mii Swordsman,0.0,{'0': 3},
42,Mii Gunner,0.0,{'0': 3},
