rank,character,read_value,candidates,correct
1,Byleth,93716.0,"{'93716': 2, '53716': 1}",
2,Robin,93066.0,"{'93066': 2, '53066': 1}",
3,Corrin,91025.0,"{'91025': 2, '51025': 1}",
4,Piranha Plant,72138,{'72138': 3},
5,Palutena,44368.0,{'44368': 3},
6,Incineroar,36875.0,{'36875': 3},
7,Dark Pit,20517.0,{'20517': 3},
8,Banjo and Kazooie,12445.0,{'12445': 6},
9,Ridley,8495.0,{'8495': 3},
10,Zelda,7655.0,{'7655': 3},
11,Roy,7482.0,{'7482': 3},
12,Mewtwo,7293.0,{'7293': 3},
13,Rosalina and Luma,6817.0,{'6817': 3},
14,Ike,6106.0,{'6106': 3},
15,Lucina,5372.0,"{'932': 2, '5372': 2, '9372': 2}",
16,Pit,5074.0,"{'9074': 2, '5074': 1}",
17,Ganondorf,4873.0,{'4873': 3},
18,Hero,4584.0,{'4584': 3},
19,Toon Link,4372.0,{'4372': 3},
20,Shulk,4174.0,{'4174': 3},
21,Bowser Jr,3493.0,{'3493': 3},
22,Pokemon Trainer,3454.0,{'3454': 6},
23,Captain Falcon,3104.0,{'3104': 3},
24,Duck Hunt,3043.0,{'3043': 3},
25,Samus,2921.0,{'2921': 3},
26,Chrom,2756.0,{'2756': 3},
27,Marth,2725.0,"{'22': 2, '2725': 1}",
28,Greninja,2588.0,{'2588': 3},
29,Lucario,2383.0,{'2383': 6},
30,Yoshi,2371.0,{'2371': 3},
31,Dark Samus,1900.0,{'1900': 3},
32,Joker,1893.0,{'1893': 3},
33,Pikachu,1445.0,{'1445': 3},
34,Daisy,1321.0,{'1321': 3},
35,Inkling,1227.0,{'1227': 3},
36,King K Rool,1134.0,{'1134': 6},
37,Bowser,1017.0,{'1017': 3},
38,Young Link,1010.0,{'1010': 3},
39,Link,884.0,{'884': 3},
40,Wii Fit Trainer,851.0,{'851': 3},
41,Mario,798.0,{'798': 3},
42,Ken,763.0,{'763': 3},
43,Sephiroth,749.0,{'749': 6},
44,Mii Gunner,722.0,"{'22': 2, '722': 1}",
45,Wolf,671.0,{'671': 3},
46,Wario,666.0,{'666': 3},
47,Ice Climbers,651.0,{'651': 3},
48,Cloud,622.0,{'622': 3},
49,Meta Knight,446.0,{'446': 3},
50,Mega Man,398.0,{'398': 3},
51,Falco,374.0,{'374': 3},
52,ROB,367.0,{'367': 3},
53,Pac-Man,366.0,{'366': 3},
54,Jigglypuff,363.0,{'363': 3},
55,Donkey Kong,354.0,{'354': 3},
55,Zero Suit Samus,354.0,{'354': 3},
57,Pyra-Mythra,296.0,{'296': 3},
58,Mii Brawler,291.0,"{'291': 5, '2901': 1}",
59,Villager,275.0,{'275': 3},
60,Min Min,266.0,{'266': 3},
61,Olimar,263.0,{'263': 3},
62,Dr Mario,252.0,{'252': 3},
63,Kirby,216.0,{'216': 3},
64,Fox,0.0,{'0': 2},
64,Luigi,0.0,{'0': 1},
64,Ness,0.0,{'0': 1},
64,Peach,0.0,{'0': 1},
64,Sheik,0.0,{'0': 3},
64,Pichu,0.0,{'0': 1},
64,Mr Game and Watch,0.0,{'0': 1},
64,Snake,0.0,{'0': 2},
64,Diddy Kong,0.0,{'0': 2},
64,Lucas,0.0,{'0': 3},
64,Sonic,0.0,{'0': 1},
64,King Dedede,0.0,{'0': 2},
64,Little Mac,0.0,{'0': 1},
64,Ryu,0.0,{'0': 1},
64,Bayonetta,0.0,{'0': 1},
64,Simon,0.0,{'0': 4},
64,Richter,0.0,{'0': 8},
64,Isabelle,0.0,{'0': 2},
64,Terry,0.0,{'0': 3},
64,Steve,0.0,{'0': 3},
64,Kazuya,0.0,{'0': 4},
64,Sora,0.0,{'0': 2},
64,Mii Swordsman,0.0,{'0': 4},
