rank,character,read_value,candidates,correct
1,Piranha Plant,115936.0,{'115936': 3},
2,Corrin,87685.0,{'87685': 3},
3,Robin,87308.0,{'87308': 3},
4,Byleth,78065.0,{'78065': 3},
5,Palutena,74937.0,{'74937': 3},
6,Incineroar,53754.0,"{'93754': 2, '53754': 1}",
7,Dark Pit,31460.0,{'31460': 3},
8,Banjo and Kazooie,18335.0,{'18335': 6},
9,Ridley,11714.0,"{'11714': 2, '1714': 1}",
10,Zelda,10530.0,{'10530': 3},
11,Roy,10519.0,{'10519': 3},
12,Mewtwo,9855.0,{'9855': 3},
13,Rosalina and Luma,9743.0,{'9743': 3},
14,Lucina,8547.0,{'8547': 3},
15,Ike,8501.0,{'8501': 6},
16,Pit,7206.0,{'7206': 3},
17,Toon Link,6709.0,{'6709': 3},
18,Shulk,6196.0,{'6196': 3},
19,Hero,5891.0,"{'9891': 2, '5891': 1}",
20,Ganondorf,5271.0,{'5271': 3},
21,Duck Hunt,4962.0,{'4962': 3},
22,Captain Falcon,4890.0,{'4890': 6},
23,Chrom,4732.0,{'4732': 3},
24,Greninja,4663.0,{'4663': 3},
25,Bowser Jr,4465.0,{'4465': 3},
26,Pokemon Trainer,4181.0,{'4181': 3},
27,Marth,4000.0,{'4000': 3},
28,Yoshi,3899.0,"{'38939': 2, '3899': 1}",
29,Lucario,3786.0,{'3786': 6},
30,Samus,3754.0,{'3754': 3},
31,Joker,3069.0,{'3069': 3},
32,Dark Samus,3047.0,{'3047': 3},
33,Inkling,2457.0,{'2457': 3},
34,Pikachu,2077.0,{'2077': 3},
35,Young Link,1862.0,{'1862': 3},
36,Daisy,1786.0,{'1786': 3},
37,King K Rool,1723.0,{'1723': 3},
38,Mario,1462.0,{'1462': 3},
39,Link,1307.0,{'1307': 3},
40,Bowser,1259.0,{'1259': 3},
41,Wii Fit Trainer,1199.0,{'1199': 3},
42,Wolf,1040.0,{'1040': 3},
42,Mii Gunner,1040.0,{'1040': 3},
44,Wario,978.0,{'978': 3},
45,Ken,962.0,{'962': 3},
46,Ice Climbers,928.0,{'928': 3},
47,Sephiroth,892.0,{'892': 3},
48,Cloud,715.0,"{'715': 2, '15': 1}",
49,Zero Suit Samus,713.0,"{'713': 2, '13': 1}",
50,Pac-Man,692.0,{'692': 3},
51,Falco,588.0,"{'88': 2, '588': 1}",
52,Jigglypuff,574,{'574': 3},
53,Meta Knight,567.0,"{'67': 2, '567': 1}",
54,Mega Man,560.0,{'560': 3},
55,Pyra-Mythra,498.0,{'498': 3},
56,ROB,486.0,{'486': 3},
57,Donkey Kong,460.0,{'460': 3},
58,Villager,438.0,{'438': 6},
59,Mii Brawler,437.0,{'437': 3},
60,Min Min,434.0,{'434': 3},
61,Olimar,422.0,{'422': 3},
62,Dr Mario,380.0,{'380': 3},
63,Kirby,279.0,{'279': 3},
64,Fox,0.0,{'0': 1},
64,Luigi,0.0,{'0': 1},
64,Ness,0.0,{'0': 3},
64,Peach,0.0,{'0': 2},
64,Sheik,0.0,{'0': 2},
64,Pichu,0.0,{'0': 2},
64,Mr Game and Watch,0.0,"{'0': 1, '3': 1}",
64,Snake,0.0,{'0': 1},
64,Diddy Kong,0.0,{'0': 2},
64,Lucas,0.0,{'0': 2},
64,Sonic,0.0,{'0': 1},
64,King Dedede,0.0,{'0': 1},
64,Little Mac,0.0,{'0': 1},
64,Ryu,0.0,{'0': 3},
64,Bayonetta,0.0,{'0': 2},
64,Simon,0.0,{'0': 4},
64,Richter,0.0,{'0': 3},
64,Isabelle,0.0,{'0': 2},
64,Terry,0.0,{'0': 2},
64,Steve,0.0,{'0': 1},
64,Kazuya,0.0,{'0': 2},
64,Sora,0.0,{'0': 3},
64,Mii Swordsman,0.0,{'0': 1},
