rank,character,read_value,candidates,correct
1,Piranha Plant,54232.0,{'54232': 1},
2,Corrin,44062.0,{'44062': 3},
3,Robin,43468.0,{'43468': 3},
4,Palutena,34566.0,{'34566': 3},
5,Byleth,32229.0,{'32229': 3},
6,Incineroar,23232.0,{'23232': 3},
7,Dark Pit,15188.0,{'15188': 3},
8,Banjo and Kazooie,7989.0,{'7989': 6},
9,Ridley,5374.0,"{'9374': 2, '5374': 1}",
10,Roy,4642.0,{'4642': 3},
11,Zelda,4425.0,{'4425': 3},
12,Rosalina and Luma,4275.0,{'4275': 3},
13,Lucina,4253.0,{'4253': 3},
14,Mewtwo,4228.0,{'4228': 3},
15,Ike,3871.0,{'3871': 6},
16,Toon Link,3428.0,{'3428': 3},
17,Pit,3196.0,{'3196': 3},
18,Shulk,2676.0,{'2676': 3},
19,Hero,2453.0,{'2453': 3},
20,Chrom,2407.0,{'2407': 3},
21,Yoshi,2368.0,{'2368': 3},
22,Duck Hunt,2320.0,{'2320': 6},
23,Captain Falcon,2254.0,{'2254': 3},
24,Greninja,2182.0,{'2182': 3},
25,Marth,2115.0,{'2115': 3},
26,Bowser Jr,2046.0,{'2046': 3},
27,Samus,1894.0,{'1894': 3},
28,Pokemon Trainer,1779.0,{'1779': 3},
29,Lucario,1596.0,{'1596': 6},
30,Ganondorf,1471.0,{'1471': 3},
31,Joker,1413.0,{'1413': 3},
32,Dark Samus,1373.0,{'1373': 3},
33,Inkling,1217.0,{'1217': 3},
34,Pikachu,1054.0,{'1054': 3},
35,King K Rool,870.0,{'870': 3},
36,Daisy,846.0,{'846': 6},
37,Young Link,841.0,{'841': 3},
38,Mario,610.0,{'610': 3},
39,Link,582.0,{'582': 3},
40,Mii Gunner,530.0,{'530': 3},
41,Wolf,495.0,{'495': 3},
42,Wii Fit Trainer,479.0,{'479': 3},
43,Bowser,449.0,{'449': 3},
44,Wario,401.0,{'401': 3},
45,Zero Suit Samus,379.0,{'379': 3},
45,Pac-Man,379.0,{'379': 3},
47,Ken,375.0,{'375': 3},
48,Sephiroth,367.0,{'367': 3},
49,Ice Climbers,343.0,{'343': 3},
50,Falco,282.0,{'282': 3},
51,Villager,271.0,{'271': 6},
52,Jigglypuff,263.0,{'263': 3},
53,ROB,261.0,{'261': 3},
54,Min Min,255.0,{'255': 3},
55,Pyra-Mythra,252.0,{'252': 3},
56,Olimar,234.0,{'234': 3},
57,Mega Man,219.0,{'219': 3},
58,Meta Knight,215.0,{'215': 6},
59,Dr Mario,179.0,{'179': 3},
60,Cloud,177.0,"{'177': 2, '77': 1}",
61,Mii Brawler,167.0,{'167': 3},
62,Donkey Kong,146.0,{'146': 3},
63,Kirby,108.0,{'108': 3},
64,Fox,0.0,{'0': 1},
64,Luigi,0.0,{'0': 4},
64,Ness,0.0,{'0': 2},
64,Peach,0.0,{'0': 2},
64,Sheik,0.0,{'0': 1},
64,Pichu,0.0,{'0': 3},
64,Mr Game and Watch,0.0,{'0': 2},
64,Snake,0.0,{'0': 2},
64,Diddy Kong,0.0,{'0': 3},
64,Lucas,0.0,{'0': 3},
64,Sonic,0.0,{'0': 2},
64,King Dedede,0.0,{'0': 1},
64,Little Mac,0.0,{'0': 1},
64,Ryu,0.0,{'0': 1},
64,Bayonetta,0.0,{'0': 1},
64,Simon,0.0,{'0': 4},
64,Richter,0.0,{'0': 2},
64,Isabelle,0.0,{'0': 2},
64,Terry,0.0,{'0': 1},
64,Steve,0.0,{'0': 2},
64,Kazuya,0.0,{'0': 2},
64,Sora,0.0,{'0': 2},
64,Mii Swordsman,0.0,{'0': 3},
