rank,character,read_value,candidates,correct
1,Robin,170.0,{'170': 3},
2,Byleth,120.0,{'120': 3},
3,Corrin,87.0,{'87': 3},
4,Palutena,69.0,{'69': 3},
5,Dark Pit,35.0,{'35': 3},
6,Incineroar,34.0,{'34': 3},
6,Piranha Plant,34.0,{'34': 3},
8,Ridley,19.0,{'19': 6},
9,Zelda,17.0,"{'17': 2, '7': 1}",
9,Ike,17.0,"{'17': 2, '7': 1}",
11,Toon Link,15.0,{'15': 3},
12,Lucina,14.0,{'14': 3},
13,Mewtwo,11.0,"{'11': 2, '4': 1}",
14,Roy,10.0,{'10': 3},
15,Rosalina and Luma,8.0,"{'8': 3, '38': 1}",
16,Greninja,6.0,{'6': 3},
16,Duck Hunt,6.0,{'6': 3},
18,Yoshi,5.0,{'5': 1},
18,Banjo and Kazooie,5.0,{'5': 1},
20,Ganondorf,4.0,{'4': 2},
20,Chrom,4.0,{'4': 3},
20,Pit,4.0,{'4': 6},
20,Lucario,4.0,{'4': 3},
20,Shulk,4.0,{'4': 2},
20,Bowser Jr,4.0,{'4': 2},
20,Inkling,4.0,{'4': 2},
27,Dark Samus,3.0,{'3': 3},
27,Pokemon Trainer,3.0,{'3': 3},
27,King K Rool,3.0,{'3': 6},
30,Samus,2.0,{'2': 3},
30,Captain Falcon,2.0,{'2': 3},
30,Daisy,2.0,{'2': 3},
30,Hero,2.0,{'2': 3},
30,Mii Gunner,2.0,{'2': 3},
35,Mario,1.0,{'1': 3},
35,Donkey Kong,1.0,{'1': 3},
35,Link,1.0,{'1': 3},
35,Kirby,1.0,{'1': 3},
35,Jigglypuff,1.0,{'1': 3},
35,Ice Climbers,1.0,{'1': 3},
35,Joker,1.0,{'1': 3},
42,Pikachu,0.0,{'0': 1},
42,Bowser,0.0,{'0': 1},
42,Dr Mario,0.0,{'0': 3},
42,Falco,0.0,{'0': 2},
42,Marth,0.0,{'0': 3},
42,Young Link,0.0,{'0': 1},
42,Meta Knight,0.0,{'0': 2},
42,Zero Suit Samus,0.0,{'0': 1},
42,Wario,0.0,{'0': 3},
42,Olimar,0.0,{'0': 1},
42,Cloud,0.0,{'0': 3},
42,ROB,0.0,{'0': 1},
42,Sephiroth,0.0,{'0': 2},
42,Villager,0.0,{'0': 2},
42,Mega Man,0.0,{'0': 1},
42,Wii Fit Trainer,0.0,{'0': 2},
42,Pac-Man,0.0,{'0': 1},
42,Ken,0.0,{'0': 1},
42,Min Min,0.0,{'0': 1},
42,Pyra-Mythra,0.0,{'0': 1},
42,Mii Brawler,0.0,{'0': 1},
42,Fox,0.0,{'0': 1},
42,Luigi,0.0,{'0': 2},
42,Ness,0.0,{'0': 3},
42,Peach,0.0,{'0': 1},
42,Sheik,0.0,{'0': 2},
42,Pichu,0.0,{'0': 2},
42,Mr Game and Watch,0.0,{'0': 3},
42,Snake,0.0,{'0': 2},
42,Diddy Kong,0.0,{'0': 1},
42,Lucas,0.0,{'0': 4},
42,Sonic,0.0,{'0': 3},
42,King Dedede,0.0,{'0': 2},
42,Little Mac,0.0,{'0': 2},
42,Ryu,0.0,{'0': 3},
42,Bayonetta,0.0,{'0': 2},
42,Simon,0.0,{'0': 2},
42,Richter,0.0,{'0': 3},
42,Isabelle,0.0,{'0': 1},
42,Terry,0.0,{'0': 1},
42,Steve,0.0,{'0': 1},
42,Kazuya,0.0,{'0': 2},
42,Sora,0.0,{'0': 1},
42,Mii Swordsman,0.0,{'0': 2},
