rank,character,read_value,candidates,correct
1,Link,9.0,"{'9.0': 2, '5.0': 1}",
2,Pyra-Mythra,5.0,{'5.0': 3},
3,Zero Suit Samus,4.0,{'4.0': 3},
3,Olimar,4.0,{'4.0': 3},
5,Banjo and Kazooie,3.82,{'3.82': 3},
6,Ike,3.55,"{'3.99': 2, '3.55': 1}",
7,Sephiroth,3.5,{'3.5': 3},
8,Ridley,3.26,{'3.26': 6},
9,Chrom,3.25,"{'39.25': 2, '3.25': 1}",
10,Zelda,3.16,{'3.16': 3},
11,Robin,3.03,{'3.03': 3},
12,Mario,3.0,{'3.0': 3},
12,Donkey Kong,3.0,{'3.0': 3},
12,Samus,3.0,{'3.0': 3},
12,Dark Samus,3.0,{'3.0': 6},
12,Kirby,3.0,{'3.0': 3},
12,Falco,3.0,{'3.0': 3},
12,Villager,3.0,{'3.0': 3},
12,Pac-Man,3.0,{'3.0': 3},
12,Min Min,3.0,{'3.0': 3},
21,Piranha Plant,2.96,{'2.96': 3},
22,Roy,2.95,{'2.95': 3},
23,Byleth,2.86,{'2.86': 3},
24,Palutena,2.85,{'2.85': 3},
25,Ganondorf,2.78,{'2.78': 3},
26,Duck Hunt,2.77,{'2.77': 3},
27,Captain Falcon,2.7,{'2.7': 3},
28,Lucario,2.66,{'2.66': 3},
29,Lucina,2.62,{'2.62': 3},
30,Rosalina and Luma,2.57,{'2.57': 6},
30,Hero,2.57,"{'2.08': 2, '2.57': 1}",
32,Toon Link,2.53,"{'2.03': 2, '2.53': 1}",
33,Ice Climbers,2.5,{'2.5': 3},
33,Pokemon Trainer,2.5,{'2.5': 3},
33,Wolf,2.5,{'2.5': 3},
33,Shulk,2.5,{'2.5': 3},
33,Mii Gunner,2.5,{'2.5': 3},
38,Corrin,2.43,{'2.43': 3},
39,Joker,2.4,{'2.4': 3},
40,Dark Pit,2.39,{'2.39': 3},
41,Incineroar,2.29,{'2.29': 3},
41,Bowser Jr,2.29,"{'2.29': 2, '2.25': 1}",
43,Pit,2.23,"{'0.03': 2, '2.23': 1}",
44,Greninja,2.12,"{'2.12': 2, '2.42': 1}",
45,Mewtwo,2.09,{'2.09': 6},
46,Jigglypuff,2.0,{'2.0': 3},
46,Bowser,2.0,{'2.0': 3},
46,Dr Mario,2.0,{'2.0': 3},
46,Young Link,2.0,{'2.0': 3},
46,Mega Man,2.0,{'2.0': 3},
46,Cloud,2.0,{'2.0': 3},
52,Yoshi,1.83,{'1.83': 6},
53,King K Rool,1.66,{'1.66': 3},
54,Marth,1.5,{'1.5': 3},
54,Inkling,1.5,{'1.5': 3},
56,Wario,1.0,{'1.0': 3},
56,ROB,1.0,{'1.0': 3},
56,Ken,1.0,{'1.0': 3},
56,Mii Brawler,1.0,{'1.0': 6},
60,Daisy,0.75,{'0.75': 3},
61,Wii Fit Trainer,0.5,{'0.5': 3},
62,Pikachu,0.25,{'0.25': 3},
63,Meta Knight,0.0,{'0.0': 3},
63,Fox,0.0,{'0.0': 3},
63,Luigi,0.0,{'0.0': 3},
63,Ness,0.0,{'0.0': 6},
63,Peach,0.0,{'0.0': 3},
63,Sheik,0.0,{'0.0': 3},
63,Pichu,0.0,{'0.0': 3},
63,Mr Game and Watch,0.0,{'0.0': 3},
63,Snake,0.0,{'0.0': 3},
63,Diddy Kong,0.0,{'0.0': 3},
63,Lucas,0.0,{'0.0': 3},
63,Sonic,0.0,{'0.0': 3},
63,King Dedede,0.0,{'0.0': 3},
63,Little Mac,0.0,{'0.0': 3},
63,Ryu,0.0,{'0.0': 3},
63,Bayonetta,0.0,{'0.0': 3},
63,Simon,0.0,{'0.0': 6},
63,Richter,0.0,{'0.0': 6},
63,Isabelle,0.0,{'0.0': 6},
63,Terry,0.0,{'0.0': 3},
63,Steve,0.0,{'0.0': 3},
63,Kazuya,0.0,{'0.0': 3},
63,Sora,0.0,{'0.0': 3},
63,Mii Swordsman,0.0,{'0.0': 3},
