rank,character,read_value,candidates,correct
1,Byleth,19.0,{'19': 3},
2,Robin,12.0,{'12': 3},
3,Corrin,8.0,{'8': 2},
4,Chrom,6.0,{'6': 3},
5,Palutena,5.0,"{'9': 2, '5': 1}",
5,Incineroar,5.0,"{'2': 2, '5': 1}",
7,Piranha Plant,4.0,{'4': 3},
8,Pit,3.0,{'3': 6},
8,Dark Pit,3.0,{'3': 3},
10,Dark Samus,2.0,{'2': 3},
10,Ganondorf,2.0,{'2': 3},
10,Duck Hunt,2.0,{'2': 3},
10,Inkling,2.0,{'2': 3},
14,Samus,1.0,{'1': 3},
14,Kirby,1.0,{'1': 6},
14,Lucina,1.0,{'1': 3},
14,Mewtwo,1.0,{'1': 3},
14,Roy,1.0,{'1': 3},
14,Ike,1.0,{'1': 3},
14,Wolf,1.0,{'1': 3},
14,Rosalina and Luma,1.0,{'1': 3},
14,Shulk,1.0,{'1': 6},
14,King K Rool,1.0,{'1': 3},
24,Mario,0.0,{'0': 1},
24,Donkey Kong,0.0,{'0': 1},
24,Link,0.0,{'0': 3},
24,Yoshi,0.0,{'0': 3},
24,Pikachu,0.0,{'0': 1},
24,Captain Falcon,0.0,{'0': 3},
24,Jigglypuff,0.0,{'0': 1},
24,Daisy,0.0,{'0': 1},
24,Bowser,0.0,{'0': 1},
24,Ice Climbers,0.0,{'0': 1},
24,Zelda,0.0,{'0': 1},
24,Dr Mario,0.0,{'0': 2},
24,Falco,0.0,{'0': 2},
24,Marth,0.0,{'0': 1},
24,Young Link,0.0,{'0': 1},
24,Meta Knight,0.0,{'0': 1},
24,Zero Suit Samus,0.0,{'0': 1},
24,Wario,0.0,{'0': 1},
24,Pokemon Trainer,0.0,{'0': 1},
24,Olimar,0.0,{'0': 2},
24,Cloud,0.0,{'0': 2},
24,Lucario,0.0,{'0': 1},
24,ROB,0.0,{'0': 2},
24,Toon Link,0.0,{'0': 1},
24,Villager,0.0,{'0': 1},
24,Mega Man,0.0,{'0': 2},
24,Wii Fit Trainer,0.0,{'0': 2},
24,Greninja,0.0,{'0': 1},
24,Pac-Man,0.0,{'0': 2},
24,Bowser Jr,0.0,{'0': 1},
24,Ken,0.0,{'0': 2},
24,Ridley,0.0,{'0': 1},
24,Joker,0.0,{'0': 1},
24,Hero,0.0,{'0': 2},
24,Banjo and Kazooie,0.0,{'0': 4},
24,Min Min,0.0,{'0': 2},
24,Sephiroth,0.0,{'0': 1},
24,Pyra-Mythra,0.0,{'0': 1},
24,Mii Brawler,0.0,{'0': 2},
24,Mii Gunner,0.0,{'0': 3},
24,Fox,0.0,{'0': 2},
24,Luigi,0.0,{'0': 5},
24,Ness,0.0,{'0': 3},
24,Peach,0.0,{'0': 1},
24,Sheik,0.0,{'0': 1},
24,Pichu,0.0,{'0': 1},
24,Mr Game and Watch,0.0,{'0': 1},
24,Snake,0.0,{'0': 2},
24,Diddy Kong,0.0,{'0': 2},
24,Lucas,0.0,{'0': 1},
24,Sonic,0.0,{'0': 1},
24,King Dedede,0.0,{'0': 2},
24,Little Mac,0.0,{'0': 2},
24,Ryu,0.0,{'0': 2},
24,Bayonetta,0.0,{'0': 1},
24,Simon,0.0,{'0': 5},
24,Richter,0.0,"{'0': 3, '6': 1}",
24,Isabelle,0.0,{'0': 5},
24,Terry,0.0,{'0': 4},
24,Steve,0.0,{'0': 2},
24,Kazuya,0.0,{'0': 3},
24,Sora,0.0,{'0': 2},
24,Mii Swordsman,0.0,{'0': 3},
