rank,character,read_value,candidates,correct
1,Piranha Plant,329.0,{'329': 3},
2,Robin,177.0,"{'177': 2, '77': 1}",
3,Byleth,153.0,{'153': 3},
4,Corrin,124.0,{'124': 3},
5,Palutena,81.0,{'81': 3},
6,Banjo and Kazooie,70.0,{'70': 3},
7,Incineroar,65.0,{'65': 3},
8,Dark Pit,30.0,"{'30': 4, '300': 2}",
9,Captain Falcon,22.0,{'22': 3},
10,Roy,20.0,"{'20': 2, '200': 1}",
11,Zelda,19.0,{'19': 3},
12,Ridley,18.0,{'18': 3},
13,Ike,17.0,"{'17': 2, '7': 1}",
13,Hero,17.0,"{'17': 2, '7': 1}",
15,Pokemon Trainer,16.0,{'16': 6},
16,Rosalina and Luma,12.0,{'12': 3},
17,Samus,11.0,"{'11': 2, '41': 1}",
17,Chrom,11.0,"{'11': 2, '1': 1}",
19,Lucina,8.0,{'8': 2},
19,Pit,8.0,{'8': 2},
21,Shulk,7.0,{'7': 3},
22,Ganondorf,5.0,"{'9': 2, '5': 2}",
22,Mewtwo,5.0,{'5': 3},
22,Toon Link,5.0,{'5': 1},
25,Dark Samus,4.0,{'4': 2},
25,Greninja,4.0,{'4': 2},
27,Marth,3.0,{'3': 3},
27,Zero Suit Samus,3.0,{'3': 3},
27,Bowser Jr,3.0,{'3': 6},
27,Joker,3.0,{'3': 3},
31,Wolf,2.0,{'2': 3},
31,Cloud,2.0,{'2': 3},
31,Sephiroth,2.0,{'2': 3},
31,Pyra-Mythra,2.0,{'2': 3},
35,Donkey Kong,1.0,{'1': 3},
35,Yoshi,1.0,{'1': 6},
35,Pikachu,1.0,{'1': 3},
35,Jigglypuff,1.0,{'1': 3},
35,Bowser,1.0,{'1': 3},
35,Dr Mario,1.0,{'1': 3},
35,Falco,1.0,{'1': 3},
35,Young Link,1.0,{'1': 3},
35,Wario,1.0,{'1': 6},
35,Olimar,1.0,{'1': 3},
35,Lucario,1.0,{'1': 3},
35,ROB,1.0,{'1': 3},
35,Wii Fit Trainer,1.0,{'1': 3},
35,Duck Hunt,1.0,{'1': 3},
35,Ken,1.0,{'1': 3},
35,Inkling,1.0,{'1': 6},
51,Mario,0.0,{'0': 1},
51,Link,0.0,{'0': 1},
51,Kirby,0.0,{'0': 2},
51,Daisy,0.0,{'0': 2},
51,Ice Climbers,0.0,{'0': 2},
51,Meta Knight,0.0,{'0': 1},
51,Villager,0.0,{'0': 2},
51,Mega Man,0.0,{'0': 1},
51,Pac-Man,0.0,{'0': 1},
51,King K Rool,0.0,{'0': 2},
51,Min Min,0.0,{'0': 2},
51,Mii Brawler,0.0,{'0': 2},
51,Mii Gunner,0.0,{'0': 2},
51,Fox,0.0,{'0': 1},
51,Luigi,0.0,{'0': 3},
51,Ness,0.0,{'0': 2},
51,Peach,0.0,{'0': 1},
51,Sheik,0.0,{'0': 1},
51,Pichu,0.0,{'0': 2},
51,Mr Game and Watch,0.0,{'0': 2},
51,Snake,0.0,{'0': 1},
51,Diddy Kong,0.0,{'0': 1},
51,Lucas,0.0,{'0': 2},
51,Sonic,0.0,{'0': 2},
51,King Dedede,0.0,{'0': 2},
51,Little Mac,0.0,{'0': 1},
51,Ryu,0.0,{'0': 2},
51,Bayonetta,0.0,{'0': 2},
51,Simon,0.0,{'0': 3},
51,Richter,0.0,{'0': 3},
51,Isabelle,0.0,{'0': 1},
51,Terry,0.0,{'0': 2},
51,Steve,0.0,{'0': 1},
51,Kazuya,0.0,{'0': 3},
51,Sora,0.0,{'0': 1},
51,Mii Swordsman,0.0,{'0': 1},
