rank,character,read_value,candidates,correct
1,Piranha Plant,43.0,{'43': 3},
1,Byleth,43.0,"{'43': 2, '430': 1}",
3,Corrin,37.0,{'37': 3},
4,Incineroar,35.0,{'35': 3},
5,Palutena,21.0,"{'21': 2, '2': 1}",
6,Robin,19.0,{'19': 3},
7,Dark Pit,13.0,{'13': 3},
8,Ridley,8.0,{'8': 4},
9,Mewtwo,7.0,{'7': 3},
10,Captain Falcon,5.0,{'5': 3},
10,Lucina,5.0,{'5': 3},
10,Roy,5.0,{'5': 3},
10,Greninja,5.0,{'5': 3},
10,Shulk,5.0,"{'2': 2, '5': 1}",
10,Banjo and Kazooie,5.0,"{'9': 2, '5': 2}",
16,Marth,4.0,{'4': 3},
16,Ike,4.0,{'4': 2},
16,Toon Link,4.0,{'4': 2},
16,Hero,4.0,{'4': 2},
20,Ganondorf,3.0,{'3': 3},
20,Pokemon Trainer,3.0,{'3': 3},
20,Rosalina and Luma,3.0,{'3': 3},
20,Bowser Jr,3.0,{'3': 3},
24,Samus,2.0,{'2': 3},
24,Pikachu,2.0,{'2': 3},
24,Daisy,2.0,{'2': 3},
24,Zelda,2.0,{'2': 3},
24,Chrom,2.0,{'2': 3},
24,Pit,2.0,{'2': 3},
24,Wario,2.0,{'2': 6},
31,Dark Samus,1.0,{'1': 3},
31,Bowser,1.0,{'1': 3},
31,Young Link,1.0,{'1': 3},
31,Meta Knight,1.0,{'1': 3},
31,Mega Man,1.0,{'1': 3},
31,Wii Fit Trainer,1.0,{'1': 3},
31,Duck Hunt,1.0,{'1': 6},
31,Cloud,1.0,{'1': 3},
31,King K Rool,1.0,{'1': 3},
31,Joker,1.0,{'1': 3},
31,Mii Gunner,1.0,{'1': 3},
42,Mario,0.0,{'0': 3},
42,Donkey Kong,0.0,{'0': 1},
42,Link,0.0,{'0': 4},
42,Yoshi,0.0,{'0': 2},
42,Kirby,0.0,{'0': 1},
42,Jigglypuff,0.0,{'0': 3},
42,Ice Climbers,0.0,{'0': 1},
42,Dr Mario,0.0,{'0': 3},
42,Falco,0.0,{'0': 1},
42,Zero Suit Samus,0.0,{'0': 2},
42,Olimar,0.0,{'0': 1},
42,Lucario,0.0,{'0': 2},
42,ROB,0.0,{'0': 2},
42,Sephiroth,0.0,{'0': 4},
42,Villager,0.0,{'0': 2},
42,Pac-Man,0.0,{'0': 1},
42,Ken,0.0,{'0': 1},
42,Inkling,0.0,{'0': 4},
42,Min Min,0.0,{'0': 3},
42,Pyra-Mythra,0.0,{'0': 1},
42,Mii Brawler,0.0,{'0': 1},
42,Fox,0.0,{'0': 1},
42,Luigi,0.0,{'0': 2},
42,Ness,0.0,{'0': 3},
42,Peach,0.0,{'0': 2},
42,Sheik,0.0,{'0': 1},
42,Pichu,0.0,{'0': 2},
42,Mr Game and Watch,0.0,{'0': 1},
42,Snake,0.0,{'0': 2},
42,Diddy Kong,0.0,{'0': 2},
42,Lucas,0.0,{'0': 2},
42,Sonic,0.0,{'0': 1},
42,King Dedede,0.0,{'0': 2},
42,Little Mac,0.0,{'0': 1},
42,Ryu,0.0,{'0': 1},
42,Bayonetta,0.0,{'0': 1},
42,Simon,0.0,{'0': 2},
42,Richter,0.0,{'0': 4},
42,Isabelle,0.0,{'0': 3},
42,Terry,0.0,{'0': 2},
42,Steve,0.0,{'0': 1},
42,Kazuya,0.0,{'0': 2},
42,Sora,0.0,{'0': 1},
42,Mii Swordsman,0.0,{'0': 2},
