rank,character,read_value,candidates,correct
1,Hero,256.0,{'256': 3},
2,Banjo and Kazooie,243.0,{'243': 3},
3,Piranha Plant,239.0,{'239': 3},
4,Corrin,232.0,{'232': 3},
4,Incineroar,232.0,{'232': 3},
6,Captain Falcon,218.0,{'218': 3},
6,Palutena,218.0,{'218': 3},
8,Robin,217.0,{'217': 6},
9,Pokemon Trainer,214.0,{'214': 3},
9,Ridley,214.0,{'214': 3},
11,Young Link,212.0,{'212': 3},
12,Roy,209.0,{'209': 3},
12,Pit,209.0,{'209': 3},
14,Toon Link,205.0,{'205': 3},
15,Dark Samus,199.0,{'199': 6},
15,Lucina,199.0,{'199': 3},
17,Samus,198.0,{'198': 3},
17,Bowser Jr,198.0,{'198': 3},
19,Zelda,196.0,{'196': 3},
20,Dark Pit,194.0,{'194': 3},
20,King K Rool,194.0,{'194': 3},
20,Byleth,194.0,{'194': 6},
23,Ike,193.0,{'193': 3},
23,Rosalina and Luma,193.0,{'193': 3},
23,Joker,193.0,{'193': 3},
26,Lucario,191.0,{'191': 3},
27,Greninja,188.0,{'188': 3},
28,Mii Gunner,187.0,{'187': 3},
29,Yoshi,186.0,{'186': 6},
30,Meta Knight,185.0,{'185': 3},
31,Wii Fit Trainer,184.0,{'184': 3},
31,Inkling,184.0,{'184': 3},
33,Link,179.0,{'179': 3},
34,Daisy,177.0,"{'177': 2, '77': 1}",
34,Ganondorf,177.0,"{'177': 2, '77': 1}",
36,Pikachu,176.0,{'176': 6},
36,Shulk,176.0,{'176': 3},
38,Bowser,171.0,"{'171': 2, '71': 1}",
39,Mewtwo,170.0,{'170': 3},
40,Ken,169.0,{'169': 3},
41,Pac-Man,168.0,{'168': 3},
41,Duck Hunt,168.0,{'168': 3},
43,Mario,165.0,{'165': 3},
44,Wolf,163.0,{'163': 3},
45,Chrom,162.0,{'162': 3},
46,Marth,161.0,{'161': 3},
46,Mega Man,161.0,{'161': 3},
48,Cloud,159.0,{'159': 3},
49,Zero Suit Samus,158.0,{'158': 3},
50,Pyra-Mythra,157.0,{'157': 3},
51,Wario,153.0,{'153': 6},
52,Olimar,150.0,{'150': 3},
53,ROB,147.0,{'147': 3},
53,Sephiroth,147.0,{'147': 3},
55,Ice Climbers,146.0,{'146': 3},
56,Dr Mario,140.0,{'140': 3},
57,Min Min,136.0,{'136': 3},
58,Falco,135.0,{'135': 6},
59,Donkey Kong,133.0,"{'13': 2, '133': 1}",
60,Jigglypuff,122.0,{'122': 3},
61,Kirby,113.0,"{'113': 2, '13': 1}",
61,Mii Brawler,113.0,"{'113': 2, '13': 1}",
63,Villager,106.0,{'106': 3},
64,Fox,0.0,{'0': 1},
64,Luigi,0.0,{'0': 4},
64,Ness,0.0,{'0': 2},
64,Peach,0.0,{'0': 1},
64,Sheik,0.0,{'0': 1},
64,Pichu,0.0,{'0': 3},
64,Mr Game and Watch,0.0,{'0': 1},
64,Snake,0.0,{'0': 3},
64,Diddy Kong,0.0,{'0': 4},
64,Lucas,0.0,{'0': 2},
64,Sonic,0.0,{'0': 1},
64,King Dedede,0.0,{'0': 1},
64,Little Mac,0.0,{'0': 2},
64,Ryu,0.0,{'0': 1},
64,Bayonetta,0.0,{'0': 2},
64,Simon,0.0,{'0': 5},
64,Richter,0.0,{'0': 6},
64,Isabelle,0.0,{'0': 4},
64,Terry,0.0,{'0': 4},
64,Steve,0.0,{'0': 5},
64,Kazuya,0.0,{'0': 4},
64,Sora,0.0,{'0': 4},
64,Mii Swordsman,0.0,{'0': 4},
