rank,character,read_value,candidates,correct
1,Mario,100.0,{'100.0': 3},
1,Link,100.0,{'100.0': 3},
1,Kirby,100.0,{'100.0': 3},
1,Jigglypuff,100.0,{'100.0': 3},
1,Dr Mario,100.0,{'100.0': 3},
1,Zero Suit Samus,100.0,{'100.0': 3},
1,Olimar,100.0,{'100.0': 3},
1,Villager,100.0,{'100.0': 6},
1,Pac-Man,100.0,{'100.0': 3},
1,Min Min,100.0,{'100.0': 3},
1,Sephiroth,100.0,"{'100.0': 3, '0.0': 3}",
1,Pyra-Mythra,100.0,{'100.0': 3},
13,Bowser,66.66,{'66.66': 3},
13,Young Link,66.66,{'66.66': 3},
13,Duck Hunt,66.66,{'66.66': 6},
16,Corrin,62.0,{'62.0': 3},
17,Zelda,58.33,"{'98.33': 2, '58.33': 1}",
18,Robin,58.0,{'58.0': 3},
18,Piranha Plant,58.0,{'58.0': 3},
20,Rosalina and Luma,57.89,"{'97.89': 2, '57.89': 1}",
21,Ridley,57.69,{'57.69': 3},
22,Byleth,56.0,{'56.0': 3},
23,Samus,55.55,"{'39.0': 2, '55.55': 1}",
24,Dark Pit,52.0,{'52.0': 3},
25,Banjo and Kazooie,51.42,"{'91.42': 2, '51.42': 1}",
26,Yoshi,50.0,{'50.0': 3},
26,Ice Climbers,50.0,"{'90.0': 2, '50.0': 1}",
26,Lucina,50.0,"{'90.0': 2, '50.0': 1}",
26,Palutena,50.0,"{'90.0': 2, '50.0': 1}",
26,Inkling,50.0,{'50.0': 6},
26,Mii Gunner,50.0,{'50.0': 3},
32,Pit,46.15,{'46.15': 3},
32,Toon Link,46.15,{'46.15': 3},
34,Ike,44.44,{'44.44': 3},
35,Dark Samus,40.0,{'40.0': 3},
35,Pokemon Trainer,40.0,{'40.0': 3},
37,Chrom,37.5,{'37.5': 6},
37,Greninja,37.5,{'37.5': 3},
39,Lucario,33.33,{'33.33': 3},
39,King K Rool,33.33,{'33.33': 3},
41,Roy,31.81,{'31.81': 3},
42,Mewtwo,28.57,{'28.57': 3},
42,Hero,28.57,{'28.57': 3},
44,Pikachu,25.0,{'25.0': 6},
44,Daisy,25.0,{'25.0': 3},
44,Marth,25.0,{'25.0': 3},
44,Shulk,25.0,{'25.0': 3},
48,Captain Falcon,20.0,{'20.0': 3},
48,Incineroar,20.0,{'20.0': 3},
48,Joker,20.0,{'20.0': 3},
51,Ganondorf,14.28,{'14.28': 6},
52,Donkey Kong,0.0,{'0.0': 3},
52,Falco,0.0,{'0.0': 3},
52,Meta Knight,0.0,{'0.0': 3},
52,Wario,0.0,{'0.0': 3},
52,ROB,0.0,{'0.0': 3},
52,Mega Man,0.0,{'0.0': 3},
52,Wii Fit Trainer,0.0,{'0.0': 3},
52,Bowser Jr,0.0,{'0.0': 3},
52,Ken,0.0,{'0.0': 3},
52,Cloud,0.0,{'0.0': 3},
52,Mii Brawler,0.0,{'0.0': 3},
52,Fox,0.0,{'0.0': 3},
52,Luigi,0.0,{'0.0': 3},
52,Ness,0.0,{'0.0': 6},
52,Peach,0.0,{'0.0': 3},
52,Sheik,0.0,{'0.0': 3},
52,Pichu,0.0,{'0.0': 3},
52,Mr Game and Watch,0.0,{'0.0': 3},
52,Snake,0.0,{'0.0': 3},
52,Diddy Kong,0.0,{'0.0': 3},
52,Lucas,0.0,{'0.0': 6},
52,Sonic,0.0,{'0.0': 3},
52,King Dedede,0.0,{'0.0': 3},
52,Little Mac,0.0,{'0.0': 3},
52,Ryu,0.0,{'0.0': 3},
52,Bayonetta,0.0,{'0.0': 3},
52,Simon,0.0,{'0.0': 6},
52,Richter,0.0,{'0.0': 6},
52,Isabelle,0.0,{'0.0': 3},
52,Terry,0.0,{'0.0': 3},
52,Steve,0.0,{'0.0': 3},
52,Kazuya,0.0,{'0.0': 3},
52,Sora,0.0,{'0.0': 3},
52,Mii Swordsman,0.0,{'0.0': 3},
