rank,character,read_value,candidates,correct
1,Kirby,100.0,{'100.0': 3},
1,Jigglypuff,100.0,{'100.0': 3},
1,Dr Mario,100.0,{'100.0': 3},
1,Olimar,100.0,{'100.0': 3},
1,Villager,100.0,{'100.0': 3},
1,Pac-Man,100.0,{'100.0': 3},
1,Min Min,100.0,{'100.0': 3},
1,Pyra-Mythra,100.0,{'100.0': 6},
9,Young Link,66.66,{'66.66': 3},
10,Byleth,52.0,{'52.0': 3},
11,Ice Climbers,50.0,{'50.0': 3},
11,Inkling,50.0,{'50.0': 3},
11,Sephiroth,50.0,"{'90.0': 2, '50.0': 1, '0.0': 3}",
14,Toon Link,46.15,{'46.15': 3},
15,Samus,44.44,{'44.44': 3},
15,Duck Hunt,44.44,{'44.44': 3},
17,Piranha Plant,42.0,{'42.0': 3},
18,Zelda,41.66,{'41.66': 3},
19,Dark Samus,40.0,{'40.0': 3},
19,Robin,40.0,{'40.0': 3},
19,Corrin,40.0,{'40.0': 3},
22,Pit,38.46,{'38.46': 3},
22,Ridley,38.46,{'38.46': 6},
24,Palutena,38.0,{'38.0': 3},
25,Dark Pit,36.0,{'36.0': 3},
26,Banjo and Kazooie,34.28,{'34.28': 3},
27,Yoshi,33.33,{'33.33': 3},
27,Bowser,33.33,{'33.33': 3},
29,Rosalina and Luma,31.57,{'31.57': 3},
30,Pokemon Trainer,30.0,{'30.0': 3},
31,Marth,25.0,{'25.0': 3},
31,Chrom,25.0,{'25.0': 3},
31,Greninja,25.0,{'25.0': 3},
34,Lucina,18.75,{'18.75': 3},
35,Roy,18.18,{'18.18': 3},
36,Ike,16.66,{'16.66': 3},
37,Ganondorf,14.28,{'14.28': 3},
37,Hero,14.28,{'14.28': 6},
39,Mewtwo,9.52,{'9.52': 3},
40,Shulk,8.33,{'8.33': 3},
41,Incineroar,8.0,{'8.0': 3},
42,Mario,0.0,{'0.0': 3},
42,Donkey Kong,0.0,{'0.0': 3},
42,Link,0.0,{'0.0': 3},
42,Pikachu,0.0,{'0.0': 3},
42,Captain Falcon,0.0,{'0.0': 3},
42,Daisy,0.0,{'0.0': 3},
42,Falco,0.0,{'0.0': 3},
42,Meta Knight,0.0,{'0.0': 3},
42,Zero Suit Samus,0.0,{'0.0': 3},
42,Wario,0.0,{'0.0': 3},
42,Lucario,0.0,{'0.0': 3},
42,ROB,0.0,{'0.0': 6},
42,Mega Man,0.0,{'0.0': 3},
42,Wii Fit Trainer,0.0,{'0.0': 3},
42,Bowser Jr,0.0,{'0.0': 3},
42,Ken,0.0,{'0.0': 3},
42,Cloud,0.0,{'0.0': 3},
42,King K Rool,0.0,{'0.0': 6},
42,Joker,0.0,{'0.0': 3},
42,Mii Brawler,0.0,{'0.0': 3},
42,Mii Gunner,0.0,{'0.0': 3},
42,Fox,0.0,{'0.0': 3},
42,Luigi,0.0,{'0.0': 3},
42,Ness,0.0,{'0.0': 3},
42,Peach,0.0,{'0.0': 6},
42,Sheik,0.0,{'0.0': 3},
42,Pichu,0.0,{'0.0': 3},
42,Mr Game and Watch,0.0,{'0.0': 3},
42,Snake,0.0,{'0.0': 3},
42,Diddy Kong,0.0,{'0.0': 3},
42,Lucas,0.0,{'0.0': 3},
42,Sonic,0.0,{'0.0': 6},
42,King Dedede,0.0,{'0.0': 3},
42,Little Mac,0.0,{'0.0': 3},
42,Ryu,0.0,{'0.0': 3},
42,Bayonetta,0.0,{'0.0': 3},
42,Simon,0.0,{'0.0': 6},
42,Richter,0.0,{'0.0': 6},
42,Isabelle,0.0,{'0.0': 6},
42,Terry,0.0,{'0.0': 3},
42,Steve,0.0,{'0.0': 3},
42,Kazuya,0.0,{'0.0': 3},
42,Sora,0.0,{'0.0': 3},
42,Mii Swordsman,0.0,{'0.0': 3},
