rank,character,read_value,candidates,correct
1,Mario,3.0,{'3.0': 3},
1,Samus,3.0,{'3.0': 3},
1,Kirby,3.0,{'3.0': 3},
1,Fox,3.0,{'3.0': 3},
1,Bowser,3.0,{'3.0': 6},
1,Falco,3.0,{'3.0': 6},
1,Young Link,3.0,{'3.0': 6},
1,Ganondorf,3.0,{'3.0': 6},
1,Roy,3.0,{'3.0': 3},
1,Mr Game and Watch,3.0,{'3.0': 3},
1,Meta Knight,3.0,{'3.0': 3},
1,Pit,3.0,{'3.0': 3},
1,Dark Pit,3.0,{'3.0': 3},
1,Pokemon Trainer,3.0,{'3.0': 3},
1,Diddy Kong,3.0,{'3.0': 3},
1,Sonic,3.0,{'3.0': 3},
1,Lucario,3.0,{'3.0': 3},
1,ROB,3.0,{'3.0': 3},
1,Rosalina and Luma,3.0,{'3.0': 6},
1,Joker,3.0,{'3.0': 3},
1,Steve,3.0,{'3.0': 3},
22,Greninja,2.97,{'2.97': 3},
23,Toon Link,2.9,{'2.9': 3},
24,Donkey Kong,0.0,{'0.0': 3},
24,Link,0.0,{'0.0': 3},
24,Dark Samus,0.0,{'0.0': 6},
24,Yoshi,0.0,{'0.0': 3},
24,Pikachu,0.0,{'0.0': 3},
24,Luigi,0.0,{'0.0': 3},
24,Ness,0.0,{'0.0': 3},
24,Captain Falcon,0.0,{'0.0': 3},
24,Jigglypuff,0.0,{'0.0': 3},
24,Peach,0.0,{'0.0': 3},
24,Daisy,0.0,{'0.0': 3},
24,Ice Climbers,0.0,{'0.0': 3},
24,Sheik,0.0,{'0.0': 3},
24,Zelda,0.0,{'0.0': 3},
24,Dr Mario,0.0,{'0.0': 3},
24,Pichu,0.0,{'0.0': 3},
24,Marth,0.0,{'0.0': 3},
24,Lucina,0.0,{'0.0': 3},
24,Mewtwo,0.0,{'0.0': 3},
24,Chrom,0.0,{'0.0': 3},
24,Zero Suit Samus,0.0,{'0.0': 3},
24,Wario,0.0,{'0.0': 3},
24,Snake,0.0,{'0.0': 3},
24,Ike,0.0,{'0.0': 3},
24,Lucas,0.0,{'0.0': 3},
24,King Dedede,0.0,{'0.0': 3},
24,Olimar,0.0,{'0.0': 3},
24,Wolf,0.0,{'0.0': 3},
24,Villager,0.0,{'0.0': 3},
24,Mega Man,0.0,{'0.0': 3},
24,Wii Fit Trainer,0.0,{'0.0': 3},
24,Little Mac,0.0,{'0.0': 6},
24,Palutena,0.0,{'0.0': 3},
24,Pac-Man,0.0,{'0.0': 3},
24,Robin,0.0,{'0.0': 3},
24,Shulk,0.0,{'0.0': 3},
24,Bowser Jr,0.0,{'0.0': 3},
24,Duck Hunt,0.0,{'0.0': 3},
24,Ryu,0.0,{'0.0': 6},
24,Ken,0.0,{'0.0': 3},
24,Cloud,0.0,{'0.0': 3},
24,Corrin,0.0,{'0.0': 3},
24,Bayonetta,0.0,{'0.0': 3},
24,Inkling,0.0,{'0.0': 3},
24,Ridley,0.0,{'0.0': 3},
24,Simon,0.0,{'0.0': 3},
24,Richter,0.0,{'0.0': 3},
24,King K Rool,0.0,{'0.0': 3},
24,Isabelle,0.0,{'0.0': 3},
24,Incineroar,0.0,{'0.0': 3},
24,Piranha Plant,0.0,{'0.0': 3},
24,Hero,0.0,{'0.0': 3},
24,Banjo and Kazooie,0.0,{'0.0': 3},
24,Byleth,0.0,{'0.0': 3},
24,Min Min,0.0,{'0.0': 6},
24,Sephiroth,0.0,{'0.0': 6},
24,Pyra-Mythra,0.0,{'0.0': 6},
24,Kazuya,0.0,{'0.0': 6},
24,Sora,0.0,{'0.0': 6},
24,Mii Brawler,0.0,{'0.0': 6},
24,Mii Swordsman,0.0,{'0.0': 3},
24,Mii Gunner,0.0,{'0.0': 3},
