rank,character,read_value,candidates,correct
1,Greninja,23975.0,{'23975': 1},
2,Toon Link,12234.0,{'12234': 3},
3,Kirby,11426.0,{'11426': 3},
4,Falco,6988.0,{'6988': 3},
5,Joker,6606.0,{'6606': 6},
6,Meta Knight,1804.0,{'1804': 6},
7,Diddy Kong,1155.0,{'1155': 6},
8,Mario,926.0,{'926': 6},
9,Mr Game and Watch,800.0,{'800': 3},
10,Sonic,595.0,"{'995': 2, '595': 1}",
11,ROB,569.0,{'569': 3},
12,Pit,505.0,"{'905': 2, '505': 1}",
13,Lucario,466.0,{'466': 3},
14,Young Link,463.0,{'463': 3},
15,Samus,454.0,{'454': 3},
16,Pokemon Trainer,415.0,{'415': 3},
17,Bowser,414.0,{'414': 3},
18,Rosalina and Luma,340.0,{'340': 3},
19,Dark Pit,308.0,{'308': 6},
20,Ganondorf,276.0,{'276': 3},
21,Fox,265.0,{'265': 3},
22,Steve,249.0,{'249': 3},
23,Roy,196.0,{'196': 3},
24,Donkey Kong,0.0,{'0': 2},
24,Link,0.0,{'0': 2},
24,Dark Samus,0.0,{'0': 1},
24,Yoshi,0.0,{'0': 1},
24,Pikachu,0.0,{'0': 2},
24,Luigi,0.0,{'0': 2},
24,Ness,0.0,{'0': 2},
24,Captain Falcon,0.0,{'0': 2},
24,Jigglypuff,0.0,{'0': 1},
24,Peach,0.0,{'0': 1},
24,Daisy,0.0,{'0': 2},
24,Ice Climbers,0.0,{'0': 2},
24,Sheik,0.0,{'0': 1},
24,Zelda,0.0,{'0': 3},
24,Dr Mario,0.0,{'0': 2},
24,Pichu,0.0,{'0': 2},
24,Marth,0.0,{'0': 1},
24,Lucina,0.0,{'0': 2},
24,Mewtwo,0.0,{'0': 2},
24,Chrom,0.0,{'0': 1},
24,Zero Suit Samus,0.0,{'0': 2},
24,Wario,0.0,{'0': 3},
24,Snake,0.0,{'0': 1},
24,Ike,0.0,{'0': 1},
24,Lucas,0.0,{'0': 1},
24,King Dedede,0.0,{'0': 2},
24,Olimar,0.0,{'0': 1},
24,Wolf,0.0,{'0': 2},
24,Villager,0.0,{'0': 2},
24,Mega Man,0.0,{'0': 2},
24,Wii Fit Trainer,0.0,{'0': 1},
24,Little Mac,0.0,{'0': 4},
24,Palutena,0.0,{'0': 2},
24,Pac-Man,0.0,{'0': 2},
24,Robin,0.0,{'0': 2},
24,Shulk,0.0,{'0': 3},
24,Bowser Jr,0.0,{'0': 2},
24,Duck Hunt,0.0,{'0': 2},
24,Ryu,0.0,{'0': 1},
24,Ken,0.0,{'0': 2},
24,Cloud,0.0,{'0': 1},
24,Corrin,0.0,{'0': 1},
24,Bayonetta,0.0,{'0': 3},
24,Inkling,0.0,{'0': 3},
24,Ridley,0.0,{'0': 1},
24,Simon,0.0,{'0': 1},
24,Richter,0.0,{'0': 2},
24,King K Rool,0.0,{'0': 2},
24,Isabelle,0.0,{'0': 2},
24,Incineroar,0.0,{'0': 2},
24,Piranha Plant,0.0,{'0': 2},
24,Hero,0.0,{'0': 2},
24,Banjo and Kazooie,0.0,{'0': 2},
24,Terry,0.0,{'0': 1},
24,Byleth,0.0,{'0': 2},
24,Min Min,0.0,{'0': 3},
24,Sephiroth,0.0,{'0': 3},
24,Pyra-Mythra,0.0,{'0': 4},
24,Kazuya,0.0,{'0': 3},
24,Sora,0.0,{'0': 3},
24,Mii Brawler,0.0,{'0': 4},
24,Mii Swordsman,0.0,{'0': 1},
24,Mii Gunner,0.0,{'0': 1},
