rank,character,read_value,candidates,correct
1,Greninja,14062.0,{'14062': 1},
2,Kirby,8564.0,{'8564': 3},
3,Toon Link,7280.0,{'7280': 3},
4,Joker,5488.0,"{'9488': 4, '5488': 2}",
5,Falco,4802.0,{'4802': 6},
6,Meta Knight,1071.0,{'1071': 6},
7,Mario,783.0,{'783': 6},
8,Diddy Kong,715.0,"{'715': 5, '15': 1}",
9,Mr Game and Watch,632.0,{'632': 3},
10,Pit,387.0,{'387': 3},
11,Sonic,375.0,{'375': 3},
12,ROB,354.0,{'354': 3},
13,Pokemon Trainer,350.0,{'350': 3},
14,Bowser,349.0,{'349': 3},
15,Lucario,329.0,{'329': 3},
16,Samus,310.0,{'310': 3},
17,Ganondorf,282.0,{'282': 3},
18,Young Link,261.0,{'261': 3},
19,Rosalina and Luma,232.0,{'232': 3},
20,Fox,204.0,{'204': 3},
21,Steve,197.0,{'197': 3},
22,Dark Pit,196.0,{'196': 3},
23,Roy,154.0,{'154': 3},
24,Donkey Kong,0.0,{'0': 2},
24,Link,0.0,{'0': 2},
24,Dark Samus,0.0,{'0': 1},
24,Yoshi,0.0,{'0': 1},
24,Pikachu,0.0,{'0': 2},
24,Luigi,0.0,{'0': 2},
24,Ness,0.0,{'0': 2},
24,Captain Falcon,0.0,{'0': 2},
24,Jigglypuff,0.0,{'0': 2},
24,Peach,0.0,{'0': 2},
24,Daisy,0.0,{'0': 1},
24,Ice Climbers,0.0,{'0': 1},
24,Sheik,0.0,{'0': 1},
24,Zelda,0.0,{'0': 2},
24,Dr Mario,0.0,{'0': 1},
24,Pichu,0.0,{'0': 2},
24,Marth,0.0,{'0': 1},
24,Lucina,0.0,{'0': 2},
24,Mewtwo,0.0,{'0': 2},
24,Chrom,0.0,{'0': 1},
24,Zero Suit Samus,0.0,{'0': 2},
24,Wario,0.0,{'0': 2},
24,Snake,0.0,{'0': 2},
24,Ike,0.0,{'0': 2},
24,Lucas,0.0,{'0': 2},
24,King Dedede,0.0,{'0': 2},
24,Olimar,0.0,{'0': 2},
24,Wolf,0.0,{'0': 1},
24,Villager,0.0,{'0': 3},
24,Mega Man,0.0,{'0': 2},
24,Wii Fit Trainer,0.0,{'0': 1},
24,Little Mac,0.0,{'0': 2},
24,Palutena,0.0,{'0': 2},
24,Pac-Man,0.0,{'0': 2},
24,Robin,0.0,{'0': 1},
24,Shulk,0.0,{'0': 2},
24,Bowser Jr,0.0,{'0': 1},
24,Duck Hunt,0.0,{'0': 1},
24,Ryu,0.0,{'0': 5},
24,Ken,0.0,{'0': 1},
24,Cloud,0.0,{'0': 1},
24,Corrin,0.0,{'0': 2},
24,Bayonetta,0.0,{'0': 2},
24,Inkling,0.0,{'0': 2},
24,Ridley,0.0,{'0': 2},
24,Simon,0.0,{'0': 2},
24,Richter,0.0,{'0': 2},
24,King K Rool,0.0,{'0': 2},
24,Isabelle,0.0,{'0': 1},
24,Incineroar,0.0,{'0': 1},
24,Piranha Plant,0.0,{'0': 3},
24,Hero,0.0,{'0': 1},
24,Banjo and Kazooie,0.0,{'0': 2},
24,Terry,0.0,{'0': 1},
24,Byleth,0.0,{'0': 2},
24,Min Min,0.0,{'0': 3},
24,Sephiroth,0.0,{'0': 3},
24,Pyra-Mythra,0.0,{'0': 3},
24,Kazuya,0.0,{'0': 2},
24,Sora,0.0,{'0': 3},
24,Mii Brawler,0.0,{'0': 2},
24,Mii Swordsman,0.0,{'0': 1},
24,Mii Gunner,0.0,{'0': 2},
