rank,character,read_value,candidates,correct
1,Greninja,103.0,{'103': 3},
2,Kirby,70.0,{'70': 3},
3,Toon Link,61.0,{'61': 3},
4,Joker,41.0,"{'41': 5, '4': 1}",
5,Falco,39.0,{'39': 6},
6,Meta Knight,13.0,{'13': 6},
7,Diddy Kong,8.0,{'8': 5},
8,Mario,6.0,{'6': 6},
8,Mr Game and Watch,6.0,{'6': 3},
10,Samus,3.0,{'3': 3},
10,Fox,3.0,{'3': 3},
10,Bowser,3.0,{'3': 3},
10,Young Link,3.0,{'3': 3},
10,Ganondorf,3.0,{'3': 3},
10,Pit,3.0,{'3': 3},
10,Dark Pit,3.0,{'3': 3},
10,Pokemon Trainer,3.0,{'3': 3},
10,Sonic,3.0,{'3': 6},
10,Lucario,3.0,{'3': 3},
10,ROB,3.0,{'3': 3},
21,Roy,2.0,{'2': 3},
21,Rosalina and Luma,2.0,{'2': 3},
21,Steve,2.0,{'2': 3},
24,Donkey Kong,0.0,{'0': 1},
24,Link,0.0,{'0': 1},
24,Dark Samus,0.0,{'0': 1},
24,Yoshi,0.0,{'0': 2},
24,Pikachu,0.0,{'0': 2},
24,Luigi,0.0,{'0': 2},
24,Ness,0.0,{'0': 1},
24,Captain Falcon,0.0,{'0': 2},
24,Jigglypuff,0.0,{'0': 2},
24,Peach,0.0,{'0': 1},
24,Daisy,0.0,{'0': 2},
24,Ice Climbers,0.0,{'0': 2},
24,Sheik,0.0,{'0': 2},
24,Zelda,0.0,{'0': 2},
24,Dr Mario,0.0,{'0': 2},
24,Pichu,0.0,{'0': 2},
24,Marth,0.0,{'0': 2},
24,Lucina,0.0,{'0': 3},
24,Mewtwo,0.0,{'0': 1},
24,Chrom,0.0,{'0': 2},
24,Zero Suit Samus,0.0,{'0': 1},
24,Wario,0.0,{'0': 2},
24,Snake,0.0,{'0': 2},
24,Ike,0.0,{'0': 3},
24,Lucas,0.0,{'0': 2},
24,King Dedede,0.0,{'0': 2},
24,Olimar,0.0,{'0': 2},
24,Sephiroth,0.0,{'0': 3},
24,Villager,0.0,{'0': 2},
24,Mega Man,0.0,{'0': 1},
24,Wii Fit Trainer,0.0,{'0': 1},
24,Little Mac,0.0,{'0': 1},
24,Palutena,0.0,{'0': 2},
24,Pac-Man,0.0,{'0': 2},
24,Robin,0.0,{'0': 2},
24,Shulk,0.0,{'0': 2},
24,Bowser Jr,0.0,{'0': 1},
24,Duck Hunt,0.0,{'0': 1},
24,Ryu,0.0,{'0': 2},
24,Ken,0.0,{'0': 1},
24,Cloud,0.0,{'0': 2},
24,Corrin,0.0,{'0': 2},
24,Bayonetta,0.0,{'0': 3},
24,Inkling,0.0,{'0': 3},
24,Ridley,0.0,{'0': 1},
24,Simon,0.0,{'0': 2},
24,Richter,0.0,{'0': 1},
24,King K Rool,0.0,{'0': 1},
24,Isabelle,0.0,{'0': 2},
24,Incineroar,0.0,{'0': 2},
24,Piranha Plant,0.0,{'0': 2},
24,Hero,0.0,"{'0': 1, '6': 1}",
24,Banjo and Kazooie,0.0,{'0': 4},
24,Terry,0.0,{'0': 2},
24,Byleth,0.0,{'0': 2},
24,Min Min,0.0,{'0': 2},
24,Pyra-Mythra,0.0,{'0': 4},
24,Kazuya,0.0,{'0': 4},
24,Sora,0.0,{'0': 3},
24,Mii Brawler,0.0,{'0': 2},
24,Mii Swordsman,0.0,{'0': 1},
24,Mii Gunner,0.0,{'0': 1},
