rank,character,read_value,candidates,correct
1,Toon Link,3.0,{'3': 3},
2,Kirby,2.0,{'2': 3},
2,Meta Knight,2.0,{'2': 3},
4,Roy,1.0,{'1': 3},
4,Diddy Kong,1.0,{'1': 6},
4,Rosalina and Luma,1.0,{'1': 6},
4,Greninja,1.0,{'1': 6},
4,Joker,1.0,{'1': 6},
4,Steve,1.0,{'1': 3},
10,Mario,0.0,{'0': 2},
10,Samus,0.0,{'0': 1},
10,Fox,0.0,{'0': 1},
10,Bowser,0.0,{'0': 2},
10,Falco,0.0,{'0': 2},
10,Young Link,0.0,{'0': 2},
10,Ganondorf,0.0,{'0': 1},
10,Mr Game and Watch,0.0,{'0': 3},
10,Pit,0.0,{'0': 1},
10,Dark Pit,0.0,{'0': 2},
10,Pokemon Trainer,0.0,{'0': 1},
10,Sonic,0.0,{'0': 1},
10,Lucario,0.0,{'0': 1},
10,ROB,0.0,{'0': 3},
10,Donkey Kong,0.0,{'0': 1},
10,Link,0.0,{'0': 2},
10,Dark Samus,0.0,{'0': 1},
10,Yoshi,0.0,{'0': 2},
10,Pikachu,0.0,{'0': 2},
10,Luigi,0.0,{'0': 2},
10,Ness,0.0,{'0': 1},
10,Captain Falcon,0.0,{'0': 2},
10,Jigglypuff,0.0,{'0': 2},
10,Peach,0.0,{'0': 1},
10,Daisy,0.0,{'0': 4},
10,Ice Climbers,0.0,{'0': 1},
10,Sheik,0.0,{'0': 2},
10,Zelda,0.0,{'0': 3},
10,Dr Mario,0.0,{'0': 2},
10,Pichu,0.0,{'0': 2},
10,Marth,0.0,{'0': 2},
10,Lucina,0.0,{'0': 1},
10,Mewtwo,0.0,{'0': 1},
10,Chrom,0.0,{'0': 2},
10,Zero Suit Samus,0.0,{'0': 1},
10,Wario,0.0,{'0': 3},
10,Snake,0.0,{'0': 2},
10,Ike,0.0,{'0': 2},
10,Lucas,0.0,{'0': 1},
10,King Dedede,0.0,{'0': 2},
10,Olimar,0.0,{'0': 2},
10,Wolf,0.0,{'0': 2},
10,Villager,0.0,{'0': 2},
10,Mega Man,0.0,{'0': 2},
10,Wii Fit Trainer,0.0,{'0': 3},
10,Little Mac,0.0,{'0': 2},
10,Palutena,0.0,{'0': 1},
10,Pac-Man,0.0,{'0': 1},
10,Robin,0.0,{'0': 1},
10,Shulk,0.0,{'0': 3},
10,Bowser Jr,0.0,{'0': 2},
10,Duck Hunt,0.0,{'0': 2},
10,Ryu,0.0,{'0': 1},
10,Ken,0.0,{'0': 2},
10,Cloud,0.0,{'0': 2},
10,Corrin,0.0,{'0': 2},
10,Bayonetta,0.0,{'0': 2},
10,Inkling,0.0,{'0': 2},
10,Ridley,0.0,{'0': 1},
10,Simon,0.0,{'0': 1},
10,Richter,0.0,{'0': 2},
10,King K Rool,0.0,{'0': 3},
10,Isabelle,0.0,{'0': 2},
10,Incineroar,0.0,{'0': 2},
10,Piranha Plant,0.0,{'0': 2},
10,Hero,0.0,{'0': 1},
10,Banjo and Kazooie,0.0,{'0': 2},
10,Terry,0.0,{'0': 2},
10,Byleth,0.0,{'0': 1},
10,Min Min,0.0,{'0': 2},
10,Sephiroth,0.0,{'0': 3},
10,Pyra-Mythra,0.0,{'0': 3},
10,Kazuya,0.0,{'0': 4},
10,Sora,0.0,{'0': 4},
10,Mii Brawler,0.0,{'0': 3},
10,Mii Swordsman,0.0,{'0': 2},
10,Mii Gunner,0.0,{'0': 1},
