rank,character,read_value,candidates,correct
1,Zelda,117508.0,{'117508': 3},
2,Luigi,92232.0,{'92232': 3},
3,Ganondorf,86837.0,{'86837': 3},
4,Toon Link,62429.0,{'62429': 3},
5,King K Rool,57806.0,"{'97806': 2, '57806': 1}",
6,Captain Falcon,57135,{'57135': 3},
7,Bowser,51944.0,{'51944': 1},
8,Snake,43096.0,{'43096': 6},
9,ROB,40080.0,{'40080': 3},
10,Little Mac,35684.0,{'35684': 3},
11,King Dedede,32858.0,{'32858': 3},
12,Donkey Kong,32548.0,{'32548': 3},
13,Diddy Kong,17898.0,{'17898': 3},
14,Incineroar,16387.0,{'16387': 1},
15,Richter,13823.0,{'13823': 6},
16,Sora,12838.0,{'12838': 3},
17,Inkling,12507.0,{'12507': 3},
18,Samus,11343.0,{'11343': 3},
19,Mewtwo,10566.0,{'10566': 3},
20,Hero,9594.0,{'9594': 3},
21,Steve,9577.0,{'9577': 3},
22,Pac-Man,8231.0,{'8231': 6},
23,Falco,7609.0,{'7609': 3},
24,Dr Mario,6891.0,{'6891': 3},
25,Wario,6392.0,{'6392': 3},
26,Sheik,5187.0,{'5187': 3},
27,Bowser Jr,5044.0,{'5044': 3},
28,Greninja,4686.0,{'4686': 3},
29,Kirby,4244.0,{'4244': 6},
30,Fox,4034.0,{'4034': 3},
31,Ryu,3787.0,{'3787': 3},
32,Villager,3718.0,{'3718': 3},
33,Pikachu,3537.0,{'3537': 3},
34,Sonic,3360.0,{'3360': 3},
35,Wii Fit Trainer,3199.0,{'3199': 3},
36,Jigglypuff,3179.0,{'3179': 6},
37,Pit,3155.0,{'3155': 3},
38,Kazuya,2873.0,{'2873': 3},
39,Lucas,2761.0,{'2761': 3},
40,Link,2751.0,{'2751': 3},
41,Ken,2609.0,{'2609': 3},
42,Young Link,2528.0,{'2528': 3},
43,Piranha Plant,2438.0,{'2438': 6},
44,Mega Man,2322.0,{'2322': 3},
45,Byleth,2171.0,{'2171': 3},
46,Ness,1766.0,{'1766': 3},
47,Mr Game and Watch,1737.0,{'1737': 3},
48,Daisy,1649.0,{'1649': 3},
49,Wolf,1601.0,"{'1601': 3, '94': 3}",
50,Sephiroth,1390.0,{'1390': 3},
51,Terry,1333.0,{'1333': 3},
52,Duck Hunt,1332.0,{'1332': 3},
53,Peach,1174.0,"{'1174': 2, '174': 1}",
54,Simon,1134.0,{'1134': 3},
55,Marth,1121.0,{'1121': 3},
56,Roy,1109.0,{'1109': 3},
57,Yoshi,1096.0,{'1096': 3},
58,Mii Swordsman,1079.0,{'1079': 3},
59,Mario,999.0,{'999': 3},
59,Isabelle,999.0,{'999': 3},
61,Palutena,976.0,{'976': 3},
62,Robin,913.0,{'913': 3},
63,Zero Suit Samus,866.0,{'866': 3},
64,Pichu,844.0,{'844': 3},
65,Lucario,815.0,{'815': 6},
66,Bayonetta,798.0,{'798': 3},
67,Ike,751.0,{'751': 3},
68,Ice Climbers,589.0,"{'989': 2, '589': 1}",
69,Dark Samus,569.0,{'569': 3},
70,Lucina,492.0,{'492': 3},
71,Rosalina and Luma,484.0,{'484': 3},
72,Chrom,479.0,{'479': 6},
73,Olimar,449.0,{'449': 3},
74,Cloud,446.0,{'446': 3},
75,Pokemon Trainer,441.0,{'441': 3},
76,Dark Pit,382.0,{'382': 3},
77,Mii Gunner,328.0,{'328': 3},
78,Pyra-Mythra,323.0,{'323': 3},
79,Mii Brawler,298.0,{'298': 6},
80,Ridley,278.0,{'278': 3},
81,Banjo and Kazooie,250.0,"{'250': 2, '2500': 1}",
82,Shulk,181.0,{'181': 3},
83,Corrin,168.0,{'168': 3},
84,Min Min,42.0,{'42': 3},
85,Joker,12.0,{'12': 3},
