rank,character,read_value,candidates,correct
1,Zero Suit Samus,41.0,"{'41': 2, '4': 1}",
2,Ike,19.0,{'19': 3},
3,Sheik,18.0,{'18': 3},
4,Captain Falcon,13.0,"{'13': 2, '130': 1}",
4,Dr Mario,13.0,{'13': 3},
6,Yoshi,12.0,{'12': 3},
7,Link,6.0,{'6': 3},
8,Kirby,4.0,{'4': 6},
8,ROB,4.0,{'4': 3},
10,Zelda,3.0,{'3': 3},
11,Ganondorf,2.0,{'2': 3},
11,Snake,2.0,{'2': 3},
11,Richter,2.0,{'2': 3},
14,Mario,0.0,{'0': 1},
14,Donkey Kong,0.0,{'0': 2},
14,Samus,0.0,{'0': 2},
14,Dark Samus,0.0,{'0': 2},
14,Fox,0.0,{'0': 1},
14,Pikachu,0.0,{'0': 1},
14,Luigi,0.0,{'0': 2},
14,Ness,0.0,{'0': 2},
14,Jigglypuff,0.0,{'0': 1},
14,Peach,0.0,{'0': 1},
14,Daisy,0.0,{'0': 1},
14,Bowser,0.0,{'0': 2},
14,Ice Climbers,0.0,{'0': 1},
14,Pichu,0.0,{'0': 3},
14,Falco,0.0,{'0': 3},
14,Marth,0.0,{'0': 2},
14,Lucina,0.0,{'0': 2},
14,Young Link,0.0,{'0': 1},
14,Mewtwo,0.0,{'0': 2},
14,Roy,0.0,{'0': 2},
14,Chrom,0.0,{'0': 2},
14,Mr Game and Watch,0.0,{'0': 1},
14,Wolf,0.0,{'0': 4},
14,Pit,0.0,{'0': 2},
14,Dark Pit,0.0,{'0': 2},
14,Wario,0.0,{'0': 1},
14,Pokemon Trainer,0.0,{'0': 1},
14,Diddy Kong,0.0,{'0': 2},
14,Lucas,0.0,{'0': 2},
14,Sonic,0.0,{'0': 2},
14,King Dedede,0.0,{'0': 2},
14,Olimar,0.0,{'0': 2},
14,Lucario,0.0,{'0': 1},
14,Toon Link,0.0,{'0': 2},
14,Villager,0.0,{'0': 2},
14,Mega Man,0.0,{'0': 1},
14,Wii Fit Trainer,0.0,{'0': 1},
14,Rosalina and Luma,0.0,{'0': 2},
14,Little Mac,0.0,{'0': 1},
14,Greninja,0.0,{'0': 2},
14,Palutena,0.0,{'0': 1},
14,Pac-Man,0.0,{'0': 3},
14,Robin,0.0,{'0': 1},
14,Shulk,0.0,{'0': 2},
14,Bowser Jr,0.0,{'0': 2},
14,Duck Hunt,0.0,{'0': 1},
14,Ryu,0.0,{'0': 2},
14,Ken,0.0,{'0': 2},
14,Cloud,0.0,{'0': 2},
14,Corrin,0.0,{'0': 1},
14,Bayonetta,0.0,{'0': 2},
14,Inkling,0.0,{'0': 2},
14,Ridley,0.0,{'0': 1},
14,Simon,0.0,{'0': 1},
14,King K Rool,0.0,{'0': 1},
14,Isabelle,0.0,{'0': 2},
14,Incineroar,0.0,{'0': 2},
14,Piranha Plant,0.0,{'0': 1},
14,Joker,0.0,{'0': 2},
14,Hero,0.0,{'0': 1},
14,Banjo and Kazooie,0.0,{'0': 2},
14,Terry,0.0,{'0': 1},
14,Byleth,0.0,{'0': 3},
14,Min Min,0.0,{'0': 2},
14,Steve,0.0,{'0': 3},
14,Sephiroth,0.0,{'0': 1},
14,Pyra-Mythra,0.0,{'0': 2},
14,Kazuya,0.0,{'0': 1},
14,Sora,0.0,{'0': 3},
14,Mii Brawler,0.0,{'0': 1},
14,Mii Swordsman,0.0,{'0': 1},
14,Mii Gunner,0.0,{'0': 1},
