rank,character,read_value,candidates,correct
1,Zelda,201849,{201849: 3},
2,Ganondorf,128911,{128911: 3},
3,Luigi,121753,{121753: 3},
4,Little Mac,95966,{95966: 3},
5,Captain Falcon,73034,{73034: 3},
6,Toon Link,65203,{65203: 3},
7,Snake,58271,"{8271: 2, 58271: 1}",
8,King K Rool,57849,"{97849: 2, 57849: 1}",
9,Bowser,53040,"{93040: 2, 53040: 1}",
10,ROB,51415,"{91415: 2, 51415: 1}",
11,Donkey Kong,42354,{42354: 3},
12,King Dedede,26394,{26394: 3},
13,Incineroar,23033,{23033: 3},
14,Inkling,21431,{21431: 3},
15,Diddy Kong,20501,{20501: 3},
16,Richter,19663,{19663: 3},
17,Mewtwo,19536,{19536: 3},
18,Steve,18886,{18886: 3},
19,Sora,17708,{17708: 3},
20,Samus,17137,{17137: 3},
21,Dr Mario,12201,{12201: 3},
22,Falco,11825,{11825: 3},
23,Hero,11036,{11036: 6},
24,Ryu,10481,{10481: 3},
25,Pac-Man,8998,{8998: 3},
26,Fox,8587,{8587: 3},
27,Wolf,7935,"{7935: 3, 2018: 3, 330: 3}",
28,Sheik,7734,"{7734: 2, 1734: 1}",
29,Bowser Jr,6980,{6980: 3},
30,Pit,6665,{6665: 6},
31,Pikachu,5802,"{9802: 2, 5802: 1}",
32,Ken,5687,{5687: 3},
33,Villager,5370,"{59370: 2, 5370: 1}",
34,Greninja,5317,{5317: 3},
35,Jigglypuff,5040,{5040: 3},
36,Wii Fit Trainer,4584,{4584: 3},
37,Lucas,4470,{4470: 6},
38,Sonic,4443,{4443: 3},
39,Kirby,4144,{4144: 3},
40,Byleth,4110,{4110: 3},
41,Kazuya,4102,{4102: 3},
42,Link,3294,{3294: 3},
43,Mega Man,3256,{3256: 3},
44,Young Link,2785,{2785: 3},
45,Ness,2748,{2748: 3},
46,Peach,2398,{2398: 3},
47,Daisy,2395,"{2395: 2, 2355: 1}",
48,Terry,2229,{2229: 3},
49,Mr Game and Watch,2192,{2192: 3},
50,Sephiroth,1987,{1987: 3},
51,Roy,1826,{1826: 3},
52,Mario,1783,{1783: 3},
53,Bayonetta,1739,{1739: 3},
54,Duck Hunt,1733,{1733: 3},
55,Marth,1702,{1702: 3},
56,Yoshi,1610,{1610: 3},
57,Robin,1553,{1553: 3},
58,Lucario,1526,{1526: 3},
59,Simon,1510,{1510: 3},
60,Ike,1506,{1506: 3},
61,Palutena,1297,{1297: 3},
62,Piranha Plant,1248,{1248: 3},
63,Isabelle,1184,{1184: 3},
64,Zero Suit Samus,1052,{1052: 3},
65,Dark Pit,986,{986: 3},
66,Cloud,949,{949: 3},
67,Pichu,907,{907: 3},
68,Ice Climbers,869,{869: 3},
69,Pokemon Trainer,866,{866: 3},
70,Lucina,861,{861: 3},
71,Dark Samus,825,{825: 3},
72,Mii Swordsman,799,"{99: 2, 799: 1}",
73,Rosalina and Luma,747,{747: 3},
74,Olimar,716,{716: 3},
75,Pyra-Mythra,633,{633: 3},
76,Banjo and Kazooie,573,"{573: 2, 873: 1}",
77,Ridley,529,"{229: 2, 529: 1}",
78,Chrom,487,{487: 6},
79,Mii Brawler,338,{338: 3},
80,Mii Gunner,287,{287: 3},
81,Shulk,239,{239: 3},
82,Corrin,186,{186: 3},
83,Min Min,97,{97: 3},
84,Joker,76,{76: 3},
