rank,character,read_value,candidates,correct
1,Richter,1349.0,{'1349': 3},
2,Diddy Kong,478.0,{'478': 3},
3,ROB,446.0,{'446': 3},
4,Sheik,337.0,{'337': 3},
5,Zelda,279.0,{'279': 3},
6,Simon,121.0,{'121': 3},
7,Ganondorf,108.0,{'108': 3},
8,Luigi,98.0,{'98': 6},
9,King K Rool,97.0,{'97': 3},
10,Bowser,96.0,{'96': 3},
11,Toon Link,87.0,"{'7': 2, '87': 1}",
12,Snake,82.0,{'82': 3},
13,Wolf,67.0,"{'67': 3, '3': 3, '0': 4}",
14,Captain Falcon,66.0,{'66': 3},
15,Little Mac,61.0,{'61': 6},
16,Donkey Kong,50.0,"{'90': 2, '50': 1}",
17,Link,40.0,{'40': 3},
18,Steve,37.0,{'37': 1},
19,Villager,25.0,{'25': 3},
19,Bowser Jr,25.0,{'25': 3},
21,Samus,23.0,{'23': 3},
22,Kirby,22.0,{'22': 3},
22,Incineroar,22.0,{'22': 3},
24,Ken,21.0,"{'21': 2, '2': 1}",
24,Sora,21.0,"{'21': 2, '2': 1}",
26,Young Link,19.0,{'19': 3},
27,King Dedede,18.0,{'18': 3},
27,Inkling,18.0,{'18': 3},
29,Pac-Man,17.0,"{'17': 2, '7': 1}",
30,Yoshi,16.0,{'16': 3},
31,Dr Mario,14.0,{'14': 3},
31,Mewtwo,14.0,{'14': 3},
31,Pit,14.0,{'14': 3},
34,Lucas,13.0,{'13': 3},
34,Hero,13.0,{'13': 1},
36,Dark Pit,12.0,{'12': 3},
37,Pikachu,11.0,{'11': 2},
38,Daisy,10.0,"{'10': 2, '100': 1}",
38,Zero Suit Samus,10.0,"{'10': 2, '100': 1}",
40,Mr Game and Watch,9.0,{'9': 2},
40,Sephiroth,9.0,"{'9': 3, '4': 12, '3': 6, '2': 6, '1': 18, '0': 5}",
42,Jigglypuff,8.0,{'8': 3},
42,Ryu,8.0,{'8': 3},
44,Fox,6.0,{'6': 3},
44,Peach,6.0,{'6': 3},
46,Lucario,5.0,{'5': 3},
47,Palutena,4.0,{'4': 3},
48,Wii Fit Trainer,3.0,{'3': 3},
48,Rosalina and Luma,3.0,{'3': 3},
48,Greninja,3.0,{'3': 3},
48,Robin,3.0,{'3': 3},
52,Ness,2.0,{'2': 3},
52,Pichu,2.0,{'2': 3},
52,Falco,2.0,{'2': 3},
52,Mega Man,2.0,{'2': 3},
52,Duck Hunt,2.0,{'2': 3},
52,Bayonetta,2.0,{'2': 6},
52,Banjo and Kazooie,2.0,{'2': 3},
52,Byleth,2.0,{'2': 3},
60,Ice Climbers,1.0,{'1': 3},
60,Roy,1.0,{'1': 3},
60,Chrom,1.0,{'1': 3},
60,Ike,1.0,{'1': 3},
60,Sonic,1.0,{'1': 6},
65,Mario,0.0,{'0': 2},
65,Dark Samus,0.0,{'0': 1},
65,Marth,0.0,{'0': 2},
65,Lucina,0.0,{'0': 2},
65,Pokemon Trainer,0.0,{'0': 3},
65,Olimar,0.0,{'0': 1},
65,Shulk,0.0,{'0': 3},
65,Cloud,0.0,{'0': 1},
65,Corrin,0.0,{'0': 1},
65,Ridley,0.0,{'0': 2},
65,Isabelle,0.0,{'0': 3},
65,Piranha Plant,0.0,{'0': 1},
65,Joker,0.0,{'0': 5},
65,Terry,0.0,{'0': 2},
65,Min Min,0.0,{'0': 1},
65,Pyra-Mythra,0.0,{'0': 1},
65,Kazuya,0.0,{'0': 3},
65,Mii Brawler,0.0,{'0': 1},
65,Mii Swordsman,0.0,{'0': 1},
65,Mii Gunner,0.0,{'0': 1},
