rank,character,read_value,candidates,correct
1,Zelda,3712.0,{'3712': 1},
2,Ganondorf,2376.0,{'2376': 3},
3,Luigi,1499.0,{'1499': 3},
4,Little Mac,1115.0,"{'1115': 2, '115': 1}",
5,King K Rool,955.0,{'955': 3},
6,Toon Link,831.0,{'831': 3},
7,Bowser,691.0,{'691': 3},
8,Snake,677.0,{'677': 6},
9,Captain Falcon,636.0,{'636': 3},
10,ROB,562.0,{'562': 3},
11,Donkey Kong,494.0,{'494': 3},
12,King Dedede,389.0,{'389': 3},
13,Incineroar,318.0,{'318': 3},
14,Steve,263.0,{'263': 3},
15,Mewtwo,260.0,{'260': 3},
16,Richter,232.0,"{'232': 2, '252': 1}",
17,Sora,223.0,{'223': 3},
18,Hero,209.0,{'209': 3},
19,Samus,186.0,{'186': 3},
20,Inkling,160.0,{'160': 3},
21,Diddy Kong,154.0,{'154': 3},
22,Dr Mario,130.0,{'130': 3},
23,Pac-Man,110.0,{'110': 3},
24,Falco,103.0,{'103': 3},
25,Bowser Jr,102.0,{'102': 3},
26,Byleth,84.0,{'84': 3},
27,Wolf,72.0,"{'72': 3, '13': 3, '2': 3}",
28,Lucas,69.0,{'69': 3},
29,Villager,63.0,{'63': 3},
30,Kirby,59.0,"{'99': 2, '59': 1}",
31,Pit,58.0,{'58': 3},
32,Jigglypuff,57,{'57': 3},
32,Ryu,57,{'57': 3},
34,Link,56.0,{'56': 3},
35,Wii Fit Trainer,50.0,{'50': 3},
36,Greninja,49.0,{'49': 3},
37,Fox,47.0,"{'47': 2, '4': 1}",
38,Sheik,45.0,{'45': 3},
39,Pikachu,43.0,{'43': 3},
40,Kazuya,39.0,{'39': 3},
41,Young Link,31.0,{'31': 3},
42,Ness,30.0,"{'30': 2, '300': 1}",
42,Ken,30.0,{'30': 3},
42,Sephiroth,30.0,"{'30': 3, '4': 12, '3': 4, '2': 6, '1': 18, '0': 6}",
45,Mega Man,28.0,{'28': 3},
46,Mr Game and Watch,27.0,{'27': 3},
47,Sonic,25.0,{'25': 3},
48,Peach,24.0,{'24': 3},
48,Palutena,24.0,{'24': 3},
50,Roy,22.0,{'22': 3},
50,Ike,22.0,"{'2': 2, '22': 1}",
52,Daisy,21.0,"{'21': 2, '2': 1}",
52,Piranha Plant,21.0,"{'21': 2, '2': 1}",
54,Lucario,20.0,"{'20': 2, '200': 1}",
54,Robin,20.0,"{'20': 2, '200': 1}",
54,Terry,20.0,"{'20': 2, '200': 1}",
57,Yoshi,19.0,{'19': 3},
57,Duck Hunt,19.0,{'19': 3},
59,Chrom,18.0,{'18': 3},
60,Simon,16.0,{'16': 3},
61,Marth,15.0,{'15': 3},
62,Mario,14.0,{'14': 3},
62,Dark Samus,14.0,{'14': 3},
64,Pichu,13.0,{'13': 1},
64,Isabelle,13.0,{'13': 3},
66,Rosalina and Luma,11.0,{'11': 2},
67,Dark Pit,9.0,{'9': 3},
67,Pokemon Trainer,9.0,{'9': 2},
67,Olimar,9.0,{'9': 3},
67,Shulk,9.0,{'9': 3},
67,Cloud,9.0,{'9': 3},
72,Ice Climbers,8.0,{'8': 2},
72,Pyra-Mythra,8.0,"{'8': 2, '38': 1}",
74,Mii Swordsman,7.0,{'7': 3},
75,Bayonetta,6.0,{'6': 3},
76,Lucina,5.0,"{'9': 2, '5': 1}",
76,Zero Suit Samus,5.0,"{'9': 2, '5': 1}",
78,Corrin,4.0,{'4': 6},
78,Banjo and Kazooie,4.0,{'4': 6},
80,Ridley,3.0,{'3': 3},
81,Min Min,1.0,{'1': 3},
81,Mii Brawler,1.0,{'1': 3},
81,Mii Gunner,1.0,{'1': 3},
84,Joker,0.0,{'0': 2},
