rank,character,read_value,candidates,correct
1,Zelda,468.0,{'468': 3},
2,Toon Link,323.0,{'323': 3},
3,Ganondorf,305.0,{'305': 3},
4,King K Rool,240.0,{'240': 3},
5,Donkey Kong,127.0,{'127': 3},
6,Bowser,108.0,{'108': 3},
7,ROB,107.0,{'107': 3},
8,Captain Falcon,89.0,{'89': 3},
9,Snake,72.0,{'72': 3},
10,Steve,60.0,{'60': 3},
11,Luigi,52.0,"{'32': 2, '52': 1}",
12,King Dedede,44.0,"{'4': 2, '44': 1}",
13,Incineroar,35.0,{'35': 3},
14,Mewtwo,32.0,{'32': 1},
15,Diddy Kong,26.0,{'26': 3},
16,Sora,24.0,{'24': 3},
17,Inkling,21.0,"{'21': 2, '2': 1}",
18,Wario,19.0,{'19': 3},
18,Villager,19.0,{'19': 3},
20,Jigglypuff,15.0,{'15': 3},
20,Falco,15.0,{'15': 3},
22,Dr Mario,14.0,{'14': 3},
23,Richter,13.0,{'13': 3},
24,Wii Fit Trainer,11.0,{'11': 2},
25,Samus,9.0,{'9': 2},
25,Bowser Jr,9.0,{'9': 2},
27,Mr Game and Watch,8.0,{'8': 2},
27,Pac-Man,8.0,{'8': 3},
27,Hero,8.0,{'8': 3},
30,Link,7.0,{'7': 1},
30,Young Link,7.0,{'7': 1},
30,Pit,7.0,{'7': 3},
30,Mega Man,7.0,{'7': 3},
34,Daisy,6.0,{'6': 2},
34,Sheik,6.0,{'6': 3},
34,Little Mac,6.0,{'6': 3},
37,Kirby,5.0,"{'3': 2, '5': 1}",
37,Fox,5.0,{'5': 1},
39,Greninja,4.0,{'4': 3},
39,Piranha Plant,4.0,{'4': 3},
39,Kazuya,4.0,{'4': 3},
42,Peach,3.0,{'3': 3},
42,Sonic,3.0,{'3': 3},
42,Palutena,3.0,{'3': 3},
42,Ryu,3.0,{'3': 3},
42,Isabelle,3.0,{'3': 3},
42,Byleth,3.0,{'3': 3},
48,Mario,2.0,{'2': 3},
48,Yoshi,2.0,{'2': 3},
48,Ness,2.0,{'2': 3},
48,Lucario,2.0,{'2': 3},
48,Rosalina and Luma,2.0,{'2': 3},
48,Cloud,2.0,{'2': 3},
48,Bayonetta,2.0,{'2': 3},
55,Dark Samus,1.0,{'1': 3},
55,Pichu,1.0,{'1': 3},
55,Roy,1.0,{'1': 3},
55,Chrom,1.0,{'1': 3},
55,Wolf,1.0,"{'1': 3, '0': 3}",
55,Zero Suit Samus,1.0,{'1': 3},
55,Corrin,1.0,{'1': 3},
55,Ridley,1.0,{'1': 3},
55,Terry,1.0,{'1': 3},
55,Sephiroth,1.0,{'1': 3},
55,Pyra-Mythra,1.0,{'1': 3},
66,Pikachu,0.0,{'0': 2},
66,Ice Climbers,0.0,{'0': 2},
66,Marth,0.0,{'0': 1},
66,Lucina,0.0,{'0': 2},
66,Dark Pit,0.0,{'0': 2},
66,Ike,0.0,{'0': 3},
66,Pokemon Trainer,0.0,{'0': 2},
66,Lucas,0.0,{'0': 2},
66,Olimar,0.0,{'0': 2},
66,Robin,0.0,{'0': 1},
66,Shulk,0.0,{'0': 1},
66,Duck Hunt,0.0,{'0': 2},
66,Ken,0.0,{'0': 4},
66,Simon,0.0,{'0': 6},
66,Joker,0.0,{'0': 4},
66,Banjo and Kazooie,0.0,{'0': 1},
66,Min Min,0.0,{'0': 3},
66,Mii Brawler,0.0,{'0': 2},
66,Mii Swordsman,0.0,{'0': 2},
66,Mii Gunner,0.0,{'0': 1},
