rank,character,read_value,candidates,correct
1,Ganondorf,1015.0,{'1015': 3},
2,Zelda,785.0,{'785': 3},
3,Little Mac,353.0,{'353': 3},
4,Bowser,338.0,{'338': 3},
5,Luigi,308.0,{'308': 3},
6,Toon Link,296.0,{'296': 3},
7,ROB,266.0,{'266': 3},
8,King K Rool,235.0,{'235': 6},
9,Snake,195.0,{'195': 3},
10,Captain Falcon,155.0,"{'135': 2, '155': 1}",
11,Richter,147.0,{'147': 3},
12,Incineroar,136.0,{'136': 3},
13,Steve,123.0,{'123': 3},
14,Mewtwo,119.0,"{'119': 2, '1190': 1}",
15,Donkey Kong,117.0,"{'117': 4, '7': 2}",
16,Inkling,98.0,{'98': 3},
17,Diddy Kong,91.0,"{'91': 2, '1': 1}",
18,Sora,84.0,"{'34': 2, '84': 1}",
19,Hero,78.0,{'78': 3},
20,King Dedede,68.0,{'68': 3},
21,Falco,67.0,{'67': 3},
22,Samus,54.0,"{'4': 4, '54': 2}",
23,Dr Mario,52.0,"{'92': 2, '52': 1}",
24,Pac-Man,47.0,{'47': 3},
25,Ryu,29.0,{'29': 3},
26,Wolf,28.0,"{'28': 3, '2': 3, '0': 1}",
27,Fox,27.0,{'27': 1},
28,Pit,26.0,{'26': 3},
28,Bowser Jr,26.0,{'26': 6},
30,Villager,25.0,{'25': 3},
30,Greninja,25.0,{'25': 3},
32,Lucas,24.0,{'24': 3},
33,Wii Fit Trainer,21.0,"{'21': 2, '2': 1}",
34,Pikachu,20.0,"{'20': 2, '200': 1}",
34,Byleth,20.0,"{'20': 2, '200': 1}",
36,Jigglypuff,16.0,{'16': 6},
37,Duck Hunt,15.0,{'15': 3},
38,Sheik,14.0,{'14': 3},
38,Mr Game and Watch,14.0,{'14': 3},
38,Mega Man,14.0,{'14': 3},
38,Sephiroth,14.0,{'14': 3},
42,Link,13.0,{'13': 3},
42,Robin,13.0,{'13': 6},
42,Kazuya,13.0,{'13': 3},
45,Ness,12.0,{'12': 3},
45,Sonic,12.0,{'12': 3},
45,Piranha Plant,12.0,{'12': 3},
48,Kirby,11.0,{'11': 2},
49,Peach,10.0,{'10': 3},
50,Young Link,9.0,{'9': 4},
50,Olimar,9.0,{'9': 2},
50,Simon,9.0,{'9': 2},
53,Marth,8.0,{'8': 2},
53,Ike,8.0,{'8': 2},
53,Palutena,8.0,{'8': 3},
53,Shulk,8.0,{'8': 2},
53,Ken,8.0,"{'8': 2, '38': 1}",
58,Dark Samus,7.0,{'7': 1},
58,Roy,7.0,{'7': 3},
58,Chrom,7.0,{'7': 3},
58,Dark Pit,7.0,{'7': 3},
58,Terry,7.0,{'7': 1},
63,Ice Climbers,6.0,{'6': 3},
63,Cloud,6.0,{'6': 3},
65,Mario,5.0,{'5': 1},
65,Yoshi,5.0,{'5': 1},
65,Pokemon Trainer,5.0,{'5': 3},
65,Lucario,5.0,{'5': 1},
69,Pichu,4.0,{'4': 3},
69,Rosalina and Luma,4.0,{'4': 3},
71,Daisy,3.0,{'3': 3},
71,Isabelle,3.0,{'3': 3},
73,Lucina,2.0,{'2': 3},
73,Bayonetta,2.0,{'2': 3},
73,Banjo and Kazooie,2.0,{'2': 3},
76,Zero Suit Samus,1.0,{'1': 3},
76,Corrin,1.0,{'1': 3},
76,Ridley,1.0,{'1': 6},
76,Min Min,1.0,{'1': 3},
76,Pyra-Mythra,1.0,{'1': 3},
76,Mii Brawler,1.0,{'1': 3},
76,Mii Swordsman,1.0,{'1': 3},
76,Mii Gunner,1.0,{'1': 3},
84,Joker,0.0,{'0': 2},
