rank,character,read_value,candidates,correct
1,Zelda,2086.0,{'2086': 3},
2,Luigi,920.0,"{'920': 2, '9200': 1}",
3,Ganondorf,708.0,{'708': 3},
4,Little Mac,687.0,{'687': 3},
5,Captain Falcon,337.0,{'337': 3},
6,Snake,319.0,{'319': 3},
7,King K Rool,234.0,{'234': 3},
8,Bowser,214.0,{'214': 6},
9,King Dedede,209.0,{'209': 3},
10,Donkey Kong,185.0,{'185': 3},
11,ROB,132.0,{'132': 3},
12,Incineroar,110.0,{'110': 3},
13,Toon Link,107.0,{'107': 3},
14,Sora,98.0,{'98': 3},
15,Samus,94.0,{'94': 6},
16,Hero,91.0,"{'91': 2, '1': 1}",
17,Richter,75,{'75': 3},
18,Mewtwo,61.0,"{'61': 2, '81': 1}",
19,Byleth,57,{'57': 3},
20,Pac-Man,44.0,{'44': 3},
21,Dr Mario,40.0,{'40': 3},
22,Kirby,39.0,{'39': 3},
23,Inkling,37.0,{'37': 3},
24,Lucas,36.0,{'36': 3},
25,Steve,35.0,"{'55': 2, '35': 1}",
26,Bowser Jr,29.0,{'29': 3},
27,Diddy Kong,23.0,{'23': 3},
28,Link,20.0,"{'20': 2, '200': 1}",
28,Jigglypuff,20.0,"{'20': 2, '200': 1}",
30,Greninja,19.0,{'19': 3},
31,Ryu,18.0,{'18': 3},
32,Sheik,17.0,"{'17': 2, '7': 1}",
32,Wario,17.0,"{'17': 2, '7': 1}",
32,Ken,17.0,"{'17': 2, '7': 1}",
35,Pikachu,16.0,{'16': 3},
36,Pit,14.0,{'14': 3},
36,Kazuya,14.0,{'14': 3},
38,Roy,13.0,{'13': 3},
38,Villager,13.0,{'13': 3},
38,Sephiroth,13.0,{'13': 3},
41,Fox,12.0,{'12': 3},
41,Falco,12.0,{'12': 3},
43,Wolf,11.0,"{'11': 2, '0': 3}",
44,Chrom,10.0,{'10': 3},
44,Lucario,10.0,{'10': 3},
46,Wii Fit Trainer,9.0,{'9': 2},
47,Peach,8.0,{'8': 2},
47,Pichu,8.0,{'8': 3},
49,Daisy,7.0,{'7': 1},
49,Ike,7.0,{'7': 1},
49,Palutena,7.0,{'7': 4},
52,Ness,6.0,{'6': 3},
52,Pyra-Mythra,6.0,{'6': 2},
52,Mii Swordsman,6.0,{'6': 2},
55,Marth,5.0,"{'9': 2, '5': 1}",
55,Robin,5.0,{'5': 1},
55,Simon,5.0,{'5': 1},
55,Terry,5.0,"{'9': 2, '5': 1}",
59,Young Link,4.0,{'4': 3},
59,Mr Game and Watch,4.0,{'4': 3},
59,Sonic,4.0,{'4': 3},
59,Rosalina and Luma,4.0,{'4': 3},
59,Isabelle,4.0,{'4': 3},
64,Dark Samus,3.0,{'3': 3},
64,Yoshi,3.0,{'3': 3},
64,Duck Hunt,3.0,{'3': 3},
64,Piranha Plant,3.0,{'3': 3},
68,Mario,2.0,{'2': 3},
68,Lucina,2.0,{'2': 3},
68,Pokemon Trainer,2.0,{'2': 3},
68,Corrin,2.0,{'2': 3},
68,Banjo and Kazooie,2.0,{'2': 3},
73,Dark Pit,1.0,{'1': 3},
73,Zero Suit Samus,1.0,{'1': 3},
73,Mega Man,1.0,{'1': 3},
73,Shulk,1.0,{'1': 3},
77,Ice Climbers,0.0,{'0': 1},
77,Olimar,0.0,{'0': 1},
77,Cloud,0.0,{'0': 4},
77,Bayonetta,0.0,{'0': 1},
77,Ridley,0.0,{'0': 2},
77,Joker,0.0,{'0': 2},
77,Min Min,0.0,{'0': 3},
77,Mii Brawler,0.0,{'0': 1},
77,Mii Gunner,0.0,{'0': 2},
